Tiempo_ms	Voltaje_V
0	1.19104
1	1.54725
1	1.33370
2	1.29502
2	1.38365
2	1.30630
3	1.29341
3	1.28294
3	1.36753
4	1.22407
4	1.28294
4	1.59720
5	1.53355
5	1.35787
6	1.51100
6	1.32564
6	1.43279
7	1.69635
7	1.36995
8	1.22649
8	1.51422
8	1.41104
9	1.51905
9	1.51180
9	1.97355
10	1.67138
10	1.81801
11	1.76242
11	1.60123
12	1.78659
12	1.74147
12	1.77370
13	1.81962
13	1.94455
14	1.41668
14	1.12498
14	1.49005
15	1.80270
15	1.84862
16	1.54645
16	1.36753
17	1.19507
17	1.66574
17	1.33611
18	1.08147
18	1.39090
19	1.30228
19	1.32081
20	1.26683
20	1.28616
21	1.37559
21	1.21682
21	1.34175
22	1.18137
22	1.65929
23	1.62943
23	1.68346
24	1.35867
24	1.19265
24	1.79062
25	1.30389
25	1.81479
26	1.85346
26	1.69313
27	1.88251
27	1.85673
28	1.52308
28	1.82687
29	1.78498
29	1.85834
30	1.96469
30	1.94374
31	1.38848
31	1.62057
32	1.77772
32	1.77450
33	1.62460
33	1.69716
34	1.54322
34	1.29180
35	1.46185
35	1.51261
36	1.30872
36	1.32806
37	1.22971
37	1.14834
38	1.23782
38	1.19507
39	1.12739
39	1.23133
40	1.55450
40	1.79626
41	1.13867
41	1.22569
42	1.50536
42	1.86157
43	1.42796
43	1.75678
44	1.71166
44	1.59479
52	1.39896
53	1.34659
53	1.32967
53	1.23374
54	1.21199
54	1.25957
55	1.53355
55	1.03232
55	1.37076
56	1.69232
56	1.44896
56	1.42152
57	1.67218
57	1.19507
58	1.19185
58	1.54242
58	1.80351
59	1.61734
59	1.29261
59	1.68910
60	1.80753
60	2.22014
61	1.70441
61	1.46185
62	1.57626
62	1.92441
62	1.87204
63	1.67057
63	1.73100
64	1.65365
64	1.99128
65	1.86640
65	1.67218
65	1.53919
66	1.68185
67	1.30953
67	1.54483
67	1.50294
68	1.53033
68	1.10322
69	1.06052
69	1.14028
70	1.28777
70	1.43924
70	1.20152
71	1.42554
71	1.54000
72	1.66735
72	1.48924
73	1.59962
73	1.36512
73	1.25393
74	1.24346
74	1.40137
75	1.51905
75	1.55047
76	1.48119
76	1.78739
76	1.90427
77	1.70521
77	1.81479
78	1.67621
78	1.78417
79	1.61493
79	1.70683
80	2.03076
80	1.70521
80	1.60768
81	2.14763
81	1.34820
82	1.77853
82	1.53033
83	1.49005
83	1.25796
84	1.32564
84	1.40057
85	1.23294
85	1.15237
86	1.51422
86	1.28697
87	1.03796
87	1.01696
88	1.04199
89	1.32886
89	1.26038
90	1.32967
90	1.55209
91	1.55934
91	1.53517
92	1.44085
92	1.51905
93	1.66090
93	1.50536
94	1.53194
94	1.78739
95	1.50616
95	1.83896
96	1.77047
96	1.82929
97	1.91232
108	1.32483
108	1.46588
109	1.48924
109	1.59881
110	1.67702
110	1.50213
110	1.86721
111	1.91152
111	1.73180
111	1.78739
112	1.78336
112	1.66493
113	1.97114
113	1.68507
113	1.92038
114	1.78095
114	1.58834
115	1.81237
115	1.70119
115	1.16526
116	1.73019
116	1.14109
117	1.60445
117	1.62701
117	1.26521
118	1.18540
118	1.35303
119	1.25957
119	1.31033
120	1.36270
120	1.35948
120	1.37398
121	1.27488
121	1.35626
122	1.12256
122	1.56095
123	1.56256
124	1.31355
124	1.66574
125	1.21521
125	1.37640
126	1.65607
126	1.80270
126	1.93166
127	1.69313
127	1.65848
128	1.67621
128	1.60607
129	1.73986
130	1.88654
130	2.09365
131	1.58995
131	1.72616
132	1.47796
132	2.05815
133	1.14190
133	1.59237
134	1.06777
134	1.20796
134	1.22407
135	1.07502
135	1.41829
136	1.08308
136	1.26683
137	1.07664
137	1.30469
138	1.32645
138	1.51341
139	1.50213
139	1.21038
140	1.39654
140	1.08469
140	1.37720
141	1.43763
141	1.18701
142	1.63185
142	1.57223
143	1.60365
143	1.59801
144	2.02512
144	1.96791
145	1.76242
145	1.73905
146	1.85754
146	1.45218
147	1.89379
147	1.54403
148	1.70844
148	1.76242
149	1.63185
149	1.23863
150	1.29986
150	1.23052
151	1.09919
151	1.27569
152	1.52550
152	1.02180
153	1.18943
153	1.22488
154	1.35464
170	1.26844
171	1.19426
171	1.13787
171	1.26683
172	1.46910
172	1.17332
172	1.19104
173	1.76806
173	1.10403
174	1.28697
174	1.65285
174	1.74308
175	1.67379
175	1.41910
176	1.43843
176	2.06384
176	1.67540
177	1.80673
177	1.63104
178	1.75758
178	1.56336
179	1.69071
179	1.79384
180	1.67943
180	1.73019
181	1.13626
181	1.74872
182	1.42071
182	1.47716
184	1.15237
184	1.34336
185	1.11853
185	1.08469
185	1.34981
186	1.24668
186	1.32483
187	1.26038
187	1.42957
188	1.09758
188	1.17332
188	1.23863
189	1.25152
189	1.58592
190	1.55289
190	1.68991
190	1.72777
191	1.18862
191	1.61251
192	1.48280
192	1.91796
192	1.78336
193	1.92844
193	1.79464
194	1.53033
194	1.63346
195	1.70844
195	1.78820
195	2.05815
196	1.84298
196	1.95664
197	1.71972
197	1.51583
198	1.56900
198	1.86721
198	1.41426
199	1.28858
199	1.97597
200	1.66251
200	1.42957
201	1.41024
201	1.34739
202	1.05569
202	1.16768
203	1.12417
203	1.17251
204	1.34981
204	1.26763
205	1.47635
205	1.12336
206	1.27730
206	1.11772
206	1.32967
207	1.24668
207	1.49327
208	1.54886
208	1.29905
209	1.68427
209	1.55128
210	1.61171
210	1.73744
211	1.84379
211	1.68427
212	1.98403
212	1.63507
213	1.75033
213	2.00820
214	1.69313
214	1.61493
215	1.63668
215	1.78820
237	1.48280
238	1.38687
238	1.24910
239	1.09597
239	1.47716
239	1.18701
240	1.51261
240	1.05810
241	1.40701
241	1.12014
241	1.45621
242	1.72616
242	1.99128
242	1.53839
243	1.60204
243	1.67621
243	1.89782
244	1.92360
244	1.80915
245	1.75033
245	1.95502
245	1.86882
246	1.68910
246	2.06867
247	1.87446
247	2.08398
247	1.34498
248	1.77128
248	1.74469
249	1.49247
249	1.39734
249	1.19265
250	1.32000
250	1.71891
251	1.39573
251	1.18943
252	1.45863
252	1.12256
252	1.18298
253	1.53597
253	1.30147
254	1.14190
254	1.20715
255	1.37720
255	1.37317
256	1.50616
256	1.39654
256	1.25232
257	1.44735
257	1.75758
258	1.57062
258	1.42796
259	1.61573
259	1.41990
260	1.93085
260	2.03076
260	1.79867
261	1.79867
261	1.66171
262	1.68265
263	1.61171
263	1.70521
264	1.74308
264	1.63265
265	1.94536
266	1.16848
266	1.12659
268	1.33772
269	1.42877
269	1.22246
269	1.42877
270	1.41668
271	1.22569
271	1.36512
271	1.22246
272	1.23052
272	1.42474
273	1.23863
273	1.40862
274	1.47152
274	1.50697
275	1.51583
275	1.38445
276	1.82445
276	1.66976
276	1.88171
277	2.03962
277	1.68910
278	1.71891
278	1.58351
279	1.67299
279	1.83654
280	2.06545
280	1.92763
281	1.41104
281	1.37237
282	1.76886
282	1.57384
283	1.69474
283	1.24024
292	1.44412
293	1.98242
293	1.61493
294	1.52308
294	1.79787
294	1.74066
295	1.71166
295	1.73502
295	1.79303
296	1.75678
296	1.79706
297	1.62782
297	1.68991
297	1.68588
298	1.84621
298	1.76242
298	1.99047
299	1.51583
299	1.57464
299	1.26038
300	1.13223
300	1.36512
301	1.58915
301	1.30389
301	1.37156
302	1.47474
302	1.16204
303	1.36995
303	1.28777
303	1.35626
304	1.30711
304	1.66412
305	1.17171
305	1.09114
305	1.56900
306	1.43843
306	1.78175
307	1.30872
307	1.63749
307	1.50697
308	1.38768
308	1.46346
309	1.22085
309	1.72374
309	1.76645
310	1.43763
310	1.52550
311	1.83171
311	1.68910
311	1.78659
312	1.77047
