Valor_ADC_12bits	Frecuencia
1235	1
1246	1
1256	2
1261	2
1262	1
1263	1
1268	3
1269	1
1270	1
1272	3
1274	2
1275	1
1276	1
1277	1
1278	2
1279	2
1280	2
1281	2
1282	1
1283	1
1284	3
1285	1
1287	1
1288	4
1289	1
1290	1
1291	3
1292	4
1293	1
1294	2
1297	3
1298	5
1300	1
1301	1
1302	3
1303	3
1305	3
1306	4
1307	2
1308	7
1309	4
1310	5
1311	4
1312	4
1313	4
1314	3
1315	1
1316	7
1317	3
1318	6
1320	2
1321	3
1322	2
1323	5
1324	3
1325	5
1326	2
1327	2
1328	2
1329	6
1330	3
1331	4
1332	6
1333	4
1334	5
1335	1
1336	5
1337	4
1338	3
1339	5
1340	2
1341	2
1342	7
1343	2
1344	5
1345	4
1346	7
1347	3
1348	3
1349	2
1350	6
1351	2
1352	6
1353	10
1354	5
1355	5
1356	1
1357	7
1358	5
1359	2
1360	10
1361	3
1362	6
1363	5
1364	15
1365	4
1366	8
1367	4
1368	6
1369	7
1370	5
1371	6
1372	10
1373	3
1374	5
1375	5
1376	7
1377	11
1378	5
1379	5
1380	6
1381	9
1382	10
1383	3
1384	9
1385	3
1386	6
1387	5
1388	7
1389	3
1390	7
1391	6
1392	10
1393	8
1394	4
1395	7
1396	9
1397	12
1398	9
1399	6
1400	13
1401	6
1402	11
1403	4
1404	6
1405	10
1406	7
1407	2
1408	6
1409	8
1410	6
1411	6
1412	15
1413	13
1414	3
1415	5
1416	8
1417	6
1418	3
1419	8
1420	4
1421	5
1422	8
1423	3
1424	7
1425	9
1426	2
1427	7
1428	5
1429	5
1430	6
1431	3
1432	12
1433	6
1434	7
1435	4
1436	1
1437	4
1438	10
1439	6
1440	12
1441	7
1442	4
1443	6
1444	8
1445	8
1446	8
1447	3
1448	6
1449	9
1450	8
1451	10
1452	4
1453	6
1454	7
1455	10
1456	9
1457	7
1458	9
1459	8
1460	14
1461	14
1462	6
1463	3
1464	4
1465	8
1466	16
1467	4
1468	6
1469	6
1470	11
1471	7
1472	10
1473	10
1474	2
1475	6
1476	14
1477	6
1478	12
1479	3
1480	12
1481	7
1482	4
1483	9
1484	9
1485	9
1486	9
1487	6
1488	15
1489	8
1490	9
1491	8
1492	6
1493	10
1494	3
1495	5
1496	7
1497	7
1498	9
1499	8
1500	8
1501	10
1502	10
1503	11
1504	9
1505	8
1506	7
1507	5
1508	7
1509	8
1510	6
1511	6
1512	2
1513	11
1514	11
1515	6
1516	10
1517	10
1518	13
1519	10
1520	23
1521	11
1522	8
1523	12
1524	11
1525	16
1526	13
1527	14
1528	7
1529	8
1530	12
1531	7
1532	9
1533	3
1536	9
1537	9
1538	6
1539	7
1540	10
1541	6
1542	15
1543	8
1544	13
1545	8
1546	16
1547	11
1548	6
1549	3
1550	9
1551	6
1552	6
1553	18
1554	8
1555	5
1556	11
1557	7
1558	14
1559	3
1560	14
