Tiempo_ms	Voltaje_V
507	3.27905
507	3.07355
508	2.86403
508	2.93417
509	3.00104
509	2.97043
510	3.03810
510	2.95109
511	3.08242
511	3.22427
512	2.93256
512	2.80038
513	2.47564
513	2.94384
514	2.73915
514	2.60777
515	2.98654
516	2.56185
516	2.50142
517	2.46270
517	2.58280
518	2.46351
518	2.50142
519	2.74237
519	2.34427
520	2.46189
521	2.70370
522	2.62228
523	2.38616
523	2.61502
524	2.99782
525	3.07194
526	3.20010
527	2.96398
527	3.10744
528	2.87209
528	2.89469
529	3.22346
529	3.01957
530	2.61261
530	2.71256
531	2.68597
531	2.96962
532	3.07033
532	2.49417
533	2.96962
580	2.87853
581	2.70934
581	2.66417
582	2.43934
582	2.29915
582	2.74237
583	2.65531
583	2.36199
583	2.39905
584	2.51190
584	2.69645
584	2.70692
585	2.38374
585	2.44900
586	2.61502
586	2.81166
586	2.80683
587	2.71417
587	2.48853
587	2.56346
588	2.73431
588	2.60374
589	2.60455
589	2.61341
589	2.40066
590	2.64806
590	2.38938
591	2.91484
591	2.78588
591	2.84228
592	2.95915
592	2.82052
593	3.00749
593	2.93901
593	3.15256
594	3.13322
594	3.09370
595	3.30000
595	3.30000
595	2.81810
596	2.66578
596	2.99460
597	2.68109
597	2.74237
597	2.96479
598	2.59810
598	2.64322
599	2.57957
599	2.40953
600	2.66498
600	2.64322
600	2.57474
601	2.65450
601	2.47479
602	2.62228
602	2.43450
602	2.48209
603	2.40228
603	2.51754
604	2.33621
604	3.07355
605	2.38697
605	2.82536
606	2.89389
606	2.78507
612	3.03408
613	2.87370
613	2.79555
614	3.05664
614	2.59085
615	2.87772
615	2.45062
616	2.59569
616	2.52479
617	2.60052
617	2.47398
618	2.51915
618	2.71014
619	2.37649
619	2.77299
620	2.38294
620	2.64967
621	3.00910
621	2.73029
622	2.81730
623	2.95995
623	2.75848
624	2.74076
624	3.01716
625	3.27986
625	3.21299
626	2.89711
626	2.86564
627	3.15981
627	3.28711
628	3.02119
628	3.19848
629	2.59488
629	2.94303
630	2.78991
680	2.64403
680	3.02844
680	2.76654
681	2.77943
681	2.64161
682	2.45948
682	2.54574
683	2.74640
683	2.60374
683	2.80038
684	2.36038
684	2.55943
684	2.44175
685	2.60294
685	2.58038
686	2.56507
686	2.33218
686	2.36683
687	2.51834
687	2.93014
688	2.56265
688	3.16626
688	2.53204
689	2.71659
689	3.02844
690	2.76412
690	2.69484
690	2.74801
691	2.82213
691	2.73351
692	3.24763
692	3.15256
693	2.78588
693	2.87611
694	3.07758
694	3.30000
694	2.73834
695	3.07758
695	2.53607
696	2.88905
696	2.85436
697	2.96801
697	2.78749
698	2.73754
698	2.64403
699	2.50867
699	2.33379
700	2.45867
700	2.56265
701	2.36763
702	2.49256
702	2.44095
703	2.38858
703	2.69322
704	2.64000
704	2.85758
705	2.43772
705	2.58602
706	2.62872
706	3.07114
707	2.89872
707	3.03166
708	2.80119
708	2.76976
708	2.96318
709	2.93337
709	2.84147
710	3.08322
711	2.98171
711	3.00507
712	3.20976
713	2.75365
714	2.96640
714	2.65611
715	2.71578
715	2.62389
716	2.64483
716	2.60374
717	2.59730
717	2.48370
718	2.51915
718	2.38133
719	2.76735
720	2.33782
721	2.86806
722	2.39664
722	2.91000
723	2.63033
724	2.89872
725	2.77782
725	3.02683
726	2.95673
726	3.02199
727	2.96237
729	3.22104
730	2.83341
730	2.79957
731	2.86886
731	2.54412
732	2.78185
827	3.06872
828	3.03972
828	3.12436
829	3.19204
829	2.99460
829	2.84953
830	3.10019
830	2.69000
830	2.78507
831	2.54574
831	2.92853
831	3.07517
832	2.72787
832	2.47725
833	2.42564
833	2.36119
833	2.64403
834	2.88905
834	2.64725
834	2.51995
835	2.50948
835	2.68275
836	2.42967
836	2.45384
836	2.86564
837	2.77379
837	2.60616
838	2.65209
838	2.52882
838	2.52801
839	2.50142
839	2.47967
840	2.47317
840	2.76010
840	2.89308
841	2.68028
841	2.84791
842	3.06469
842	3.08322
842	3.15176
843	2.89389
843	3.15578
844	3.13806
844	3.24924
845	3.22588
845	2.95512
845	3.06953
846	2.53929
846	2.79635
847	2.87853
847	2.39422
847	2.83664
848	2.84953
848	2.68028
849	2.82133
849	2.46270
850	2.49820
850	2.63758
850	2.48209
851	2.43934
851	2.63517
852	2.38777
852	2.41678
853	2.76896
853	2.44498
854	2.61502
854	2.76010
855	2.34829
855	2.71820
856	2.44336
856	2.59810
857	2.51593
857	2.85114
858	3.21943
858	3.30000
858	3.29275
859	2.93014
859	2.97687
860	3.07678
860	2.99460
861	3.30000
861	2.94384
862	3.05019
862	2.93176
863	3.04213
863	2.44739
864	2.88986
865	2.81569
865	3.01957
866	2.62389
866	2.63275
866	2.73593
867	2.70450
867	2.54896
868	2.41436
868	2.50223
869	2.58119
869	2.55540
870	2.51834
870	2.72867
914	2.64886
914	2.94948
915	2.97526
915	2.85597
916	2.74962
916	2.50545
916	2.39583
917	2.81005
917	2.59166
917	2.63114
918	2.71014
918	2.51270
919	2.42483
919	2.64967
919	2.59246
920	2.37488
920	2.67142
920	2.78346
921	2.35313
921	2.78829
922	2.90920
922	2.57232
922	2.58602
923	2.56346
923	2.90839
923	2.84630
924	3.15014
924	2.67867
925	2.86081
925	3.29758
925	3.03730
926	2.98815
926	3.06953
927	2.98896
927	3.00104
928	3.30000
928	3.23232
929	2.56104
929	2.53687
929	3.25408
930	2.69081
930	2.94706
931	2.84308
931	2.53043
932	3.30000
932	2.82536
932	2.62147
933	2.35071
933	2.66336
934	2.55299
934	2.49176
935	2.54735
936	2.40469
936	2.56588
937	2.46351
937	2.70612
937	2.43289
938	2.39100
938	2.63517
939	2.60455
939	2.77863
940	2.78910
940	2.59085
941	2.59649
941	3.13967
942	3.08806
943	3.04938
943	2.97284
944	3.23232
945	3.24038
945	3.14128
946	3.15901
947	2.87853
947	2.68839
948	3.22104
948	2.84308
948	2.31526
949	2.60536
949	2.53929
950	2.60938
951	2.88986
951	2.60858
952	2.49820
952	2.68436
953	2.67626
953	2.43611
954	2.41517
955	2.51270
955	2.37085
956	2.43209
957	2.72867
957	2.74721
958	2.92048
958	3.20010
959	2.99460
959	3.17915
960	3.17673
960	2.94062
962	3.13161
962	2.82616
1010	3.05583
1011	2.86725
1011	3.17754
1012	2.89550
1012	3.12436
1013	2.83664
1013	2.63033
1013	2.75929
1014	3.03246
1014	2.66498
1015	2.50142
1015	2.58521
1016	2.73512
1016	2.63517
1017	2.58199
1017	2.40953
1018	2.61422
1018	2.59085
1018	2.67223
1019	2.65128
1019	2.52398
1020	2.50303
1020	2.74962
1021	2.44014
1022	2.98010
1022	2.48853
1023	2.97687
1023	2.71176
1024	2.74640
1024	2.89147
1025	3.20010
1025	2.93014
1025	2.89631
1026	3.18801
1027	3.10986
1027	3.19607
1028	3.17029
1029	2.88578
1029	3.29275
1030	2.61502
1030	2.90195
1030	2.92934
1031	2.90356
1033	2.38777
1033	2.71417
1033	2.75526
1034	2.46351
1034	2.50384
1035	2.55138
1036	2.61100
1036	2.73431
1036	2.33460
1038	2.71498
1038	2.45384
1039	2.70048
1039	2.49337
1040	2.65289
1040	2.83502
1041	3.09370
1041	2.99460
1042	3.09289
1043	2.95270
1044	3.02602
1045	3.25408
1045	3.04536
1046	2.92773
1047	2.91161
1047	2.77863
1048	2.50948
1048	2.75043
1049	2.63758
1049	2.65692
1050	2.76493
1050	2.40228
1051	2.46673
1052	2.61422
1052	2.69000
1052	2.75043
1053	2.42161
1054	2.68275
1055	2.68678
1055	2.72787
1056	2.63919
1056	2.74398
1057	2.91161
1057	2.87128
1058	2.94384
1058	3.14934
1059	3.02119
1059	2.84389
1060	2.91161
1060	3.08806
1061	3.10180
1061	3.23071
1062	2.88498
1063	2.45384
1063	3.06711
1064	2.60455
1064	2.58683
1065	2.65209
1121	2.99702
1122	2.82213
1122	2.72223
1123	2.98412
1124	2.63436
1124	3.12678
1125	3.25891
1126	2.86886
1126	3.13322
1126	2.98574
1127	2.95029
1128	2.90033
1129	2.62872
1129	3.10583
1130	2.38697
1130	2.64483
1131	2.71578
1131	2.90839
1131	2.79957
1132	2.96157
1133	2.54332
1134	2.52721
1135	2.67062
1135	2.45706
1135	2.49176
1136	2.71578
1136	2.82052
1137	2.55782
1138	2.88986
1138	2.53687
1138	2.81408
1139	2.59085
1139	2.57313
1140	3.08081
1141	2.88336
1141	2.82777
1141	3.08806
1142	2.89792
1142	2.69725
1143	3.07194
1143	2.92853
1144	2.90114
1145	3.02199
1145	2.83422
1146	3.20171
1146	2.96721
1147	2.75768
1148	2.78910
1148	2.77702
1149	2.48370
1149	2.45867
1150	2.51270
1150	2.67062
1151	2.52962
1152	2.35152
1153	2.38616
1153	2.35152
1154	2.50465
1155	2.81730
1156	2.63033
1156	2.74801
1156	2.54251
1157	2.87611
1158	2.71337
1159	3.11469
1160	2.89308
1160	3.24280
1161	3.23393
1162	2.56346
1162	2.45303
1165	2.81972
1166	2.43772
1166	2.34668
1167	2.51512
1167	2.64242
1168	2.39019
1170	2.67545
1171	2.43611
1172	2.58844
1174	3.19848
1175	3.00910
1175	3.13242
1181	2.34346
1182	2.46431
1183	2.75526
1183	2.39341
