Valor_ADC_12bits	Frecuencia
574	1
577	1
578	1
584	2
585	1
586	1
592	2
594	1
595	1
596	2
598	1
600	1
601	1
602	3
603	1
604	1
607	1
608	1
611	3
612	1
613	2
614	1
615	1
616	3
617	1
618	2
619	3
620	5
621	2
622	2
624	5
625	2
626	2
627	2
628	2
629	1
630	3
632	2
633	3
634	2
636	4
637	4
638	3
639	1
640	4
641	7
642	1
643	3
644	8
645	5
646	5
647	4
648	3
649	4
650	7
651	2
653	3
654	1
655	2
656	8
657	2
658	3
659	5
660	9
661	4
662	3
663	4
664	4
665	2
666	3
667	3
668	4
669	4
670	3
671	3
672	3
673	4
674	6
675	3
676	4
677	4
678	4
680	6
681	6
682	7
683	7
684	9
685	8
686	7
687	2
688	6
689	5
690	3
691	7
692	12
693	10
694	6
695	2
696	7
697	6
698	4
699	5
700	9
701	4
702	12
703	13
704	8
705	6
706	6
707	7
708	4
709	7
710	9
711	3
712	6
713	2
714	7
715	5
716	5
717	4
718	8
719	2
720	5
721	3
722	7
723	10
724	3
725	7
726	5
727	3
728	9
729	1
730	7
731	8
732	5
733	6
734	9
735	6
736	4
737	4
738	6
739	3
740	4
741	9
742	7
743	9
744	7
745	8
746	5
747	9
748	9
749	15
750	12
751	7
752	12
753	6
754	3
755	3
756	6
757	7
758	5
759	4
760	6
761	7
762	10
763	8
764	8
765	9
766	13
767	6
768	13
769	8
770	9
771	6
772	6
773	8
774	7
775	5
776	5
777	8
778	4
779	3
780	7
781	7
782	11
783	9
784	11
785	8
786	14
787	7
788	5
789	10
790	4
791	6
792	6
793	10
794	14
795	3
796	7
797	5
798	7
799	9
800	12
801	7
802	11
803	9
804	8
805	12
806	10
807	5
808	9
809	9
810	7
811	10
812	11
813	12
814	10
815	3
816	10
817	6
818	8
819	5
820	4
821	7
822	15
823	4
824	11
825	10
826	7
827	11
828	11
829	4
830	8
831	8
832	18
833	10
834	11
835	12
836	9
837	12
838	9
839	8
840	8
841	7
842	5
843	5
844	6
845	7
846	11
847	6
848	18
849	8
850	12
851	15
852	9
853	11
854	9
855	5
856	10
857	13
858	11
859	12
860	6
861	8
862	12
863	13
864	10
865	14
866	7
867	10
868	7
869	15
870	11
871	6
872	7
873	8
874	14
875	6
876	19
877	12
878	10
879	10
880	15
881	12
882	11
883	6
884	6
885	15
886	5
887	10
888	11
889	7
890	8
891	8
892	10
893	9
894	14
895	5
896	14
897	9
898	8
899	7
900	12
901	7
902	13
903	11
904	13
905	13
906	12
907	5
908	10
909	16
910	8
911	12
912	16
913	8
914	12
915	7
916	14
917	9
918	12
919	7
920	15
921	12
922	12
923	10
924	6
925	11
926	9
927	16
928	7
929	11
930	11
931	5
932	6
933	12
934	12
935	4
936	15
937	10
938	11
939	12
940	10
941	17
942	12
943	7
944	9
945	12
946	8
947	12
948	12
949	15
950	12
951	8
952	9
953	5
954	13
955	8
956	11
957	8
958	10
959	15
960	10
961	8
962	13
963	11
964	11
965	11
966	15
967	12
968	13
969	10
970	16
971	11
972	13
973	7
974	6
975	8
976	15
977	11
978	17
979	19
980	18
981	10
982	7
983	14
984	15
985	19
986	12
987	11
988	5
989	16
990	7
991	15
992	12
993	8
994	17
995	10
996	5
997	7
998	9
999	8
1000	5
1001	9
1002	10
1003	10
1004	5
1005	15
1006	8
1007	8
1008	13
1009	9
1010	7
1011	7
1012	18
1013	7
1014	12
1015	9
1016	6
1017	13
1018	12
1019	10
1020	10
1021	6
1022	10
1023	8
1024	13
1025	14
1026	10
1027	8
1028	11
1029	13
1030	10
1031	8
1032	13
1033	11
1034	8
1035	3
1036	11
1037	9
1038	8
1039	10
1040	13
1041	9
1042	20
1043	11
1044	10
1045	12
1046	9
1047	5
1048	11
1049	11
1050	10
1051	14
1052	10
1053	14
1054	8
1055	8
1056	12
1057	10
1058	8
1059	11
1060	10
1061	9
1062	8
1063	10
1064	9
1065	9
1066	10
1067	11
1068	11
1069	13
1070	12
1071	13
1072	10
1073	7
1074	16
1075	6
1076	12
1077	15
1078	9
1079	11
1080	16
1081	9
1082	3
1083	8
1084	6
1085	6
1086	10
1087	12
1088	10
1089	9
1090	7
1091	13
1092	8
1093	14
1094	11
1095	6
1096	9
1097	11
1098	14
1099	8
1100	15
1101	11
1102	7
1103	9
1104	10
1105	14
1106	15
1107	10
1108	14
1109	5
1110	10
1111	1
1112	12
1113	10
1114	8
1115	10
1116	12
1117	8
1118	11
1119	13
1120	11
1121	9
1122	10
1123	10
1124	5
1125	9
1126	8
1127	7
1128	11
1129	24
1130	14
1131	15
1132	7
1133	11
1134	12
1135	9
1136	6
1137	14
1138	9
1139	7
1140	14
1141	10
1142	14
1143	6
1144	4
1145	8
1146	6
1147	10
1148	9
1149	13
1150	10
1151	3
1152	12
1153	10
1154	12
1155	13
1156	9
1157	17
1158	12
1159	5
1160	7
1161	11
1162	7
1163	5
1164	6
1165	10
1166	6
1167	11
1168	10
1169	11
1170	12
1171	16
1172	11
1173	10
1174	9
1175	6
1176	11
1177	13
1178	8
1179	15
1180	11
1181	12
1182	16
1183	10
1184	8
1185	16
1186	9
1187	14
1188	10
1189	5
1190	9
1191	4
1192	2
1193	10
1194	6
1195	12
1196	6
1197	9
1198	20
1199	11
1200	9
1201	4
1202	9
1203	7
1204	13
1205	11
1206	13
1207	10
1208	12
1209	10
1210	12
1211	13
1212	9
1213	11
1214	14
1215	11
1216	13
1217	13
1218	8
1219	10
1220	8
1221	10
1222	9
1223	10
1224	16
1225	18
1226	4
1227	6
1228	13
1229	17
1230	7
1231	7
1232	13
1233	5
1234	13
1235	7
1236	9
1237	15
1238	11
1239	9
1240	10
1241	9
1242	3
1243	8
1244	7
1245	14
1246	10
1247	12
1248	5
1249	16
1250	11
1251	6
1252	10
1253	9
1254	11
1255	8
1256	9
1257	11
1258	8
1259	13
1260	4
1261	9
1262	12
1263	7
1264	10
1265	7
1266	11
1267	14
1268	9
1269	7
1270	15
1271	10
1272	16
1273	5
1274	12
1275	9
1276	9
1277	6
1278	7
1279	15
1280	12
1281	5
1282	18
1283	7
1284	7
1285	15
1286	9
1287	4
1288	14
1289	8
1290	19
1291	11
1292	5
1293	16
1294	11
1295	11
1296	12
1297	10
1298	9
1299	9
1300	10
1301	10
1302	9
1303	8
1304	9
1305	3
1306	8
1307	16
1308	9
1309	16
1310	14
1311	8
1312	8
1313	7
1314	14
1315	5
1316	11
1317	9
1318	11
1319	6
1320	10
1321	10
1322	10
1323	6
1324	13
1325	5
1326	7
1327	4
1328	6
1329	11
1330	6
1331	9
1332	6
1333	8
1334	15
1335	7
1336	12
1337	9
1338	8
1339	11
1340	10
1341	12
1342	13
1343	8
1344	7
1345	11
1346	12
1347	10
1348	10
1349	8
1350	7
1351	2
1352	11
1353	10
1354	14
1355	8
1356	13
1357	12
1358	14
1359	7
1360	20
1361	14
1362	8
1363	5
1364	15
1365	12
1366	12
1367	5
1368	4
1369	9
1370	8
1371	14
1372	6
1373	5
1374	8
1375	6
1376	13
1377	6
1378	8
1379	15
1380	6
1381	12
1382	10
1383	12
1384	5
1385	12
1386	11
1387	10
1388	11
1389	5
1390	11
1391	4
1392	6
1393	15
1394	9
1395	7
1396	11
1397	9
1398	17
1399	10
1400	5
1401	22
1402	4
1403	12
1404	6
1405	11
1406	5
1407	6
1408	5
1409	16
1410	7
1411	11
1412	9
1413	8
1414	4
1415	4
1416	15
1417	1
1418	11
1419	7
1420	10
1421	8
1422	17
1423	12
1424	6
1425	5
1426	7
1427	17
1428	12
1429	16
1430	15
1431	8
1432	11
1433	16
1434	10
1435	11
1436	8
1437	8
1438	14
1439	13
1440	9
1441	13
1442	6
1443	8
1444	12
1445	14
1446	10
1447	8
1448	13
1449	18
1450	8
1451	15
1452	6
1453	11
1454	6
1455	17
1456	12
1457	13
1458	12
1459	11
1460	10
1461	8
1462	8
1463	10
1464	12
1465	14
1466	11
1467	8
1468	10
1469	9
1470	19
1471	14
1472	4
1473	9
1474	5
1475	14
1476	6
1477	9
1478	11
1479	12
1480	5
1481	11
1482	6
1483	10
1484	17
1485	9
1486	4
1487	7
1488	11
1489	10
1490	8
1491	11
1492	10
1493	12
1494	8
1495	9
1496	10
1497	9
1498	7
1499	12
1500	5
1501	8
1502	20
1503	8
1504	5
1505	8
1506	6
1507	12
1508	3
1509	3
1510	10
1511	7
1512	9
1513	7
1514	10
1515	14
1516	9
1517	3
1518	11
1519	5
1520	3
1521	9
1522	13
1523	5
1524	11
1525	9
1526	8
1527	5
1528	7
1529	9
1530	4
1531	6
1532	4
1533	8
1536	5
1537	9
1538	9
1539	10
1540	9
1541	8
1542	9
1543	6
1544	10
1545	13
1546	4
1547	10
1548	8
1549	9
1550	11
1551	9
1552	6
1553	5
1554	10
1555	9
1556	8
1557	4
1558	5
1559	6
1560	12
1561	5
1562	13
1563	9
1564	12
1565	11
1566	7
1567	12
1568	4
1569	10
1570	12
1571	13
1572	7
1573	10
1574	6
1575	8
1576	8
1577	5
1578	8
1579	10
1580	11
1581	5
1582	7
1583	9
1584	5
1585	5
1586	5
1587	10
1588	7
1589	8
1590	4
1591	4
1592	5
1593	7
1594	3
1595	5
1596	11
1597	13
1598	8
1599	8
1600	3
1601	6
1602	7
1603	11
1604	9
1605	5
1606	6
1607	5
1608	5
1609	3
1610	13
1611	9
1612	7
1613	7
1614	7
1615	5
1616	1
1617	11
1618	5
1619	6
1620	13
1621	8
1622	9
1623	6
1624	6
1625	5
1626	12
1627	6
1628	8
1629	12
1630	5
1631	9
1632	5
1633	4
1634	6
1636	6
1637	6
1638	4
1639	6
1640	8
1641	4
1642	5
1643	10
1644	3
1645	8
1646	6
1647	2
1648	9
1649	4
1650	1
1651	5
1652	6
1653	6
1654	5
1655	3
1656	5
1657	7
1658	4
1659	3
1660	5
1661	6
1662	5
1663	4
1664	5
1665	6
1666	4
1667	2
1668	4
1669	7
