Valor_ADC_12bits	Frecuencia
4008	11
4009	11
4010	11
4011	14
4012	17
4013	10
4014	8
4015	5
4016	9
4017	11
4018	18
4019	15
4020	10
4021	11
4022	13
4023	8
4024	18
4025	7
4026	11
4027	11
4028	8
4029	13
4030	10
4031	16
4032	11
4033	13
4034	12
4035	14
4036	15
4037	14
4038	13
4039	2
4040	10
4041	13
4042	12
4043	12
4044	10
4045	11
4046	21
4047	11
4048	10
4049	12
4050	15
4051	5
4052	13
4053	9
4054	9
4055	8
4056	10
4057	6
4058	14
4059	8
4060	7
4061	11
4062	11
4063	12
4064	13
4065	15
4066	14
4067	10
4068	5
4069	14
4070	12
4071	11
4072	9
4073	9
4074	13
4075	7
4076	14
4077	13
4078	9
4079	15
4080	12
4081	16
4082	12
4083	11
4084	10
4085	15
4086	12
4087	9
4088	9
4089	6
4090	14
4091	12
4092	12
4093	13
4094	8
4095	3603
