Tiempo(s)	Voltaje(V)
0.000066	2.24028
0.000655	2.23062
0.001198	2.26123
0.001729	2.25398
0.002257	2.24431
0.002814	2.19758
0.003344	2.09607
0.003874	1.94294
0.004404	1.84057
0.004951	1.71005
0.005481	1.51905
0.006008	1.33853
0.006536	1.17493
0.007063	1.06536
0.007592	1.00810
0.008119	1.01133
0.008646	1.04119
0.009196	1.10000
0.009725	1.23052
0.010254	1.38445
0.010782	1.57626
0.011310	1.77611
0.011839	1.94213
0.012368	2.09526
0.012896	2.19597
0.013425	2.26043
0.013953	2.25881
0.014482	2.19194
0.015009	2.07834
0.015542	2.01223
0.016082	1.85507
0.016611	1.66412
0.017139	1.58028
0.017700	1.49166
0.018228	1.32000
0.018756	1.16929
0.019284	1.06455
0.019814	1.02583
0.020343	1.00246
0.020872	1.05569
0.021403	1.16526
0.021930	1.31275
0.022463	1.47393
0.022991	1.67863
0.023519	1.86237
0.024047	2.03317
0.024575	2.15891
0.025103	2.24028
0.025630	2.25881
0.026159	2.22820
0.026689	2.14521
0.027220	2.01464
0.027749	1.83976
0.028276	1.65848
0.028805	1.46507
0.029335	1.29905
0.029863	1.14753
0.030392	1.04763
0.030919	0.99843
0.031447	1.02341
0.031974	1.10242
0.032503	1.22246
0.033031	1.38365
0.033561	1.57062
0.034089	1.60043
0.034669	1.59237
0.035197	1.79062
0.035725	1.97275
0.036251	2.12266
0.036779	2.22175
0.037306	2.26043
0.037834	2.24351
0.038362	2.17019
0.038890	2.03317
0.039419	1.86318
0.039947	1.67943
0.040476	1.48119
0.041003	1.30228
0.041531	1.16043
0.042061	1.05730
0.042589	1.00569
0.043118	1.01535
0.043648	1.07422
0.044175	1.19426
0.044702	1.36512
0.045230	1.55370
0.045759	1.73825
0.046288	1.91957
0.046815	2.08157
0.047344	2.19275
0.047873	2.25076
0.048405	2.26284
0.048933	2.21370
0.049461	2.11057
0.049989	1.95825
0.050517	1.77450
0.051045	1.57948
0.051572	1.39896
0.052103	1.22971
0.052631	1.10483
0.053159	1.02422
0.053687	1.00085
0.054217	1.03796
0.054746	1.12659
0.055274	1.27166
0.055801	1.45540
0.056329	1.63265
0.056858	1.82445
0.057385	1.99853
0.057914	2.14199
0.058442	2.23384
0.058968	2.26607
0.059495	2.23384
0.060022	2.12266
0.060552	1.99450
0.061079	1.81559
0.061606	1.61815
