Tiempo(s)	Voltaje(V)
0.000063	2.12185
0.000650	2.11138
0.001187	2.20322
0.001717	2.25720
0.002247	2.26204
0.002810	2.26043
0.003340	2.22417
0.003869	2.12910
0.004398	2.05896
0.004948	1.95825
0.005476	1.78659
0.006006	1.59640
0.006534	1.41024
0.007063	1.24104
0.007590	1.10645
0.008121	1.03152
0.008648	1.00166
0.009197	1.00488
0.009726	1.04763
0.010254	1.15156
0.010782	1.31275
0.011310	1.48602
0.011840	1.65929
0.012370	1.84057
0.012898	2.01384
0.013425	2.14280
0.013957	2.23062
0.014485	2.26123
0.015014	2.23706
0.015544	2.15891
0.016071	2.02592
0.016599	1.85754
0.017127	1.74953
0.017681	1.65285
0.018210	1.47313
0.018738	1.29261
0.019267	1.14431
0.019798	1.08711
0.020336	1.02099
0.020865	1.00649
0.021393	1.04038
0.021924	1.13706
0.022453	1.28536
0.022981	1.45299
0.023510	1.63829
0.024039	1.81962
0.024568	1.99531
0.025098	2.13232
0.025626	2.22175
0.026154	2.26204
0.026684	2.24915
0.027212	2.16938
0.027741	2.04526
0.028270	1.89218
0.028800	1.70763
0.029328	1.51341
0.029856	1.33692
0.030384	1.17815
0.030913	1.06777
0.031444	1.01052
0.031972	1.00649
0.032500	1.06213
0.033028	1.17251
0.033557	1.32161
0.034086	1.31436
0.034673	1.28536
0.035202	1.44412
0.035731	1.63910
0.036261	1.83171
0.036789	2.00417
0.037317	2.13957
0.037846	2.23303
0.038373	2.26445
0.038901	2.23626
0.039431	2.15247
0.039959	2.02351
0.040488	1.85426
0.041016	1.66412
0.041544	1.47313
0.042073	1.31758
0.042604	1.16929
0.043134	1.07422
0.043664	1.00891
0.044194	1.01052
0.044721	1.06697
0.045249	1.17654
0.045777	1.33289
0.046306	1.51825
0.046834	1.71005
0.047362	1.90104
0.047890	2.05896
0.048419	2.18308
0.048948	2.24592
0.049477	2.26123
0.050006	2.21853
0.050533	2.12346
0.051063	1.98161
0.051592	1.82043
0.052121	1.61815
0.052650	1.43441
0.053179	1.26683
0.053708	1.12498
0.054236	1.03313
0.054763	1.00085
0.055291	1.02986
0.055820	1.10806
0.056347	1.24507
0.056876	1.41346
0.057404	1.60526
0.057933	1.79384
0.058460	1.98322
0.058988	2.12991
0.059516	2.22739
0.060043	2.26284
0.060572	2.24190
0.061101	2.16697
0.061629	2.03156
0.062157	1.87607
0.062686	1.68588
0.063215	1.49730
0.063743	1.32806
0.064273	1.17573
0.064801	1.05488
0.065329	1.01052
0.065858	1.01052
0.066385	1.07502
0.066914	1.19507
0.067443	1.34739
0.067971	1.24749
0.068595	1.11289
0.069123	1.27166
0.069651	1.44166
0.070179	1.63507
0.070707	1.82687
0.071235	2.00175
0.071762	2.13635
0.072291	2.22981
0.072820	2.26123
0.073350	2.23706
0.073877	2.15730
0.074405	2.02190
0.074934	1.86398
0.075462	1.67540
0.075990	1.47555
0.076518	1.30066
0.077047	1.15881
0.077576	1.05488
0.078105	1.00569
0.078634	1.01294
0.079161	1.07905
0.079690	1.19588
0.080219	1.34417
0.080748	1.53275
0.081275	1.72616
0.081804	1.91555
0.082331	2.07834
0.082860	2.19355
0.083388	2.25640
0.083918	2.26123
0.084451	2.22578
0.084980	2.13313
