Tiempo(s)	Voltaje(V)
0.000063	1.38204
0.000650	1.36915
0.001189	1.52550
0.001719	1.69313
0.002249	1.72052
0.002814	1.80351
0.003346	1.97919
0.003873	2.12104
0.004402	2.18630
0.004950	2.23545
0.005481	2.26284
0.006008	2.22095
0.006536	2.14038
0.007063	2.01062
0.007593	1.85185
0.008122	1.65285
0.008649	1.53758
0.009199	1.41829
0.009727	1.25393
0.010256	1.11289
0.010783	1.02905
0.011313	0.98957
0.011841	1.02905
0.012371	1.13223
0.012899	1.24910
0.013427	1.42071
0.013954	1.61009
0.014482	1.81156
0.015011	1.97517
0.015541	2.11943
0.016069	2.21611
0.016598	2.26284
0.017126	2.26204
0.017681	2.24431
0.018215	2.22578
0.018754	2.13232
0.019282	1.98403
0.019811	1.80834
0.020339	1.63185
0.020869	1.44574
0.021398	1.26844
0.021925	1.12336
0.022453	1.03877
0.022983	1.00246
0.023511	1.02663
0.024039	1.10483
0.024568	1.23294
0.025096	1.40621
0.025623	1.60526
0.026150	1.78175
0.026683	1.95583
0.027211	2.10574
0.027739	2.20886
0.028267	2.26043
0.028796	2.25398
0.029323	2.18630
0.029852	2.06948
0.030381	1.90749
0.030910	1.72374
0.031438	1.53033
0.031964	1.34095
0.032493	1.18701
0.033021	1.07261
0.033549	1.00971
0.034079	1.01052
0.034665	1.01455
0.035194	1.00488
0.035722	1.05569
0.036252	1.13545
0.036783	1.27649
0.037313	1.44327
0.037840	1.63185
0.038369	1.82607
0.038898	1.99611
0.039426	2.13555
0.039953	2.23142
0.040483	2.26687
0.041012	2.23867
0.041540	2.16213
0.042067	2.03479
0.042597	1.86318
0.043125	1.68507
0.043653	1.48602
0.044182	1.30630
0.044709	1.15317
0.045237	1.04441
0.045766	0.99924
0.046294	1.02502
0.046821	1.08791
0.047350	1.20393
0.047879	1.36753
0.048408	1.54725
0.048937	1.74953
0.049464	1.93488
0.049991	2.09446
0.050518	2.20322
0.051047	2.25559
0.051575	2.25479
0.052105	2.19194
0.052632	2.07512
0.053161	1.92199
0.053690	1.75517
0.054220	1.56014
0.054749	1.38204
0.055277	1.21441
0.055806	1.09194
0.056333	1.02180
0.056862	1.00327
0.057391	1.04360
0.057919	1.14592
0.058446	1.30147
0.058975	1.46749
0.059505	1.65204
0.060034	1.83332
0.060563	1.98967
0.061093	2.13152
0.061621	2.22014
0.062150	2.26445
0.062678	2.24028
0.063208	2.17100
0.063736	2.03398
0.064264	1.87043
0.064794	1.69877
0.065325	1.52630
0.065855	1.34498
0.066383	1.18460
0.066911	1.07422
0.067439	1.00971
0.067968	1.04441
0.068592	1.12981
0.069122	1.03957
0.069651	1.00166
0.070180	1.01777
0.070710	1.09194
0.071239	1.21843
0.071767	1.37881
0.072295	1.55531
0.072825	1.74953
0.073352	1.92924
0.073881	2.08479
0.074410	2.19355
0.074938	2.25398
0.075466	2.25398
0.075995	2.19597
0.076523	2.08479
0.077051	1.92199
0.077579	1.74550
0.078108	1.55128
0.078635	1.36915
0.079165	1.20715
0.079693	1.08550
0.080220	1.01697
0.080748	1.01133
0.081276	1.05327
0.081806	1.15962
0.082338	1.24749
0.082872	1.41426
0.083401	1.59881
0.083930	1.79948
0.084457	1.98081
0.084985	2.12829
0.085512	2.21853
0.086041	2.27095
0.086571	2.24834
0.087100	2.17502
0.087628	2.05654
0.088155	1.88493
0.088684	1.70683
0.089215	1.52066
0.089743	1.34014
0.090270	1.18218
0.090798	1.06616
0.091327	1.01052
0.091855	1.01213
0.092384	1.06697
0.092912	1.17332
0.093440	1.34095
0.093968	1.52147
0.094497	1.71327
0.095025	1.89460
0.095554	2.05332
0.096081	2.18872
0.096608	2.25237
0.097137	2.25962
0.097666	2.21047
0.098195	2.10735
0.098723	1.95422
0.099251	1.79142
0.099780	1.59156
0.100308	1.40621
0.100836	1.22810
0.101363	1.10081
0.101891	1.01455
0.102420	1.00327
0.102948	1.04683
0.103476	1.13384
0.104006	1.27246
0.104535	1.44654
0.105062	1.64232
0.105590	1.83654
0.106118	2.00739
0.106646	2.14924
0.107173	2.23948
0.107702	2.26204
0.108230	2.23142
0.108757	2.13716
0.109286	2.00095
0.109814	1.83493
0.110342	1.66090
0.110874	1.47555
0.111403	1.28777
0.111931	1.14270
0.112459	1.05166
0.112986	1.00488
0.113516	1.01938
0.114046	1.08550
0.114574	1.20715
0.115101	1.37559
0.115629	1.56417
0.116156	1.75758
0.116687	1.93569
0.117215	2.09043
0.117743	2.19839
0.118272	2.25156
0.118801	2.25398
0.119330	2.20564
0.119858	2.09123
0.120386	1.93085
0.120913	1.74147
0.121441	1.55047
0.121970	1.36431
0.122498	1.21199
0.123028	1.08953
0.123557	1.02099
0.124086	1.00327
0.124614	1.04602
0.125142	1.14753
0.125670	1.29905
0.126198	1.46185
0.126725	1.66251
0.127253	1.85673
0.127783	2.00659
0.128313	2.14924
0.128842	2.23223
0.129369	2.23062
0.129898	2.23303
0.130427	2.15408
0.130955	2.02915
0.131484	1.85915
0.132013	1.66815
0.132541	1.47635
0.133070	1.29905
0.133599	1.15640
0.134127	1.04844
0.134655	1.00085
0.135184	1.01697
0.135712	1.06052
0.136416	1.38043
0.136945	1.21038
0.137473	1.08953
0.138002	1.01858
0.138531	1.00488
0.139060	1.04844
0.139588	1.13787
0.140117	1.27327
0.140647	1.43763
0.141175	1.63185
0.141703	1.81720
0.142232	1.99047
0.142762	2.12507
0.143291	2.21853
0.143819	2.26123
0.144347	2.25479
0.144877	2.18066
0.145405	2.05009
0.145952	2.02834
0.146487	1.88090
0.147016	1.69313
0.147545	1.51341
0.148076	1.32967
0.148604	1.17493
0.149132	1.07261
0.149661	1.00730
0.150189	1.01535
0.150717	1.07180
0.151245	1.18137
0.151774	1.33692
0.152302	1.52791
0.152830	1.72616
0.153356	1.91152
0.153885	2.07834
0.154413	2.19114
0.154942	2.25076
0.155470	2.26768
0.155998	2.20483
0.156525	2.09526
0.157054	1.94294
0.157582	1.75114
0.158109	1.55934
0.158638	1.38123
0.159168	1.21924
0.159696	1.09436
0.160224	1.01938
0.160751	1.00246
0.161280	1.04763
0.161811	1.14190
0.162338	1.27810
0.162867	1.45379
0.163395	1.65123
0.163923	1.84701
0.164452	2.01303
0.164980	2.14683
0.165509	2.23626
0.166037	2.26445
0.166565	2.23142
0.167096	2.15649
0.167623	2.02190
0.168151	1.85265
0.168679	1.66010
0.169207	1.47232
0.169736	1.28697
0.170264	1.14673
0.170793	1.04683
0.171321	1.00730
0.171848	1.02422
0.172377	1.08711
0.172906	1.21763
0.173434	1.38687
0.173961	1.56900
0.174491	1.75597
0.175019	1.93649
0.175546	2.09284
0.176076	2.20000
0.176605	2.25881
0.177134	2.25801
0.177663	2.19678
0.178191	2.09204
0.178720	1.93327
0.179247	1.75114
0.179776	1.55531
0.180304	1.36915
0.180832	1.20313
0.181358	1.07664
0.181886	1.00971
0.182414	1.00971
0.182942	1.06213
0.183470	1.16687
0.183999	1.32483
0.184528	1.49810
0.185056	1.67057
0.185586	1.87123
0.186114	2.03962
