Frecuencia(Hz)	Magnitud(V)
0.00	0.01685
14.78	0.01570
29.56	0.01688
44.34	0.01845
59.12	0.02478
73.90	0.04098
88.68	0.10807
103.46	0.06740
118.24	0.03113
133.02	0.01460
147.81	0.01445
162.59	0.00690
177.37	0.00805
192.15	0.00378
206.93	0.00629
221.71	0.00319
236.49	0.00520
251.27	0.00235
266.05	0.00438
280.83	0.00215
295.61	0.00324
310.39	0.00150
325.17	0.00326
339.95	0.00165
354.73	0.00285
369.51	0.00144
384.29	0.00226
399.07	0.00113
413.86	0.00199
428.64	0.00113
443.42	0.00239
458.20	0.00122
472.98	0.00181
487.76	0.00138
502.54	0.00201
517.32	0.00113
532.10	0.00152
546.88	0.00114
561.66	0.00129
576.44	0.00093
591.22	0.00154
606.00	0.00112
620.78	0.00163
635.56	0.00117
650.34	0.00124
665.12	0.00107
679.91	0.00130
694.69	0.00117
709.47	0.00105
724.25	0.00100
739.03	0.00117
753.81	0.00114
768.59	0.00111
783.37	0.00105
798.15	0.00085
812.93	0.00089
827.71	0.00090
842.49	0.00106
857.27	0.00103
872.05	0.00117
886.83	0.00099
901.61	0.00102
916.39	0.00071
931.17	0.00079
