Tiempo(s)	Voltaje(V)
0.168639	2.25317
0.169168	2.18630
0.169697	2.07431
0.170226	1.92119
0.170753	1.72052
0.171280	1.52550
0.171808	1.34900
0.172337	1.18460
0.172866	1.07180
0.173393	1.01052
0.173921	1.00971
0.174450	1.06536
0.174978	1.17009
0.175507	1.32403
0.176036	1.50294
0.176564	1.69474
0.177094	1.87043
0.177623	2.03479
0.178150	2.17180
0.178678	2.24592
0.179204	2.25881
0.179733	2.21934
0.180261	2.10976
0.180789	1.96228
0.181316	1.77772
0.181845	1.58834
0.182373	1.38929
0.182900	1.22488
0.183429	1.10322
0.183958	1.02341
0.184486	1.00327
0.185013	1.04521
0.185542	1.13384
0.186071	1.28052
0.186599	1.44085
0.187128	1.63507
0.187657	1.83171
0.188185	2.00175
0.188713	2.13474
0.189243	2.22981
0.189770	2.26043
0.190300	2.24592
0.190830	2.17422
0.191360	2.05171
0.191888	1.89379
0.192418	1.71247
0.192945	1.52066
0.193475	1.33289
0.194002	1.17734
0.194530	1.06455
0.195057	0.99441
0.195585	1.01213
0.196113	1.08389
0.196642	1.18782
0.197169	1.35706
0.197699	1.53839
0.198226	1.72536
0.198755	1.90668
0.199285	2.06545
0.199812	2.19114
0.200340	2.25317
0.200868	2.25881
0.201396	2.20645
0.201924	2.08962
0.202452	1.94052
0.202980	1.75355
0.203509	1.56417
0.204037	1.37559
0.204565	1.21038
0.205093	1.08953
0.205622	1.01777
0.206152	1.01133
0.206685	1.02583
0.207215	1.11289
0.207743	1.25152
0.208272	1.40540
0.208801	1.59962
0.209329	1.79062
0.209858	1.96953
0.210386	2.11460
0.210913	2.21934
0.211441	2.26043
0.211970	2.24915
0.212499	2.17744
0.213026	2.04929
0.213555	1.89057
0.214084	1.69716
0.214612	1.50374
0.215140	1.33289
0.215668	1.18621
0.216198	1.06374
0.216726	1.01213
0.217254	1.00971
0.217783	1.06213
0.218313	1.18943
0.218839	1.35867
0.219367	1.51261
0.219898	1.70521
0.220426	1.88412
0.220953	2.05412
0.221482	2.17744
0.222011	2.24834
0.222538	2.26848
0.223066	2.21289
0.223594	2.11057
0.224122	1.96228
0.224650	1.78256
0.225179	1.59156
0.225707	1.41024
0.226237	1.24668
0.226767	1.11450
0.227295	1.02502
0.227824	1.01133
0.228352	1.03066
0.228881	1.11450
0.229409	1.25313
0.229936	1.42232
0.230466	1.59559
0.230995	1.78739
0.231525	1.96308
0.232053	2.11379
0.232581	2.21611
0.233109	2.26284
0.233637	2.24431
0.234165	2.17744
0.234694	2.04848
0.235221	1.89621
0.235751	1.71408
0.236280	1.51422
0.236808	1.32967
0.237336	1.17573
0.237864	1.07825
0.238391	1.00569
0.238919	1.00569
0.239447	1.07583
0.239976	1.18298
0.240505	1.35384
0.241031	1.54403
0.241560	1.73019
0.242088	1.91393
0.242616	2.08801
0.243145	2.18389
0.243673	2.25317
0.244202	2.25881
0.244731	2.20483
0.245260	2.10493
0.245789	1.93972
0.246317	1.78578
0.246847	1.60123
0.247378	1.42635
0.247906	1.25474
0.248434	1.11934
0.248962	1.03152
0.249491	1.00085
0.250018	1.03152
0.250547	1.12175
0.251075	1.25716
0.251603	1.43602
0.252131	1.60768
0.252660	1.80995
0.253188	1.98000
0.253717	2.10815
0.254245	2.21531
0.254774	2.26123
0.255303	2.24592
0.255831	2.16697
0.256358	2.03720
0.256887	1.87929
0.257416	1.69796
0.257945	1.51100
0.258475	1.33289
0.259003	1.18057
0.259531	1.06697
0.260059	1.00649
0.260587	1.01052
0.261116	1.07180
0.261645	1.17896
0.262173	1.33047
0.262701	1.51261
0.263229	1.71247
0.263758	1.88493
0.264288	2.05090
0.264816	2.17664
0.265343	2.24753
0.265871	2.26445
0.266398	2.21611
0.266927	2.10332
0.267456	1.95019
0.267982	1.77128
0.268510	1.58190
0.269038	1.38607
0.269566	1.21441
0.270095	1.10886
0.270627	1.04602
