Tiempo(s)	Voltaje(V)
0.000066	1.07502
0.000653	1.09436
0.001190	1.02260
0.001719	1.00407
0.002247	1.00730
0.002805	1.04199
0.003334	1.12417
0.003861	1.26521
0.004390	1.37076
0.004937	1.48844
0.005466	1.68104
0.005994	1.86318
0.006522	2.04284
0.007051	2.16858
0.007579	2.24834
0.008106	2.25479
0.008634	2.23787
0.009183	2.18550
0.009710	2.07512
0.010239	1.93247
0.010768	1.74791
0.011295	1.54806
0.011823	1.36753
0.012351	1.20393
0.012880	1.08389
0.013409	1.01858
0.013937	1.00488
0.014465	1.05569
0.014993	1.15720
0.015522	1.29744
0.016055	1.37720
0.016593	1.56256
0.017124	1.62943
0.017684	1.71891
0.018212	1.90185
0.018740	2.05332
0.019269	2.18066
0.019798	2.24834
0.020326	2.26043
0.020855	2.21692
0.021383	2.12104
0.021913	1.97114
0.022441	1.79384
0.022969	1.59801
0.023496	1.40701
0.024023	1.22569
0.024551	1.09919
0.025080	1.02663
0.025608	1.00246
0.026136	1.03796
0.026668	1.12014
0.027197	1.24588
0.027726	1.41024
0.028256	1.58995
0.028785	1.78578
0.029312	1.96953
0.029841	2.11943
0.030368	2.21611
0.030898	2.25720
0.031427	2.24915
0.031955	2.17905
0.032483	2.04929
0.033011	1.89621
0.033540	1.71166
0.034069	1.67057
0.034649	1.70280
0.035179	1.51100
0.035707	1.32806
0.036235	1.17734
0.036764	1.06938
0.037292	1.00810
0.037820	1.00971
0.038348	1.07422
0.038875	1.18943
0.039403	1.35142
0.039932	1.53919
0.040460	1.73180
0.040988	1.92602
0.041516	2.07915
0.042043	2.19517
0.042571	2.25559
0.043099	2.25398
0.043627	2.19275
0.044155	2.08640
0.044684	1.92844
0.045212	1.75194
0.045740	1.55289
0.046269	1.36673
0.046797	1.20957
0.047326	1.07986
0.047854	1.00891
0.048381	1.00407
0.048911	1.04360
0.049440	1.16365
0.049968	1.29583
0.050497	1.47152
0.051024	1.66171
0.051553	1.85185
0.052082	2.02109
0.052610	2.15005
0.053138	2.23867
0.053667	2.25962
0.054196	2.23062
0.054724	2.14763
0.055253	2.00900
0.055781	1.84540
0.056309	1.65204
0.056837	1.45540
0.057365	1.28052
0.057893	1.13142
0.058420	1.04119
0.058949	1.00407
0.059477	1.02502
0.060006	1.10564
0.060535	1.22730
0.061063	1.40218
0.061591	1.59559
0.062118	1.79223
0.062646	1.97517
0.063174	2.11863
0.063703	2.21531
0.064231	2.25720
0.064761	2.25317
0.065289	2.17583
0.065817	2.05815
0.066345	1.89218
