Frecuencia(Hz)	Magnitud(V)
0.00	0.00448
1.85	0.00469
3.69	0.00480
5.54	0.00462
7.39	0.00506
9.24	0.00630
11.08	0.00761
12.93	0.00855
14.78	0.00893
16.63	0.00864
18.47	0.00766
20.32	0.00630
22.17	0.00544
24.02	0.00615
25.86	0.00797
27.71	0.00965
29.56	0.01032
31.41	0.00969
33.25	0.00806
35.10	0.00647
36.95	0.00629
38.80	0.00765
40.64	0.00948
42.49	0.01099
44.34	0.01170
46.19	0.01140
48.03	0.01016
49.88	0.00845
51.73	0.00767
53.57	0.00926
55.42	0.01224
57.27	0.01469
59.12	0.01545
60.96	0.01428
62.81	0.01168
64.66	0.00942
66.51	0.01049
68.35	0.01477
70.20	0.01980
72.05	0.02389
73.90	0.02644
75.74	0.02731
77.59	0.02542
79.44	0.02032
81.29	0.02076
83.13	0.03712
84.98	0.06982
86.83	0.11099
88.68	0.13461
90.52	0.11793
92.37	0.06569
94.22	0.01586
96.07	0.03921
97.91	0.05137
99.76	0.04898
101.61	0.04231
103.45	0.03640
105.30	0.03136
107.15	0.02441
109.00	0.01611
110.84	0.01004
112.69	0.00904
114.54	0.01119
116.39	0.01316
118.23	0.01384
120.08	0.01293
121.93	0.01040
123.78	0.00734
125.62	0.00590
127.47	0.00657
129.32	0.00754
131.17	0.00792
133.01	0.00775
134.86	0.00714
136.71	0.00596
138.56	0.00430
140.40	0.00292
142.25	0.00305
144.10	0.00420
145.94	0.00524
147.79	0.00565
149.64	0.00518
151.49	0.00392
153.33	0.00244
155.18	0.00188
157.03	0.00248
158.88	0.00309
160.72	0.00345
162.57	0.00363
164.42	0.00361
166.27	0.00322
168.11	0.00242
169.96	0.00163
171.81	0.00182
173.66	0.00272
175.50	0.00338
177.35	0.00353
179.20	0.00320
181.05	0.00253
182.89	0.00181
184.74	0.00154
186.59	0.00186
188.44	0.00227
190.28	0.00251
192.13	0.00256
193.98	0.00243
195.82	0.00212
197.67	0.00162
199.52	0.00106
201.37	0.00094
203.21	0.00135
205.06	0.00170
206.91	0.00182
208.76	0.00175
210.60	0.00147
212.45	0.00113
214.30	0.00105
216.15	0.00130
217.99	0.00156
219.84	0.00166
221.69	0.00161
223.54	0.00147
225.38	0.00130
227.23	0.00110
229.08	0.00092
230.93	0.00107
232.77	0.00146
234.62	0.00169
236.47	0.00163
238.32	0.00139
240.16	0.00106
242.01	0.00071
243.86	0.00060
245.70	0.00089
247.55	0.00121
249.40	0.00136
251.25	0.00134
253.09	0.00122
254.94	0.00101
256.79	0.00071
258.64	0.00045
260.48	0.00050
262.33	0.00078
264.18	0.00107
266.03	0.00123
267.87	0.00112
269.72	0.00078
271.57	0.00042
273.42	0.00044
275.26	0.00073
277.11	0.00097
278.96	0.00111
280.81	0.00113
282.65	0.00100
284.50	0.00076
286.35	0.00048
288.20	0.00031
290.04	0.00039
291.89	0.00067
293.74	0.00094
295.58	0.00102
297.43	0.00083
299.28	0.00049
301.13	0.00015
302.97	0.00011
304.82	0.00029
306.67	0.00053
308.52	0.00076
310.36	0.00088
312.21	0.00083
314.06	0.00064
315.91	0.00040
317.75	0.00024
319.60	0.00035
321.45	0.00060
323.30	0.00082
325.14	0.00092
326.99	0.00086
328.84	0.00065
330.69	0.00035
332.53	0.00013
334.38	0.00018
336.23	0.00032
338.08	0.00051
339.92	0.00068
341.77	0.00075
343.62	0.00062
345.46	0.00032
347.31	0.00004
349.16	0.00021
351.01	0.00030
352.85	0.00047
354.70	0.00067
356.55	0.00074
358.40	0.00062
360.24	0.00037
362.09	0.00019
363.94	0.00031
365.79	0.00040
367.63	0.00041
369.48	0.00049
371.33	0.00061
373.18	0.00064
375.02	0.00055
376.87	0.00035
378.72	0.00021
380.57	0.00038
382.41	0.00057
384.26	0.00064
386.11	0.00057
387.95	0.00045
389.80	0.00028
391.65	0.00008
393.50	0.00022
395.34	0.00040
397.19	0.00047
399.04	0.00050
400.89	0.00052
402.73	0.00050
404.58	0.00039
406.43	0.00019
408.28	0.00014
410.12	0.00036
411.97	0.00054
413.82	0.00066
415.67	0.00070
417.51	0.00065
419.36	0.00050
421.21	0.00030
423.06	0.00014
424.90	0.00028
426.75	0.00049
428.60	0.00065
430.45	0.00072
432.29	0.00072
434.14	0.00063
435.99	0.00046
437.83	0.00028
439.68	0.00036
441.53	0.00058
443.38	0.00068
445.22	0.00058
447.07	0.00035
448.92	0.00015
450.77	0.00006
452.61	0.00005
454.46	0.00020
456.31	0.00034
458.16	0.00043
460.00	0.00047
461.85	0.00046
463.70	0.00040
465.55	0.00030
467.39	0.00023
469.24	0.00032
471.09	0.00045
472.94	0.00050
474.78	0.00049
476.63	0.00049
478.48	0.00045
480.33	0.00034
482.17	0.00025
484.02	0.00032
485.87	0.00042
487.71	0.00047
489.56	0.00046
491.41	0.00045
493.26	0.00047
495.10	0.00046
496.95	0.00035
498.80	0.00032
500.65	0.00048
502.49	0.00059
504.34	0.00056
506.19	0.00043
508.04	0.00027
509.88	0.00014
511.73	0.00013
513.58	0.00031
515.43	0.00050
517.27	0.00063
519.12	0.00068
520.97	0.00068
522.82	0.00064
524.66	0.00055
526.51	0.00043
528.36	0.00032
530.21	0.00032
532.05	0.00038
533.90	0.00042
535.75	0.00040
537.59	0.00036
539.44	0.00029
541.29	0.00024
543.14	0.00022
544.98	0.00024
