Frecuencia(Hz)	Magnitud(V)
0.00	0.00192
0.92	0.00192
1.85	0.00193
2.77	0.00191
3.69	0.00185
4.62	0.00179
5.54	0.00175
6.47	0.00179
7.39	0.00191
8.31	0.00210
9.24	0.00231
10.16	0.00251
11.08	0.00269
12.01	0.00282
12.93	0.00291
13.86	0.00295
14.78	0.00295
15.70	0.00290
16.63	0.00281
17.55	0.00266
18.47	0.00247
19.40	0.00225
20.32	0.00204
21.25	0.00188
22.17	0.00185
23.09	0.00201
24.02	0.00231
24.94	0.00269
25.86	0.00304
26.79	0.00333
27.71	0.00350
28.64	0.00354
29.56	0.00347
30.48	0.00331
31.41	0.00308
32.33	0.00281
33.25	0.00251
34.18	0.00221
35.10	0.00195
36.03	0.00180
36.95	0.00183
37.87	0.00204
38.80	0.00235
39.72	0.00270
40.64	0.00303
41.57	0.00331
42.49	0.00354
43.41	0.00371
44.34	0.00382
45.26	0.00388
46.19	0.00388
47.11	0.00381
48.03	0.00367
48.96	0.00346
49.88	0.00320
50.80	0.00297
51.73	0.00285
52.65	0.00292
53.58	0.00320
54.50	0.00364
55.42	0.00416
56.35	0.00468
57.27	0.00516
58.19	0.00556
59.12	0.00583
60.04	0.00597
60.97	0.00594
61.89	0.00572
62.81	0.00533
63.74	0.00488
64.66	0.00455
65.58	0.00457
66.51	0.00502
67.43	0.00579
68.36	0.00669
69.28	0.00758
70.20	0.00841
71.13	0.00916
72.05	0.00986
72.97	0.01056
73.90	0.01128
74.82	0.01199
75.75	0.01258
76.67	0.01283
77.59	0.01253
78.52	0.01156
79.44	0.01017
80.36	0.00914
81.29	0.00969
82.21	0.01239
83.14	0.01713
84.06	0.02402
84.98	0.03308
85.91	0.04360
86.83	0.05402
87.75	0.06238
88.68	0.06678
89.60	0.06593
90.52	0.05951
91.45	0.04830
92.37	0.03400
93.30	0.01904
94.22	0.00792
95.14	0.01175
96.07	0.01923
96.99	0.02403
97.91	0.02612
98.84	0.02622
99.76	0.02512
100.69	0.02345
101.61	0.02164
102.53	0.01995
103.46	0.01847
104.38	0.01712
105.30	0.01571
106.23	0.01411
107.15	0.01228
108.08	0.01033
109.00	0.00846
109.92	0.00684
110.85	0.00567
111.77	0.00509
112.69	0.00516
113.62	0.00572
114.54	0.00647
115.47	0.00713
116.39	0.00755
117.31	0.00768
118.24	0.00755
119.16	0.00719
120.08	0.00666
121.01	0.00599
121.93	0.00524
122.86	0.00447
123.78	0.00377
124.70	0.00325
125.63	0.00303
126.55	0.00313
127.47	0.00345
128.40	0.00386
129.32	0.00423
130.24	0.00451
131.17	0.00468
132.09	0.00473
133.02	0.00468
133.94	0.00455
134.86	0.00436
135.79	0.00410
136.71	0.00377
137.63	0.00338
138.56	0.00297
139.48	0.00256
140.41	0.00224
141.33	0.00212
142.25	0.00226
143.18	0.00261
144.10	0.00304
145.02	0.00346
145.95	0.00379
146.87	0.00400
147.80	0.00405
148.72	0.00397
149.64	0.00376
150.57	0.00344
151.49	0.00305
152.41	0.00263
153.34	0.00224
154.26	0.00197
155.19	0.00189
156.11	0.00200
157.03	0.00222
157.96	0.00245
158.88	0.00265
159.80	0.00280
160.73	0.00289
161.65	0.00292
162.58	0.00291
163.50	0.00284
164.42	0.00274
165.35	0.00258
166.27	0.00239
167.19	0.00216
168.12	0.00192
