Frecuencia(Hz)	Magnitud(V)
0.00	0.00113
1.85	0.00090
3.69	0.00038
5.54	0.00013
7.39	0.00042
9.23	0.00050
11.08	0.00047
12.93	0.00045
14.77	0.00045
16.62	0.00046
18.47	0.00047
20.32	0.00048
22.16	0.00049
24.01	0.00051
25.86	0.00051
27.70	0.00050
29.55	0.00049
31.40	0.00047
33.24	0.00044
35.09	0.00045
36.94	0.00051
38.78	0.00057
40.63	0.00059
42.48	0.00054
44.32	0.00048
46.17	0.00045
48.02	0.00047
49.86	0.00052
51.71	0.00062
53.56	0.00072
55.41	0.00075
57.25	0.00071
59.10	0.00069
60.95	0.00066
62.79	0.00057
64.64	0.00052
66.49	0.00068
68.33	0.00093
70.18	0.00097
72.03	0.00083
73.87	0.00082
75.72	0.00098
77.57	0.00099
79.41	0.00094
81.26	0.00145
83.11	0.00236
84.95	0.00222
86.80	0.00098
88.65	0.00161
90.50	0.00537
92.34	0.00435
94.19	0.01708
96.04	0.06527
97.88	0.12283
99.73	0.15596
101.58	0.14247
103.42	0.09217
105.27	0.03758
107.12	0.00527
108.96	0.00226
110.81	0.00123
112.66	0.00325
114.50	0.00218
116.35	0.00114
118.20	0.00129
120.04	0.00137
121.89	0.00083
123.74	0.00041
125.58	0.00064
127.43	0.00098
129.28	0.00098
131.13	0.00081
132.97	0.00069
134.82	0.00056
136.67	0.00037
138.51	0.00029
140.36	0.00038
142.21	0.00050
144.05	0.00052
145.90	0.00049
147.75	0.00045
149.59	0.00038
151.44	0.00026
153.29	0.00021
155.13	0.00028
156.98	0.00035
158.83	0.00034
160.67	0.00029
162.52	0.00025
164.37	0.00020
166.22	0.00012
168.06	0.00013
169.91	0.00027
171.76	0.00037
173.60	0.00039
175.45	0.00037
177.30	0.00036
179.14	0.00033
180.99	0.00029
182.84	0.00027
184.68	0.00031
186.53	0.00034
188.38	0.00035
190.22	0.00033
192.07	0.00031
193.92	0.00026
195.76	0.00019
197.61	0.00010
199.46	0.00006
201.31	0.00009
203.15	0.00010
205.00	0.00012
206.85	0.00015
208.69	0.00017
210.54	0.00014
212.39	0.00010
214.23	0.00012
216.08	0.00017
217.93	0.00020
219.77	0.00020
221.62	0.00018
223.47	0.00014
225.31	0.00010
227.16	0.00010
229.01	0.00015
230.85	0.00019
232.70	0.00020
234.55	0.00021
236.40	0.00022
238.24	0.00020
240.09	0.00019
241.94	0.00018
243.78	0.00019
245.63	0.00020
247.48	0.00020
249.32	0.00018
251.17	0.00014
253.02	0.00011
254.86	0.00009
256.71	0.00009
258.56	0.00011
260.40	0.00013
262.25	0.00014
264.10	0.00014
265.94	0.00014
267.79	0.00011
269.64	0.00006
271.49	0.00001
273.33	0.00006
275.18	0.00010
277.03	0.00013
278.87	0.00014
280.72	0.00012
282.57	0.00008
284.41	0.00004
286.26	0.00002
288.11	0.00002
289.95	0.00004
291.80	0.00007
293.65	0.00009
295.49	0.00013
297.34	0.00017
299.19	0.00019
301.03	0.00019
302.88	0.00017
304.73	0.00014
306.58	0.00011
308.42	0.00009
310.27	0.00007
312.12	0.00008
313.96	0.00010
315.81	0.00008
317.66	0.00004
319.50	0.00006
321.35	0.00010
323.20	0.00010
325.04	0.00009
326.89	0.00008
328.74	0.00007
330.58	0.00006
332.43	0.00008
334.28	0.00010
336.12	0.00008
337.97	0.00004
339.82	0.00002
341.67	0.00004
343.51	0.00002
345.36	0.00006
347.21	0.00013
349.05	0.00015
350.90	0.00011
352.75	0.00008
354.59	0.00012
356.44	0.00015
358.29	0.00013
360.13	0.00007
361.98	0.00010
363.83	0.00017
365.67	0.00020
367.52	0.00019
369.37	0.00015
371.21	0.00011
373.06	0.00008
374.91	0.00006
376.75	0.00004
378.60	0.00005
380.45	0.00008
382.30	0.00011
384.14	0.00012
385.99	0.00010
387.84	0.00006
389.68	0.00001
391.53	0.00008
393.38	0.00012
395.22	0.00013
397.07	0.00012
398.92	0.00013
400.76	0.00012
402.61	0.00008
404.46	0.00009
406.30	0.00014
408.15	0.00014
410.00	0.00010
411.84	0.00007
413.69	0.00011
415.54	0.00014
417.39	0.00012
419.23	0.00007
421.08	0.00005
422.93	0.00008
424.77	0.00010
426.62	0.00009
428.47	0.00007
430.31	0.00005
432.16	0.00004
434.01	0.00003
435.85	0.00005
437.70	0.00010
439.55	0.00015
441.39	0.00017
443.24	0.00015
445.09	0.00013
446.93	0.00014
448.78	0.00017
450.63	0.00017
452.48	0.00014
454.32	0.00009
456.17	0.00008
458.02	0.00010
459.86	0.00012
461.71	0.00014
463.56	0.00014
465.40	0.00014
467.25	0.00014
469.10	0.00013
470.94	0.00009
