Tiempo(s)	Voltaje(V)
0.000063	1.03474
0.000652	1.14592
0.001188	1.30147
0.001718	1.49327
0.002246	1.71005
0.002806	1.91393
0.003336	2.08882
0.003864	2.20161
0.004393	2.25801
0.004939	2.24753
0.005471	2.16777
0.006000	2.02592
0.006529	1.84460
0.007056	1.63910
0.007585	1.43199
0.008114	1.25232
0.008641	1.10645
0.009190	1.02019
0.009720	1.00810
0.010249	1.05972
0.010776	1.16848
0.011306	1.34256
0.011834	1.54000
0.012362	1.74953
0.012890	1.94455
0.013419	2.10574
0.013949	2.21934
0.014487	2.25962
0.015016	2.23948
0.015546	2.14683
0.016074	2.00175
0.016602	1.81156
0.017131	1.60284
0.017691	1.39654
0.018220	1.21843
0.018747	1.09033
0.019275	1.01455
0.019802	1.00971
0.020330	1.07019
0.020858	1.19910
0.021387	1.37156
0.021917	1.57303
0.022444	1.78256
0.022973	1.97033
0.023501	2.12588
0.024029	2.22820
0.024557	2.26445
0.025085	2.23223
0.025613	2.13555
0.026142	1.97758
0.026672	1.79062
0.027203	1.58270
0.027733	1.38204
0.028261	1.20877
0.028791	1.07502
0.029320	1.00730
0.029848	1.00971
0.030377	1.08469
0.030905	1.21038
0.031432	1.38848
0.031960	1.58995
0.032489	1.79787
0.033018	1.98564
0.033545	2.13474
0.034074	2.23545
0.034654	2.26445
0.035182	2.22175
0.035711	2.11218
0.036241	1.94777
0.036768	1.75194
0.037297	1.54242
0.037826	1.34417
0.038354	1.17412
0.038882	1.06052
0.039410	1.00730
0.039939	1.01858
0.040467	1.09839
0.040995	1.23294
0.041523	1.41910
0.042050	1.62540
0.042579	1.83332
0.043106	2.01223
0.043635	2.15810
0.044164	2.24270
0.044693	2.26365
0.045221	2.21289
0.045749	2.09526
0.046277	1.94052
0.046807	1.73744
0.047336	1.52872
0.047865	1.32886
0.048393	1.16929
0.048920	1.05649
0.049448	1.00649
0.049975	1.02583
0.050504	1.10806
0.051033	1.25152
0.051562	1.43763
0.052092	1.64715
0.052620	1.84218
0.053149	2.02834
0.053676	2.15891
0.054205	2.24753
0.054735	2.26043
0.055263	2.20564
0.055792	2.08801
0.056320	1.91716
0.056848	1.72052
0.057377	1.51583
0.057904	1.31839
0.058434	1.15801
0.058962	1.04844
0.059490	1.00649
0.060018	1.03152
0.060546	1.11611
0.061074	1.26038
0.061601	1.44896
0.062129	1.65687
0.062657	1.86640
0.063185	2.03720
0.063715	2.17664
0.064243	2.24915
0.064773	2.25801
0.065301	2.19839
0.065831	2.07270
0.066359	1.90588
0.066886	1.71166
0.067415	1.49569
0.067944	1.29341
0.068568	1.12256
0.069096	1.03066
0.069625	1.00488
0.070153	1.04199
0.070681	1.15076
0.071212	1.30953
0.071739	1.50133
0.072267	1.70924
0.072795	1.91232
0.073323	2.07995
0.073853	2.20161
0.074381	2.25801
0.074909	2.24673
0.075437	2.17100
0.075966	2.03720
0.076496	1.85588
0.077025	1.65043
0.077554	1.44412
0.078088	1.25555
0.078631	1.11128
0.079161	1.02341
0.079689	1.00649
0.080218	1.05649
0.080747	1.16848
0.081275	1.32886
0.081803	1.52791
0.082330	1.73100
0.082859	1.93327
0.083387	2.09848
0.083916	2.22417
0.084443	2.26687
0.084971	2.24270
0.085500	2.15972
0.086027	2.01867
0.086556	1.83573
0.087084	1.62862
0.087612	1.42554
0.088139	1.24346
0.088668	1.10081
0.089197	1.02099
0.089726	1.00649
0.090254	1.06213
0.090782	1.17493
0.091310	1.34175
0.091838	1.54322
0.092366	1.75436
0.092895	1.93972
0.093423	2.10574
0.093951	2.23545
0.094482	2.26365
0.095010	2.23948
0.095539	2.15166
0.096066	2.00095
