Tiempo(s)	Voltaje(V)
0.000066	2.11379
0.000647	1.94777
0.001188	1.75033
0.001721	1.54161
0.002250	1.33772
0.002814	1.17009
0.003345	1.05488
0.003875	1.00569
0.004407	1.02422
0.004953	1.11531
0.005484	1.26119
0.006014	1.44735
0.006542	1.65285
0.007072	1.85588
0.007600	2.04043
0.008127	2.17422
0.008655	2.25076
0.009205	2.25559
0.009734	2.19758
0.010265	2.04848
0.010861	1.86721
0.011393	1.67540
0.011923	1.46185
0.012452	1.27649
0.012980	1.12336
0.013508	1.03232
0.014036	1.00327
0.014566	1.04521
0.015092	1.14673
0.015621	1.31033
0.016149	1.49972
0.016678	1.70924
0.017205	1.91635
0.017764	2.08237
0.018293	2.20886
0.018821	2.26043
0.019351	2.24673
0.019879	2.17019
0.020406	2.03317
0.020933	1.85104
0.021463	1.64635
0.021991	1.43924
0.022520	1.25635
0.023047	1.11047
0.023576	1.02744
0.024105	1.00407
0.024634	1.05085
0.025163	1.16123
0.025690	1.32645
0.026217	1.52791
0.026748	1.73986
0.027278	1.93810
0.027809	2.08882
0.028338	2.21128
0.028867	2.26123
0.029394	2.24512
0.029924	2.15810
0.030452	2.01948
0.030981	1.82929
0.031509	1.62621
0.032039	1.42071
0.032567	1.23455
0.033096	1.09355
0.033625	1.02019
0.034153	1.00971
0.034738	1.07664
0.035266	1.19346
0.035795	1.36592
0.036321	1.57142
0.036849	1.77450
0.037377	1.96389
0.037904	2.12104
0.038433	2.22336
0.038961	2.26204
0.039490	2.22498
0.040020	2.13393
0.040548	1.97919
0.041077	1.78578
0.041605	1.59076
0.042132	1.39090
0.042662	1.20877
0.043188	1.08147
0.043717	1.01133
0.044245	1.00730
0.044772	1.07825
0.045301	1.20635
0.045830	1.37962
0.046358	1.58190
0.046887	1.79142
0.047415	1.98081
0.047943	2.13232
0.048471	2.22900
0.048999	2.26934
0.049528	2.22659
0.050056	2.12588
0.050585	1.97194
0.051113	1.79223
0.051645	1.57142
0.052174	1.37076
0.052702	1.19749
0.053231	1.07502
0.053760	1.00971
0.054288	1.01374
0.054816	1.08630
0.055346	1.21924
0.055875	1.39573
0.056402	1.59640
0.056931	1.80592
0.057459	1.99209
0.057987	2.14280
0.058515	2.23545
0.059043	2.26607
