Frecuencia(Hz)	Magnitud(V)
0.00	0.00057
3.69	0.00054
7.39	0.00029
11.08	0.00036
14.78	0.00072
18.47	0.00040
22.17	0.00026
25.86	0.00036
29.56	0.00032
33.25	0.00024
36.95	0.00021
40.64	0.00088
44.34	0.00095
48.03	0.00064
51.73	0.00050
55.42	0.00065
59.12	0.00046
62.81	0.00039
66.50	0.00102
70.20	0.00185
73.89	0.00139
77.59	0.00086
81.28	0.00220
84.98	0.00424
88.67	0.00299
92.37	0.00774
96.06	0.13176
99.76	0.31219
103.45	0.18392
107.15	0.01066
110.84	0.00286
114.54	0.00473
118.23	0.00273
121.93	0.00181
125.62	0.00161
129.31	0.00221
133.01	0.00159
136.70	0.00111
140.40	0.00119
144.09	0.00124
147.79	0.00091
151.48	0.00073
155.18	0.00080
158.87	0.00079
162.57	0.00046
166.26	0.00057
169.96	0.00083
173.65	0.00088
177.35	0.00074
181.04	0.00053
184.73	0.00071
188.43	0.00069
192.12	0.00038
195.82	0.00021
199.51	0.00039
203.21	0.00065
206.90	0.00066
210.60	0.00046
214.29	0.00051
217.99	0.00061
221.68	0.00055
225.38	0.00051
229.07	0.00043
232.77	0.00038
236.46	0.00034
240.16	0.00031
243.85	0.00029
247.54	0.00036
251.24	0.00043
254.93	0.00035
258.63	0.00033
262.32	0.00027
266.02	0.00032
269.71	0.00058
273.41	0.00056
277.10	0.00031
280.80	0.00014
284.49	0.00015
288.19	0.00023
291.88	0.00067
295.58	0.00047
299.27	0.00005
302.97	0.00011
306.66	0.00026
310.35	0.00031
314.05	0.00023
317.74	0.00024
321.44	0.00022
325.13	0.00023
328.83	0.00015
332.52	0.00031
336.22	0.00037
339.91	0.00040
343.61	0.00045
347.30	0.00052
351.00	0.00047
354.69	0.00017
358.39	0.00019
362.08	0.00031
365.78	0.00036
369.47	0.00024
373.16	0.00015
376.86	0.00010
380.55	0.00016
384.25	0.00016
387.94	0.00017
391.64	0.00032
395.33	0.00040
399.03	0.00032
402.72	0.00011
406.42	0.00014
410.11	0.00019
413.81	0.00037
417.50	0.00032
421.20	0.00017
424.89	0.00028
428.59	0.00030
432.28	0.00017
435.97	0.00003
439.67	0.00018
443.36	0.00030
447.06	0.00033
450.75	0.00012
454.45	0.00004
458.14	0.00024
461.84	0.00039
465.53	0.00033
469.23	0.00023
472.92	0.00018
476.62	0.00019
480.31	0.00018
484.01	0.00009
487.70	0.00005
491.40	0.00020
495.09	0.00039
498.78	0.00026
502.48	0.00026
506.17	0.00040
509.87	0.00036
513.56	0.00043
517.26	0.00064
520.95	0.00053
524.65	0.00030
528.34	0.00033
532.04	0.00032
535.73	0.00015
539.43	0.00018
543.12	0.00025
546.82	0.00032
550.51	0.00040
554.20	0.00033
557.90	0.00004
561.59	0.00014
565.29	0.00004
568.98	0.00030
572.68	0.00057
576.37	0.00043
580.07	0.00004
583.76	0.00023
587.46	0.00026
591.15	0.00037
594.85	0.00051
598.54	0.00031
602.24	0.00007
605.93	0.00024
609.63	0.00011
613.32	0.00045
617.01	0.00039
620.71	0.00014
624.40	0.00017
628.10	0.00016
631.79	0.00008
635.49	0.00011
639.18	0.00017
642.88	0.00018
646.57	0.00027
650.27	0.00042
653.96	0.00034
657.66	0.00013
661.35	0.00014
665.05	0.00010
668.74	0.00003
672.44	0.00026
676.13	0.00022
679.82	0.00005
683.52	0.00014
687.21	0.00011
690.91	0.00014
694.60	0.00032
698.30	0.00033
701.99	0.00041
705.69	0.00036
709.38	0.00037
713.08	0.00039
716.77	0.00029
720.47	0.00019
724.16	0.00009
727.86	0.00018
731.55	0.00020
735.25	0.00027
738.94	0.00030
742.63	0.00002
746.33	0.00028
750.02	0.00020
753.72	0.00015
757.41	0.00022
761.11	0.00010
764.80	0.00029
768.50	0.00032
772.19	0.00028
775.89	0.00016
779.58	0.00011
783.28	0.00006
786.97	0.00013
790.67	0.00030
794.36	0.00015
798.06	0.00006
801.75	0.00005
805.44	0.00013
809.14	0.00025
812.83	0.00028
816.53	0.00022
820.22	0.00017
823.92	0.00020
827.61	0.00021
831.31	0.00024
835.00	0.00020
838.70	0.00012
842.39	0.00007
846.09	0.00014
849.78	0.00023
853.48	0.00016
857.17	0.00001
860.87	0.00019
864.56	0.00038
868.25	0.00042
871.95	0.00007
875.64	0.00046
879.34	0.00049
883.03	0.00033
886.73	0.00015
890.42	0.00034
894.12	0.00031
897.81	0.00011
901.51	0.00011
905.20	0.00014
908.90	0.00007
912.59	0.00010
916.29	0.00011
919.98	0.00004
923.67	0.00015
927.37	0.00020
931.06	0.00015
934.76	0.00024
938.45	0.00037
942.15	0.00020
