Frecuencia(Hz)	Magnitud(V)
0.00	0.01418
14.78	0.01416
29.56	0.01485
44.34	0.01738
59.12	0.02138
73.90	0.03166
88.68	0.07424
103.46	0.10585
118.24	0.03825
133.02	0.02010
147.80	0.01335
162.58	0.00992
177.36	0.00771
192.14	0.00629
206.92	0.00541
221.70	0.00455
236.49	0.00402
251.27	0.00341
266.05	0.00324
280.83	0.00287
295.61	0.00283
310.39	0.00253
325.17	0.00229
339.95	0.00223
354.73	0.00216
369.51	0.00203
384.29	0.00177
399.07	0.00153
413.85	0.00165
428.63	0.00152
443.41	0.00156
458.19	0.00155
472.97	0.00148
487.75	0.00142
502.53	0.00143
517.31	0.00129
532.09	0.00127
546.87	0.00131
561.65	0.00125
576.43	0.00116
591.21	0.00118
605.99	0.00119
620.77	0.00112
635.55	0.00110
650.33	0.00116
665.11	0.00110
679.90	0.00112
694.68	0.00107
709.46	0.00107
724.24	0.00119
739.02	0.00122
753.80	0.00108
768.58	0.00100
783.36	0.00097
798.14	0.00098
812.92	0.00096
827.70	0.00102
842.48	0.00077
857.26	0.00089
872.04	0.00108
886.82	0.00097
901.60	0.00092
916.38	0.00095
931.16	0.00106
