Frecuencia(Hz)	Magnitud(V)
0.00	0.01374
7.39	0.01185
14.78	0.01305
22.16	0.01237
29.55	0.01383
36.94	0.01384
44.33	0.01644
51.71	0.01729
59.10	0.02070
66.49	0.02313
73.88	0.03140
81.27	0.04011
88.65	0.06976
96.04	0.24853
103.43	0.26543
110.82	0.06494
118.20	0.04063
125.59	0.02700
132.98	0.02245
140.37	0.01739
147.75	0.01517
155.14	0.01239
162.53	0.01175
169.92	0.00985
177.31	0.00919
184.69	0.00785
192.08	0.00805
199.47	0.00716
206.86	0.00665
214.24	0.00589
221.63	0.00619
229.02	0.00541
236.41	0.00542
243.80	0.00467
251.18	0.00494
258.57	0.00442
265.96	0.00465
273.35	0.00407
280.73	0.00405
288.12	0.00387
295.51	0.00379
302.90	0.00340
310.28	0.00371
317.67	0.00330
325.06	0.00332
332.45	0.00332
339.84	0.00344
347.22	0.00309
354.61	0.00302
362.00	0.00313
369.39	0.00287
376.77	0.00284
384.16	0.00277
391.55	0.00257
398.94	0.00262
406.33	0.00244
413.71	0.00255
421.10	0.00235
428.49	0.00241
435.88	0.00226
443.26	0.00233
450.65	0.00238
458.04	0.00230
465.43	0.00225
472.82	0.00242
480.20	0.00221
487.59	0.00203
494.98	0.00213
502.37	0.00222
509.75	0.00214
517.14	0.00215
524.53	0.00192
531.92	0.00209
539.30	0.00210
546.69	0.00212
554.08	0.00181
561.47	0.00176
568.86	0.00170
576.24	0.00189
583.63	0.00189
591.02	0.00164
598.41	0.00191
605.79	0.00192
613.18	0.00186
620.57	0.00164
627.96	0.00183
635.35	0.00199
642.73	0.00188
650.12	0.00182
657.51	0.00167
664.90	0.00161
672.28	0.00163
679.67	0.00160
687.06	0.00159
694.45	0.00182
701.83	0.00134
709.22	0.00158
716.61	0.00155
724.00	0.00154
731.39	0.00147
738.77	0.00148
746.16	0.00185
753.55	0.00170
760.94	0.00140
768.32	0.00164
775.71	0.00174
783.10	0.00137
790.49	0.00133
797.88	0.00152
805.26	0.00174
812.65	0.00165
820.04	0.00168
827.43	0.00153
834.81	0.00156
842.20	0.00166
849.59	0.00150
856.98	0.00129
864.36	0.00145
871.75	0.00169
879.14	0.00164
886.53	0.00160
893.92	0.00153
901.30	0.00151
908.69	0.00153
916.08	0.00158
923.47	0.00157
930.85	0.00095
938.24	0.00132
