Frecuencia(Hz)	Magnitud(V)
0.00	0.00827
29.55	0.00922
59.11	0.01292
88.66	0.02849
118.21	0.02164
147.77	0.00708
177.32	0.00394
206.87	0.00257
236.43	0.00183
265.98	0.00134
295.53	0.00113
325.09	0.00094
354.64	0.00076
384.19	0.00059
413.75	0.00048
443.30	0.00041
472.86	0.00044
502.41	0.00037
531.96	0.00029
561.52	0.00023
591.07	0.00022
620.62	0.00014
650.18	0.00017
679.73	0.00021
709.28	0.00019
738.84	0.00013
768.39	0.00012
797.94	0.00010
827.50	0.00011
857.05	0.00007
886.60	0.00011
916.16	0.00015
