Tiempo(s)	Voltaje(V)
0.000064	1.77370
0.000649	1.55531
0.001191	1.36512
0.001720	1.17573
0.002249	1.06133
0.002810	1.00971
0.003340	1.02180
0.003870	1.09919
0.004399	1.24910
0.004944	1.44005
0.005472	1.64313
0.006001	1.85346
0.006531	2.03479
0.007062	2.16616
0.007590	2.24915
0.008118	2.25317
0.008646	2.20886
0.009194	2.07995
0.009722	1.91313
0.010251	1.71569
0.010778	1.50213
0.011307	1.31517
0.011837	1.15237
0.012366	1.04441
0.012893	1.00407
0.013423	1.03313
0.013952	1.12175
0.014482	1.26683
0.015019	1.46185
0.015549	1.67218
0.016078	1.87123
0.016608	2.04848
0.017137	2.18389
0.017699	2.25559
0.018227	2.25398
0.018755	2.18791
0.019282	2.05976
0.019810	1.88010
0.020339	1.68104
0.020868	1.47796
0.021396	1.28455
0.021924	1.13867
0.022452	1.02422
0.022981	1.00971
0.023509	1.03957
0.024038	1.14431
0.024566	1.29986
0.025096	1.48763
0.025624	1.68991
0.026152	1.90185
0.026683	2.07029
0.027212	2.19194
0.027741	2.24995
0.028269	2.24753
0.028801	2.17986
0.029330	2.04687
0.029857	1.86318
0.030386	1.67057
0.030915	1.45943
0.031444	1.26441
0.031973	1.12175
0.032501	1.02986
0.033029	1.00327
0.033557	1.05810
0.034087	1.16445
0.034670	1.33047
0.035198	1.53597
0.035726	1.73664
0.036253	1.94052
0.036783	2.10412
0.037311	2.21934
0.037840	2.26445
0.038369	2.24190
0.038896	2.15649
0.039425	2.01706
0.039953	1.83896
0.040481	1.63185
0.041009	1.42393
0.041536	1.23863
0.042064	1.09597
0.042594	1.01938
0.043120	1.00810
0.043651	1.05972
0.044177	1.17815
0.044707	1.35223
0.045236	1.54081
0.045763	1.74791
0.046292	1.95341
0.046820	2.10574
0.047349	2.22578
0.047878	2.26123
0.048407	2.24109
0.048936	2.15408
0.049463	2.00095
0.049991	1.81237
0.050519	1.60284
0.051046	1.40862
0.051574	1.22810
0.052102	1.08872
0.052631	1.01938
0.053158	1.00569
0.053687	1.06616
0.054215	1.18782
0.054743	1.36109
0.055270	1.55934
0.055798	1.76403
0.056328	1.95986
0.056856	2.11863
0.057386	2.22739
0.057914	2.26526
0.058442	2.23384
0.058972	2.13957
0.059499	1.98725
0.060028	1.80190
0.060556	1.59640
0.061085	1.39090
0.061613	1.21602
0.062141	1.07986
0.062669	1.01455
0.063197	1.00971
0.063726	1.07502
0.064254	1.19910
0.064781	1.37559
0.065309	1.57626
0.065837	1.78095
0.066364	1.97597
