Frecuencia(Hz)	Magnitud(V)
0.00	0.00011
0.92	0.00010
1.85	0.00008
2.77	0.00005
3.70	0.00002
4.62	0.00002
5.54	0.00005
6.47	0.00008
7.39	0.00010
8.31	0.00012
9.24	0.00013
10.16	0.00014
11.09	0.00015
12.01	0.00015
12.93	0.00015
13.86	0.00014
14.78	0.00014
15.71	0.00013
16.63	0.00011
17.55	0.00009
18.48	0.00007
19.40	0.00005
20.32	0.00006
21.25	0.00009
22.17	0.00011
23.10	0.00014
24.02	0.00016
24.94	0.00017
25.87	0.00019
26.79	0.00020
27.71	0.00021
28.64	0.00022
29.56	0.00022
30.49	0.00021
31.41	0.00019
32.33	0.00016
33.26	0.00013
34.18	0.00010
35.11	0.00008
36.03	0.00007
36.95	0.00009
37.88	0.00013
38.80	0.00016
39.72	0.00020
40.65	0.00022
41.57	0.00023
42.50	0.00022
43.42	0.00021
44.34	0.00019
45.27	0.00016
46.19	0.00013
47.12	0.00010
48.04	0.00007
48.96	0.00006
49.89	0.00007
50.81	0.00009
51.73	0.00012
52.66	0.00016
53.58	0.00019
54.51	0.00021
55.43	0.00023
56.35	0.00024
57.28	0.00026
58.20	0.00028
59.12	0.00030
60.05	0.00031
60.97	0.00031
61.90	0.00029
62.82	0.00026
63.74	0.00023
64.67	0.00022
65.59	0.00025
66.52	0.00031
67.44	0.00039
68.36	0.00045
69.29	0.00049
70.21	0.00049
71.13	0.00047
72.06	0.00043
72.98	0.00041
73.91	0.00040
74.83	0.00040
75.75	0.00040
76.68	0.00037
77.60	0.00031
78.53	0.00025
79.45	0.00023
80.37	0.00032
81.30	0.00051
82.22	0.00078
83.14	0.00102
84.07	0.00111
84.99	0.00099
85.92	0.00070
86.84	0.00045
87.76	0.00045
88.69	0.00076
89.61	0.00158
90.53	0.00261
91.46	0.00312
92.38	0.00209
93.31	0.00160
94.23	0.00867
95.15	0.01933
96.08	0.03285
97.00	0.04768
97.93	0.06164
98.85	0.07242
99.77	0.07811
100.70	0.07767
101.62	0.07123
102.54	0.06000
103.47	0.04602
104.39	0.03159
105.32	0.01878
106.24	0.00898
107.16	0.00271
108.09	0.00036
109.01	0.00102
109.94	0.00043
110.86	0.00071
111.78	0.00142
112.71	0.00166
113.63	0.00148
114.55	0.00110
115.48	0.00075
116.40	0.00057
117.33	0.00055
118.25	0.00063
119.17	0.00069
120.10	0.00067
121.02	0.00055
121.94	0.00040
122.87	0.00026
123.79	0.00021
124.72	0.00024
125.64	0.00032
126.56	0.00042
127.49	0.00048
128.41	0.00050
129.34	0.00048
130.26	0.00043
131.18	0.00039
132.11	0.00035
133.03	0.00033
133.95	0.00032
134.88	0.00030
135.80	0.00027
136.73	0.00025
137.65	0.00024
138.57	0.00024
139.50	0.00026
140.42	0.00028
141.35	0.00030
142.27	0.00030
143.19	0.00028
144.12	0.00025
145.04	0.00022
145.96	0.00019
146.89	0.00018
147.81	0.00017
148.74	0.00016
149.66	0.00015
150.58	0.00014
151.51	0.00014
152.43	0.00014
153.35	0.00015
154.28	0.00017
155.20	0.00020
156.13	0.00022
157.05	0.00023
157.97	0.00023
158.90	0.00022
159.82	0.00020
160.75	0.00018
161.67	0.00015
162.59	0.00013
163.52	0.00011
164.44	0.00010
165.36	0.00009
166.29	0.00009
167.21	0.00010
168.14	0.00012
169.06	0.00014
169.98	0.00015
170.91	0.00017
171.83	0.00017
172.76	0.00017
173.68	0.00016
174.60	0.00015
175.53	0.00013
176.45	0.00013
177.37	0.00012
178.30	0.00012
179.22	0.00012
180.15	0.00011
181.07	0.00010
181.99	0.00009
182.92	0.00009
183.84	0.00009
184.77	0.00010
185.69	0.00011
186.61	0.00013
187.54	0.00014
188.46	0.00014
189.38	0.00015
190.31	0.00014
191.23	0.00013
192.16	0.00012
193.08	0.00010
194.00	0.00010
194.93	0.00009
195.85	0.00008
196.77	0.00007
197.70	0.00006
198.62	0.00006
199.55	0.00006
200.47	0.00007
201.39	0.00007
