Tiempo(s)	Voltaje(V)
0.000065	1.15237
0.000656	1.04521
0.001198	1.00166
0.001730	1.03232
0.002261	1.13787
0.002824	1.29825
0.003355	1.48521
0.003884	1.69313
0.004414	1.89702
0.004960	2.07270
0.005491	2.19275
0.006019	2.25881
0.006548	2.25076
0.007077	2.17664
0.007605	2.04204
0.008133	1.86479
0.008661	1.66010
0.009208	1.43118
0.009782	1.24668
0.010320	1.10645
0.010849	1.01858
0.011376	0.99279
0.011903	1.05891
0.012432	1.17009
0.012961	1.34095
0.013489	1.53758
0.014018	1.74711
0.014547	1.94455
0.015077	2.10574
0.015606	2.21531
0.016135	2.25962
0.016663	2.24109
0.017192	2.14844
0.017753	1.99450
0.018283	1.81076
0.018812	1.60043
0.019340	1.39976
0.019870	1.21924
0.020397	1.08953
0.020925	1.01455
0.021452	1.00891
0.021981	1.07180
0.022510	1.19265
0.023039	1.36592
0.023569	1.57384
0.024098	1.77611
0.024625	1.96872
0.025155	2.12829
0.025683	2.22256
0.026212	2.26123
0.026742	2.22981
0.027270	2.13716
0.027803	1.98967
0.028331	1.79384
0.028860	1.57787
0.029388	1.38445
0.029916	1.20635
0.030444	1.07905
0.030972	1.01213
0.031500	1.01213
0.032028	1.07664
0.032554	1.20554
0.033083	1.38526
0.033612	1.58109
0.034142	1.80028
0.034722	1.99853
0.035250	2.14683
0.035780	2.23706
0.036308	2.26365
0.036836	2.21772
0.037365	2.11218
0.037894	1.95100
0.038423	1.75436
0.038953	1.54645
0.039481	1.34981
0.040010	1.17976
0.040539	1.06133
0.041067	1.00810
0.041596	1.02019
0.042126	1.09919
0.042654	1.23863
0.043182	1.42071
0.043710	1.62540
0.044237	1.82929
0.044765	2.01303
0.045293	2.16133
0.045821	2.24190
0.046349	2.26284
0.046876	2.21450
0.047405	2.10251
0.047933	1.93166
0.048462	1.73986
0.048990	1.53114
0.049518	1.33531
0.050048	1.17171
0.050575	1.05408
0.051102	1.00649
0.051631	1.02019
0.052160	1.10806
0.052689	1.24829
0.053219	1.43199
0.053748	1.63829
0.054276	1.84540
0.054804	2.02351
0.055332	2.16294
0.055861	2.24351
0.056389	2.25962
0.056917	2.20886
0.057445	2.08721
0.057975	1.92521
0.058503	1.72938
0.059031	1.51422
0.059560	1.32161
0.060089	1.16043
0.060619	1.05327
0.061148	1.00407
0.061676	1.02663
0.062204	1.11853
0.062734	1.26441
0.063262	1.44896
0.063791	1.65365
0.064319	1.86237
0.064847	2.03801
0.065375	2.17986
0.065904	2.24834
0.066431	2.26043
0.066961	2.20161
0.067489	2.07834
0.068020	1.89379
0.068644	1.67138
0.069173	1.47716
0.069701	1.27166
0.070229	1.12014
0.070758	1.03152
0.071285	1.00407
0.071815	1.04280
0.072343	1.14995
0.072871	1.30791
0.073404	1.50213
0.073938	1.71247
0.074469	1.91635
0.074998	2.08157
0.075526	2.20403
0.076055	2.26204
0.076585	2.24190
0.077114	2.16858
0.077641	2.03479
0.078170	1.85426
0.078700	1.64393
0.079229	1.44246
0.079757	1.25313
0.080286	1.11128
0.080815	1.02502
0.081342	1.00730
0.081870	1.04763
0.082398	1.16445
0.082927	1.32645
0.083455	1.52389
0.083982	1.73100
0.084512	1.92602
0.085040	2.09365
0.085570	2.21209
0.086098	2.25881
0.086627	2.24109
0.087155	2.15972
0.087684	2.01948
0.088212	1.83896
0.088741	1.62701
0.089269	1.42232
0.089797	1.24266
0.090325	1.10000
0.090853	1.01858
0.091380	1.00407
0.091907	1.06294
0.092435	1.17009
0.092963	1.34256
0.093490	1.53355
0.094017	1.74711
0.094546	1.94052
0.095075	2.10574
0.095604	2.21450
0.096134	2.26526
0.096664	2.24028
0.097192	2.15408
0.097720	2.00336
0.098246	1.82445
0.098775	1.61734
0.099305	1.41104
0.099834	1.22891
0.100362	1.09758
0.100889	1.02099
0.101417	1.00569
0.101944	1.06455
0.102473	1.18137
0.103000	1.35142
0.103528	1.55209
0.104056	1.76242
0.104584	1.94938
0.105112	2.11218
0.105641	2.22175
0.106170	2.26284
0.106698	2.23948
0.107227	2.14844
0.107756	1.99611
0.108284	1.80753
0.108813	1.60204
0.109340	1.40298
0.109868	1.22327
0.110397	1.09114
0.110928	1.01374
0.111455	1.00569
0.111983	1.07180
0.112511	1.19426
0.113040	1.36512
0.113568	1.56981
0.114097	1.77772
0.114626	1.97114
0.115155	2.12346
0.115682	2.22175
0.116211	2.26043
0.116739	2.22739
0.117268	2.13474
0.117796	1.98564
0.118324	1.78498
0.118852	1.57706
0.119381	1.37881
0.119909	1.20715
0.120437	1.08147
0.120966	1.01133
0.121494	1.01294
0.122022	1.07744
0.122551	1.20715
0.123078	1.37962
0.123606	1.58351
0.124135	1.79062
0.124663	1.98564
0.125190	2.13796
0.125718	2.23142
0.126246	2.26526
0.126776	2.21772
0.127304	2.12588
0.127831	1.97033
0.128359	1.78336
0.128888	1.57303
0.129416	1.37076
0.129944	1.20152
0.130472	1.06536
0.131001	1.01052
0.131528	1.01535
0.132056	1.08308
0.132584	1.21441
0.133110	1.39412
0.133639	1.59237
0.134166	1.80915
0.134694	1.98725
0.135222	2.14360
0.135750	2.24753
0.136453	2.25559
0.136981	2.20000
0.137512	2.07270
0.138046	1.89540
0.138574	1.69957
0.139102	1.49247
0.139630	1.29744
0.140159	1.14351
0.140688	1.04119
0.141216	1.00569
0.141745	1.03313
0.142274	1.12659
0.142801	1.28213
0.143329	1.47313
0.143858	1.68266
0.144386	1.88976
0.144913	2.05896
0.145441	2.18791
0.145970	2.25640
0.146498	2.25479
0.147026	2.18791
0.147556	2.05734
0.148084	1.88251
0.148613	1.68104
0.149140	1.47796
0.149669	1.28455
0.150197	1.12659
0.150725	1.03474
0.151253	1.00327
0.151782	1.03716
0.152310	1.14351
0.152840	1.29744
0.153368	1.48924
0.153898	1.69796
0.154427	1.89782
0.154955	2.07431
0.155483	2.19275
0.156013	2.25962
0.156542	2.25237
0.157069	2.18066
0.157598	2.04687
0.158125	1.86559
0.158656	1.66574
0.159185	1.45863
0.159712	1.27327
0.160240	1.11047
0.160768	1.02986
0.161296	1.00810
0.161824	1.04441
0.162353	1.15156
0.162881	1.31194
0.163410	1.50858
0.163937	1.71247
0.164465	1.91313
0.164994	2.08479
0.165523	2.20081
0.166050	2.25881
0.166578	2.24995
0.167107	2.17502
0.167636	2.03479
0.168163	1.85104
0.168692	1.65204
0.169221	1.44412
0.169751	1.25716
0.170279	1.11370
0.170806	1.02502
0.171334	1.00407
0.171863	1.05247
0.172391	1.16123
0.172920	1.32483
0.173448	1.52066
0.173978	1.73100
0.174505	1.91474
0.175032	2.09284
0.175559	2.20886
0.176089	2.26365
0.176616	2.24673
0.177146	2.15972
0.177675	2.03479
0.178203	1.83896
0.178730	1.63749
0.179261	1.42474
0.179791	1.24427
0.180319	1.10322
0.180846	1.02341
0.181373	1.00327
0.181903	1.05649
0.182430	1.16848
0.182959	1.33128
0.183489	1.53194
0.184017	1.74953
0.184546	1.94294
0.185075	2.10815
0.185602	2.21531
0.186132	2.26687
0.186660	2.24190
0.187190	2.15569
0.187717	2.00900
0.188246	1.82123
0.188773	1.62137
0.189302	1.41507
0.189830	1.23052
0.190359	1.09436
0.190889	1.01938
0.191418	1.00810
0.191947	1.06536
0.192475	1.18298
0.193005	1.35464
0.193533	1.55531
0.194061	1.76000
0.194590	1.95422
0.195119	2.11540
0.195648	2.22175
0.196176	2.26284
0.196703	2.23626
0.197231	2.14360
0.197758	1.99611
0.198287	1.80592
0.198815	1.59962
0.199342	1.40057
0.199870	1.22327
0.200399	1.08550
0.200926	1.01535
0.201454	1.00971
0.201988	1.07261
0.202519	1.19749
0.203047	1.37237
0.203575	1.57303
0.204103	1.77450
0.204635	1.97194
0.205163	2.12346
0.205692	2.22739
0.206221	2.26365
0.206750	2.22820
0.207278	2.13232
0.207805	1.98322
0.208334	1.78659
0.208861	1.58673
0.209389	1.37801
0.209917	1.20393
0.210446	1.07422
0.210974	1.00569
0.211504	1.01535
0.212032	1.08066
0.212560	1.20796
0.213089	1.38365
0.213619	1.58351
0.214148	1.79545
0.214676	1.98564
0.215205	2.13716
0.215733	2.23464
0.216261	2.26204
0.216790	2.22820
0.217317	2.12507
0.217845	1.96711
0.218374	1.77853
0.218902	1.56498
0.219431	1.37237
0.219960	1.19426
0.220488	1.06858
0.221018	1.00891
0.221549	1.01535
0.222077	1.09033
0.222604	1.22246
0.223134	1.40057
0.223661	1.60768
0.224190	1.81237
0.224719	1.99772
0.225248	2.14602
0.225777	2.23384
0.226304	2.26284
0.226833	2.22095
0.227362	2.11218
0.227890	1.95502
0.228420	1.75839
0.228947	1.55289
0.229474	1.35062
0.230002	1.18218
0.230530	1.06777
0.231057	1.00488
0.231585	1.01616
0.232114	1.09678
0.232642	1.23133
0.233170	1.41507
0.233699	1.61734
0.234226	1.82526
0.234755	2.01545
0.235282	2.15327
0.235810	2.24351
0.236340	2.26848
0.236868	2.21853
0.237397	2.10412
0.237925	1.94455
0.238452	1.73905
0.238980	1.53597
0.239509	1.34175
0.240037	1.17332
0.240566	1.05649
0.241093	1.00327
0.241622	1.02341
0.242149	1.08953
0.242677	1.24991
0.243206	1.42957
0.243734	1.63265
0.244262	1.83896
0.244790	2.02109
0.245320	2.16133
0.245848	2.24512
0.246376	2.25881
0.246903	2.20886
0.247433	2.08962
0.247962	1.92199
0.248490	1.72938
0.249018	1.52066
0.249547	1.32322
0.250076	1.16043
0.250605	1.05408
0.251133	1.00488
0.251662	1.02583
0.252190	1.11128
0.252717	1.25796
0.253245	1.44493
0.253773	1.64554
0.254301	1.85185
0.254830	2.03076
0.255359	2.17261
0.255886	2.24673
0.256415	2.25720
0.256943	2.19919
0.257472	2.08640
0.258000	1.90829
0.258526	1.71488
0.259055	1.50536
0.259583	1.31517
0.260111	1.15559
0.260639	1.05649
0.261168	1.00166
0.261696	1.03152
0.262226	1.12256
0.262755	1.27408
0.263284	1.45702
0.263814	1.66654
0.264342	1.86801
0.264871	2.04526
0.265403	2.18630
0.265937	2.25076
0.266467	2.26607
0.266997	2.19194
0.267524	2.06948
0.268052	1.89460
0.268582	1.69555
0.269110	1.48602
0.269638	1.29583
0.270167	1.13867
0.270696	1.04038
