Tiempo(s)	Voltaje(V)
0.000071	1.54322
0.000651	1.33289
0.001190	1.17090
0.001720	1.05327
0.002250	1.00327
0.002816	1.02824
0.003345	1.11853
0.003875	1.26280
0.004406	1.45540
0.004957	1.67138
0.005487	1.86721
0.006016	2.04284
0.006544	2.18147
0.007072	2.25640
0.007600	2.25962
0.008130	2.19033
0.008659	2.06384
0.009207	1.88654
0.009737	1.69071
0.010264	1.47152
0.010794	1.29019
0.011322	1.13142
0.011851	1.04038
0.012380	1.00166
0.012910	1.03877
0.013438	1.14028
0.013967	1.29261
0.014494	1.48360
0.015021	1.69877
0.015549	1.89218
0.016078	2.06706
0.016606	2.19355
0.017136	2.25398
0.017691	2.25317
0.018226	2.17341
0.018754	2.04043
0.019285	1.86076
0.019813	1.65768
0.020340	1.44815
0.020869	1.26602
0.021397	1.11611
0.021926	1.02905
0.022454	1.00166
0.022981	1.04924
0.023510	1.15801
0.024038	1.31678
0.024567	1.51180
0.025095	1.72213
0.025624	1.92280
0.026152	2.09526
0.026682	2.20725
0.027212	2.25156
0.027739	2.24673
0.028268	2.16777
0.028797	2.02915
0.029325	1.84460
0.029853	1.63910
0.030381	1.44327
0.030911	1.24991
0.031438	1.10886
0.031967	1.02502
0.032495	1.00569
0.033023	1.05408
0.033552	1.16929
0.034080	1.34336
0.034664	1.55370
0.035192	1.75839
0.035721	1.95502
0.036248	2.11863
0.036776	2.21611
0.037303	2.26204
0.037831	2.23384
0.038359	2.15085
0.038890	1.99934
0.039418	1.80915
0.039945	1.60526
0.040473	1.40218
0.041000	1.22246
0.041528	1.08953
0.042056	1.01294
0.042583	1.00407
0.043112	1.06777
0.043640	1.19265
0.044168	1.36592
0.044697	1.56014
0.045226	1.77289
0.045756	1.96550
0.046284	2.12104
0.046812	2.22578
0.047339	2.26365
0.047868	2.23545
0.048396	2.13635
0.048924	1.98564
0.049452	1.79867
0.049980	1.58512
0.050507	1.39090
0.051035	1.21602
0.051563	1.08147
0.052093	1.01294
0.052621	1.00810
0.053150	1.07502
0.053678	1.19990
0.054206	1.37801
0.054735	1.58109
0.055262	1.78498
0.055789	1.97597
0.056318	2.13232
0.056846	2.22900
0.057374	2.25962
0.057902	2.23062
0.058431	2.13071
0.058961	1.96953
0.059488	1.78578
0.060018	1.57626
0.060546	1.38607
0.061074	1.20071
0.061602	1.07261
0.062130	1.00971
0.062659	1.01294
0.063187	1.08228
0.063716	1.21441
0.064245	1.39251
0.064773	1.59398
0.065301	1.79867
0.065831	1.98806
0.066359	2.14119
0.066887	2.23303
0.067415	2.26123
0.067945	2.22014
0.068567	2.09446
0.069095	1.93488
0.069622	1.73100
0.070149	1.52550
0.070679	1.32886
0.071208	1.16445
0.071736	1.05166
0.072264	1.00649
0.072793	1.02260
0.073323	1.10886
0.073851	1.25877
0.074380	1.44246
0.074907	1.65043
0.075436	1.85265
0.075964	2.03559
0.076492	2.17341
0.077019	2.24512
0.077547	2.26043
0.078077	2.20564
0.078605	2.08479
0.079133	1.91313
0.079660	1.71810
0.080189	1.51261
0.080718	1.31517
0.081246	1.15640
0.081780	1.04119
0.082318	0.99924
0.082848	1.03066
0.083377	1.12578
0.083904	1.27005
0.084432	1.46024
0.084960	1.66976
0.085488	1.87446
0.086017	2.05009
0.086545	2.18066
0.087074	2.25479
0.087601	2.25881
0.088129	2.19275
0.088657	2.07190
0.089186	1.89299
0.089714	1.70038
0.090243	1.48924
0.090771	1.29422
0.091300	1.13948
0.091829	1.04360
0.092356	1.00569
0.092885	1.03393
