Tiempo(s)	Voltaje(V)
0.000067	1.01616
0.000654	1.00971
0.001195	1.07341
0.001725	1.19829
0.002255	1.38123
0.002815	1.58351
0.003345	1.78900
0.003873	1.98725
0.004403	2.13877
0.004951	2.23464
0.005481	2.26526
0.006010	2.22417
0.006537	2.12266
0.007065	1.96147
0.007594	1.76886
0.008184	1.52550
0.008723	1.33128
0.009279	1.16204
0.009809	1.05327
0.010338	1.00246
0.010866	1.02502
0.011393	1.11209
0.011922	1.25796
0.012449	1.44412
0.012977	1.64635
0.013505	1.85346
0.014033	2.02753
0.014562	2.17100
0.015089	2.24915
0.015618	2.25801
0.016147	2.20645
0.016676	2.07915
0.017204	1.91232
0.017757	1.70763
0.018287	1.50455
0.018814	1.30228
0.019341	1.15237
0.019870	1.04360
0.020399	1.00488
0.020928	1.02986
0.021456	1.12659
0.021983	1.27810
0.022512	1.46346
0.023040	1.67379
0.023570	1.87687
0.024098	2.05171
0.024627	2.18469
0.025158	2.25559
0.025685	2.25237
0.026214	2.19194
0.026745	2.06626
0.027273	1.89057
0.027802	1.68668
0.028331	1.47957
0.028859	1.28858
0.029391	1.13062
0.029920	1.03635
0.030450	1.00166
0.030981	1.03716
0.031509	1.13867
0.032039	1.29905
0.032568	1.48683
0.033096	1.69393
0.033624	1.89782
0.034152	2.07754
0.034731	2.19839
0.035260	2.25962
0.035789	2.24995
0.036318	2.16777
0.036847	2.03640
0.037375	1.84943
0.037903	1.64554
0.038432	1.44327
0.038962	1.25474
0.039490	1.11209
0.040020	1.02744
0.040547	1.00246
0.041074	1.05247
0.041603	1.16445
0.042132	1.32725
0.042660	1.52550
0.043190	1.72697
0.043718	1.92924
0.044247	2.09687
0.044778	2.21209
0.045307	2.25962
0.045834	2.24753
0.046362	2.16133
0.046890	2.01706
0.047420	1.83573
0.047947	1.62782
0.048476	1.43199
0.049005	1.24588
0.049533	1.10322
0.050062	1.02099
0.050590	1.00569
0.051118	1.05730
0.051645	1.16607
0.052175	1.34336
0.052703	1.53839
0.053232	1.74711
0.053762	1.94374
0.054291	2.10976
0.054818	2.21692
0.055346	2.26526
0.055873	2.24028
0.056401	2.15327
0.056930	2.00417
0.057458	1.82123
0.057986	1.61251
0.058514	1.41185
0.059042	1.23213
0.059569	1.09114
0.060098	1.01616
0.060627	1.00810
0.061155	1.06455
0.061682	1.18621
0.062210	1.35545
0.062737	1.55531
0.063266	1.76242
0.063794	1.95502
0.064322	2.11621
0.064850	2.22417
0.065379	2.26365
0.065908	2.23545
0.066437	2.14280
0.066966	1.99209
0.067494	1.80753
0.068023	1.58190
0.068647	1.36512
0.069174	1.19104
0.069704	1.06697
0.070234	1.00649
0.070761	1.01535
0.071289	1.08469
0.071817	1.22488
0.072347	1.41024
0.072880	1.61090
0.073411	1.81720
0.073940	2.00175
0.074468	2.14763
