n,t_us,dec,bin,hex,volts
0,564,3902,111100111110,0xF3E,3.144469
1,1676,3917,111101001101,0xF4D,3.156557
2,2434,3824,111011110000,0xEF0,3.081612
3,3159,3624,111000101000,0xE28,2.920440
4,4007,3313,110011110001,0xCF1,2.669817
5,5008,2827,101100001011,0xB0B,2.278168
6,6014,2275,100011100011,0x8E3,1.833333
7,7012,1732,011011000100,0x6C4,1.395751
8,8006,1207,010010110111,0x4B7,0.972674
9,9007,776,001100001000,0x308,0.625348
10,10011,488,000111101000,0x1E8,0.393260
11,11009,357,000101100101,0x165,0.287692
12,12006,417,000110100001,0x1A1,0.336044
13,15916,1955,011110100011,0x7A3,1.575458
14,16894,2515,100111010011,0x9D3,2.026740
15,17648,2923,101101101011,0xB6B,2.355531
16,18385,3271,110011000111,0xCC7,2.635971
17,19097,3556,110111100100,0xDE4,2.865641
18,19813,3772,111010111100,0xEBC,3.039707
19,20527,3904,111101000000,0xF40,3.146081
20,21232,3942,111101100110,0xF66,3.176703
21,21942,3901,111100111101,0xF3D,3.143663
22,22668,3768,111010111000,0xEB8,3.036483
23,23384,3549,110111011101,0xDDD,2.860000
24,24090,3276,110011001100,0xCCC,2.640000
25,27278,1573,011000100101,0x625,1.267619
26,28269,1076,010000110100,0x434,0.867106
27,29025,774,001100000110,0x306,0.623736
28,29752,561,001000110001,0x231,0.452088
29,30476,412,000110011100,0x19C,0.332015
30,31191,353,000101100001,0x161,0.284469
31,31915,398,000110001110,0x18E,0.320733
32,32638,531,001000010011,0x213,0.427912
33,33366,737,001011100001,0x2E1,0.593919
34,34078,1023,001111111111,0x3FF,0.824396
35,35009,1471,010110111111,0x5BF,1.185421
36,36008,2019,011111100011,0x7E3,1.627033
37,37007,2583,101000010111,0xA17,2.081538
38,38006,3098,110000011010,0xC1A,2.496557
39,39010,3522,110111000010,0xDC2,2.838242
