"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.971909167E-1	2.746397723E-1	1.179925726E-1	1.070569637E0	1.111516352E0
6.071239166E-1	3.951063750E-1	8.843314335E-2	1.563654808E0	1.615223151E0
6.170569167E-1	2.493174548E-1	3.646177500E-3	1.025171855E0	1.055059155E0
6.269889167E-1	1.262382431E-1	-7.426343948E-2	1.861110270E-1	2.368300378E-1
6.369219166E-1	-7.116727301E-1	-1.192886080E-1	2.377483732E-1	7.597579454E-1
6.468549166E-1	-8.708613490E-1	-2.034203933E-1	1.750773311E-2	8.944751904E-1
6.567879167E-1	-3.348408774E-1	-3.238740590E-1	-3.725261092E-2	4.673334744E-1
6.667209166E-1	1.947100885E-2	-3.006812243E-1	1.975323933E-1	3.602878922E-1
6.766539166E-1	1.334140923E-1	-1.780472781E-1	1.818951845E-1	2.873778200E-1
6.865869167E-1	1.302020705E-1	-3.257191479E-2	-1.641319281E-1	2.120207505E-1
6.965199166E-1	3.626538165E-2	1.168595284E-1	-5.332017481E-1	5.470607201E-1
7.064529166E-1	7.728783868E-2	2.693326932E-1	-8.218320072E-1	8.682864491E-1
7.163859167E-1	2.843772136E-1	3.918011633E-1	-9.453626239E-1	1.062115362E0
7.263189167E-1	4.648787874E-1	4.596870446E-1	-8.617766762E-1	1.081703982E0
7.362509166E-1	5.776068925E-1	4.423228607E-1	-6.784126711E-1	9.947477005E-1
7.461839167E-1	4.529586536E-1	2.445043923E-1	-5.369632620E-1	7.438302793E-1
7.561169167E-1	8.322275526E-1	2.008161896E-1	-3.571450084E-1	9.276219049E-1
7.660499166E-1	1.526747329E0	3.998026393E-1	4.637719095E-2	1.578907978E0
7.759829166E-1	1.530384444E0	5.575160788E-1	-1.273611277E-1	1.633744650E0
7.859159167E-1	1.000352033E0	5.798655988E-1	-6.650278097E-1	1.333870417E0
7.958489166E-1	6.279982701E-1	4.940099081E-1	-8.974680805E-1	1.201614153E0
8.057819166E-1	2.971169078E-1	3.044750440E-1	-1.064814808E0	1.146653428E0
8.157149167E-1	7.171551526E-2	1.139805056E-1	-9.925935084E-1	1.001686849E0
8.256479166E-1	1.150468916E-1	6.361098200E-2	-6.273623854E-1	6.409880708E-1
8.355799166E-1	1.745766632E-1	1.937533379E-2	-2.443218130E-1	3.009078982E-1
8.455129167E-1	1.919203819E-1	-9.242986143E-4	-4.770041585E-2	1.977615155E-1
8.554459166E-1	1.805199194E-1	8.388956442E-2	2.677293867E-1	3.336224285E-1
8.653789166E-1	1.861800241E-1	1.827791373E-1	5.386267948E-1	5.984897982E-1
8.753119167E-1	2.728538865E-1	2.082547250E-1	5.104198265E-1	6.150997262E-1
8.852449167E-1	2.213315843E-1	1.562835029E-1	3.958600080E-1	4.797054820E-1
8.951779166E-1	8.592264131E-2	1.099337938E-1	2.763908672E-1	3.096127433E-1
9.051109166E-1	-8.627917528E-2	1.616462767E-2	7.912335277E-2	1.181773930E-1
9.150439167E-1	-2.656384224E-1	-1.118133813E-2	-1.083407199E-1	2.871001661E-1
9.249769166E-1	-3.389144133E-1	-2.034304798E-2	-1.517399240E-1	3.718895315E-1
9.349099166E-1	-3.231973900E-1	-3.921873719E-2	-2.704103351E-2	3.266892709E-1
9.448419167E-1	-3.172095488E-1	-1.943836677E-1	2.029451609E-1	4.237849059E-1
9.547748750E-1	-3.196595322E-1	-3.447708383E-1	4.009821689E-1	6.179286749E-1
9.647078749E-1	-2.904443577E-1	-2.606200495E-1	4.754493839E-1	6.150876781E-1
9.746408750E-1	-2.587305218E-1	-6.054177850E-2	4.352947998E-1	5.099885808E-1
9.845738750E-1	-2.598821309E-1	3.927603990E-2	3.030951011E-1	4.011832120E-1
9.945068749E-1	-2.299408785E-1	2.059173006E-1	5.024459785E-1	5.896835623E-1
1.004439875E0	-1.602620946E-1	4.054032487E-1	9.492480987E-1	1.044561002E0
1.014372875E0	-3.450650994E-1	3.329299343E-1	1.202781615E0	1.294834305E0
1.024305875E0	-8.287187116E-1	-2.282168269E-3	8.962185305E-1	1.220650468E0
1.034238875E0	-1.410577042E0	-1.005457529E0	-1.217618340E-1	1.736519040E0
1.044171875E0	-1.819267156E0	-4.317369153E-1	-7.817411578E-1	2.026634893E0
1.054103875E0	-1.550600022E0	4.370798086E-1	-7.912481457E-1	1.794846182E0
1.064036875E0	-5.185854632E-1	2.416721472E-1	-9.706980246E-1	1.126761272E0
1.073969875E0	1.687214077E-1	2.256440520E-2	-1.086759408E0	1.100010035E0
1.083902875E0	6.920695741E-1	-2.165362827E-1	-1.072215044E0	1.294408497E0
1.093835875E0	1.154790008E0	-2.897766057E-1	-1.162694274E0	1.664141947E0
1.103768875E0	1.229031667E0	-5.269523537E-2	-1.179498587E0	1.704263050E0
1.113701875E0	1.052604944E0	3.540096218E-1	-9.826222515E-1	1.482850792E0
1.123634875E0	7.305837218E-1	4.030039899E-1	-1.165859372E0	1.433664140E0
1.133567875E0	6.690293518E-1	8.709547582E-1	-9.205125421E-1	1.433005863E0
1.143500875E0	9.786571084E-1	1.461801428E0	-3.733903277E-1	1.798347432E0
1.153433875E0	1.270916880E0	1.401783122E0	-8.890691400E-2	1.894236014E0
1.163365875E0	1.035010234E0	8.575301358E-1	-2.436423665E-1	1.366003558E0
1.173298875E0	8.562330772E-1	4.254017495E-1	-3.958734566E-1	1.034803133E0
1.183231875E0	9.454601263E-1	4.364700902E-1	-2.971613467E-2	1.041769667E0
1.193164875E0	5.848750547E-1	4.940938157E-1	-2.542176408E-1	8.067429189E-1
