Frecuencia(Hz)	Magnitud(V)
0.00	0.00080
29.56	0.00077
59.12	0.00079
88.67	0.00085
118.23	0.00083
147.79	0.00084
177.35	0.00082
206.90	0.00082
236.46	0.00083
266.02	0.00094
295.58	0.00099
325.13	0.00102
354.69	0.00096
384.25	0.00103
413.81	0.00096
443.36	0.00108
472.92	0.00107
502.48	0.00122
532.04	0.00135
561.59	0.00150
591.15	0.00155
620.71	0.00174
650.27	0.00173
679.82	0.00209
709.38	0.00225
738.94	0.00273
768.50	0.00293
798.06	0.00407
827.61	0.00516
857.17	0.00903
886.73	0.02232
916.29	0.02303
