Tiempo(s)	Voltaje(V)
0.000065	1.06777
0.000656	2.18872
0.001194	1.04521
0.001725	2.24834
0.002253	1.01213
0.002814	2.26043
0.003345	1.00085
0.003875	2.25076
0.004405	1.02099
0.004949	2.21692
0.005479	1.09839
0.006008	2.11943
0.006537	1.21602
0.007064	1.96630
0.007592	1.38929
0.008120	1.79384
0.008650	1.53758
0.009198	1.67138
0.009726	1.69232
0.010255	1.47474
0.010783	1.88332
0.011312	1.30066
0.011839	2.05009
0.012367	1.14673
0.012894	2.17825
0.013427	1.07019
0.013966	2.22900
0.014496	1.01535
0.015025	2.26204
0.015553	1.01052
0.016082	2.23867
0.016611	1.06294
0.017139	2.19114
0.017701	1.09919
0.018229	2.11138
0.018757	1.22166
0.019286	1.96791
0.019815	1.38607
0.020344	1.78900
0.020872	1.57223
0.021399	1.59640
0.021927	1.76725
0.022456	1.41265
0.022985	1.94133
0.023514	1.24185
0.024043	2.09768
0.024570	1.10725
0.025098	2.20081
0.025628	1.02260
0.026156	2.25962
0.026684	1.00246
0.027213	2.25559
0.027742	1.03635
0.028271	2.19517
0.028799	1.12900
0.029326	2.07593
0.029854	1.26844
0.030382	1.91716
0.030909	1.44327
0.031438	1.73664
0.031968	1.62460
0.032495	1.54161
0.033023	1.81720
0.033551	1.35464
0.034079	1.92924
0.034661	1.35384
0.035190	1.99531
0.035719	1.19346
0.036247	2.13474
0.036776	1.08147
0.037308	2.22739
0.037835	1.01697
0.038363	2.26365
0.038892	1.00488
0.039421	2.24190
0.039949	1.05569
0.040476	2.16133
0.041004	1.15640
0.041535	2.04123
0.042065	1.29825
0.042593	1.88412
0.043122	1.47152
0.043653	1.70924
0.044180	1.66412
0.044709	1.50697
0.045236	1.85588
0.045764	1.32483
0.046292	2.02270
0.046820	1.17171
0.047349	2.15649
0.047877	1.06938
0.048405	2.23545
0.048932	1.00649
0.049460	2.26204
0.049988	1.01374
0.050516	2.22739
0.051044	1.07905
0.051571	2.13474
0.052102	1.19668
0.052630	1.99772
0.053157	1.36028
0.053685	1.82204
0.054213	1.53919
0.054741	1.62460
0.055271	1.73180
0.055799	1.44493
0.056327	1.91635
0.056857	1.27085
0.057386	2.08157
0.057915	1.13223
0.058445	2.18630
0.058971	1.04119
0.059500	2.25237
0.060029	1.00166
0.060556	2.26365
0.061085	1.02824
0.061612	2.21209
0.062141	1.10403
0.062669	2.10251
0.063198	1.23294
