Frecuencia(Hz)	Magnitud(V)
0.00	0.00010
1.85	0.00009
3.69	0.00007
5.54	0.00004
7.39	0.00010
9.24	0.00020
11.08	0.00025
12.93	0.00025
14.78	0.00018
16.63	0.00010
18.47	0.00007
20.32	0.00012
22.17	0.00018
24.02	0.00020
25.86	0.00018
27.71	0.00014
29.56	0.00010
31.41	0.00008
33.25	0.00010
35.10	0.00012
36.95	0.00013
38.80	0.00015
40.64	0.00014
42.49	0.00009
44.34	0.00002
46.19	0.00003
48.03	0.00003
49.88	0.00003
51.73	0.00010
53.58	0.00016
55.42	0.00020
57.27	0.00020
59.12	0.00018
60.97	0.00016
62.81	0.00016
64.66	0.00017
66.51	0.00018
68.36	0.00014
70.20	0.00008
72.05	0.00005
73.90	0.00007
75.75	0.00007
77.59	0.00007
79.44	0.00009
81.29	0.00010
83.14	0.00011
84.98	0.00012
86.83	0.00012
88.68	0.00009
90.53	0.00004
92.37	0.00001
94.22	0.00002
96.07	0.00001
97.92	0.00004
99.76	0.00009
101.61	0.00014
103.46	0.00017
105.31	0.00018
107.15	0.00016
109.00	0.00012
110.85	0.00009
112.70	0.00011
114.54	0.00018
116.39	0.00025
118.24	0.00029
120.09	0.00031
121.93	0.00031
123.78	0.00028
125.63	0.00024
127.48	0.00023
129.32	0.00025
131.17	0.00025
133.02	0.00020
134.87	0.00012
136.71	0.00008
138.56	0.00010
140.41	0.00017
142.25	0.00025
144.10	0.00029
145.95	0.00028
147.80	0.00024
149.64	0.00018
151.49	0.00012
153.34	0.00010
155.19	0.00010
157.03	0.00008
158.88	0.00007
160.73	0.00011
162.58	0.00016
164.42	0.00016
166.27	0.00013
168.12	0.00012
169.97	0.00012
171.81	0.00017
173.66	0.00025
175.51	0.00031
177.36	0.00032
179.20	0.00028
181.05	0.00022
182.90	0.00014
184.75	0.00013
186.59	0.00023
188.44	0.00032
190.29	0.00035
192.14	0.00031
193.98	0.00024
195.83	0.00020
197.68	0.00018
199.53	0.00019
201.37	0.00022
203.22	0.00026
205.07	0.00030
206.92	0.00033
208.76	0.00033
210.61	0.00029
212.46	0.00023
214.31	0.00017
216.15	0.00015
218.00	0.00017
219.85	0.00023
221.70	0.00025
223.54	0.00020
225.39	0.00010
227.24	0.00005
229.09	0.00008
230.93	0.00014
232.78	0.00024
234.63	0.00033
