Frecuencia(Hz)	Magnitud(V)
0.00	0.00002
0.92	0.00002
1.85	0.00004
2.77	0.00005
3.69	0.00005
4.62	0.00005
5.54	0.00005
6.47	0.00004
7.39	0.00003
8.31	0.00003
9.24	0.00002
10.16	0.00001
11.08	0.00002
12.01	0.00004
12.93	0.00006
13.85	0.00007
14.78	0.00008
15.70	0.00008
16.62	0.00007
17.55	0.00006
18.47	0.00004
19.40	0.00002
20.32	0.00001
21.24	0.00002
22.17	0.00003
23.09	0.00003
24.01	0.00003
24.94	0.00002
25.86	0.00001
26.78	0.00001
27.71	0.00003
28.63	0.00004
29.55	0.00006
30.48	0.00007
31.40	0.00007
32.33	0.00007
33.25	0.00006
34.17	0.00006
35.10	0.00006
36.02	0.00006
36.94	0.00006
37.87	0.00006
38.79	0.00005
39.71	0.00003
40.64	0.00002
41.56	0.00004
42.48	0.00006
43.41	0.00008
44.33	0.00009
45.26	0.00009
46.18	0.00008
47.10	0.00007
48.03	0.00006
48.95	0.00004
49.87	0.00003
50.80	0.00003
51.72	0.00003
52.64	0.00003
53.57	0.00004
54.49	0.00005
55.42	0.00006
56.34	0.00008
57.26	0.00009
58.19	0.00011
59.11	0.00012
60.03	0.00012
60.96	0.00012
61.88	0.00011
62.80	0.00010
63.73	0.00008
64.65	0.00006
65.57	0.00004
66.50	0.00002
67.42	0.00002
68.35	0.00003
69.27	0.00005
70.19	0.00007
71.12	0.00008
72.04	0.00008
72.96	0.00008
73.89	0.00007
74.81	0.00007
75.73	0.00007
76.66	0.00007
77.58	0.00008
78.50	0.00009
79.43	0.00009
80.35	0.00008
81.28	0.00006
82.20	0.00004
83.12	0.00003
84.05	0.00004
84.97	0.00007
85.89	0.00009
86.82	0.00011
87.74	0.00012
88.66	0.00013
89.59	0.00013
90.51	0.00013
91.44	0.00012
92.36	0.00011
93.28	0.00009
94.21	0.00007
95.13	0.00005
96.05	0.00004
96.98	0.00003
97.90	0.00002
98.82	0.00003
99.75	0.00006
100.67	0.00008
101.59	0.00010
102.52	0.00012
103.44	0.00013
104.37	0.00013
105.29	0.00012
106.21	0.00010
107.14	0.00008
108.06	0.00006
108.98	0.00005
109.91	0.00004
110.83	0.00004
111.75	0.00005
112.68	0.00007
113.60	0.00009
114.52	0.00011
115.45	0.00013
116.37	0.00015
117.30	0.00015
118.22	0.00015
119.14	0.00015
120.07	0.00014
120.99	0.00013
121.91	0.00011
122.84	0.00010
123.76	0.00009
124.68	0.00008
125.61	0.00008
126.53	0.00007
127.45	0.00006
128.38	0.00006
129.30	0.00006
130.23	0.00007
131.15	0.00008
132.07	0.00009
133.00	0.00009
133.92	0.00009
134.84	0.00008
135.77	0.00006
136.69	0.00004
137.61	0.00003
138.54	0.00002
139.46	0.00002
140.39	0.00002
141.31	0.00002
142.23	0.00000
143.16	0.00002
144.08	0.00005
145.00	0.00007
145.93	0.00009
146.85	0.00011
147.77	0.00011
148.70	0.00011
149.62	0.00011
150.54	0.00009
151.47	0.00008
152.39	0.00007
153.32	0.00005
154.24	0.00004
155.16	0.00004
156.09	0.00004
157.01	0.00005
157.93	0.00007
158.86	0.00009
159.78	0.00012
160.70	0.00014
161.63	0.00016
162.55	0.00016
163.47	0.00016
164.40	0.00014
165.32	0.00013
166.25	0.00011
167.17	0.00009
168.09	0.00008
169.02	0.00007
169.94	0.00007
170.86	0.00008
171.79	0.00009
172.71	0.00010
173.63	0.00012
174.56	0.00013
175.48	0.00015
176.40	0.00015
177.33	0.00016
178.25	0.00015
179.18	0.00014
180.10	0.00012
181.02	0.00010
181.95	0.00007
182.87	0.00005
183.79	0.00003
184.72	0.00001
185.64	0.00001
186.56	0.00002
187.49	0.00004
188.41	0.00007
189.34	0.00010
190.26	0.00013
191.18	0.00015
192.11	0.00016
193.03	0.00016
193.95	0.00015
194.88	0.00013
195.80	0.00011
196.72	0.00008
197.65	0.00007
198.57	0.00006
199.49	0.00006
200.42	0.00007
201.34	0.00008
202.27	0.00011
203.19	0.00013
204.11	0.00014
205.04	0.00016
205.96	0.00016
206.88	0.00015
207.81	0.00014
208.73	0.00011
209.65	0.00008
210.58	0.00005
211.50	0.00002
212.42	0.00001
213.35	0.00002
214.27	0.00001
215.20	0.00001
216.12	0.00004
217.04	0.00008
217.97	0.00012
218.89	0.00016
219.81	0.00018
220.74	0.00019
221.66	0.00018
222.58	0.00015
223.51	0.00011
224.43	0.00006
225.36	0.00003
226.28	0.00003
227.20	0.00005
228.13	0.00005
229.05	0.00005
229.97	0.00005
230.90	0.00007
231.82	0.00010
232.74	0.00013
233.67	0.00015
234.59	0.00016
235.51	0.00016
236.44	0.00016
237.36	0.00015
238.29	0.00013
239.21	0.00012
240.13	0.00010
241.06	0.00009
241.98	0.00008
242.90	0.00007
243.83	0.00007
244.75	0.00008
245.67	0.00009
246.60	0.00011
247.52	0.00013
248.44	0.00015
249.37	0.00017
250.29	0.00017
251.22	0.00017
252.14	0.00016
253.06	0.00014
