Tiempo(s)	Voltaje(V)
0.000072	2.25156
0.000656	1.01697
0.001199	2.25398
0.001728	1.00166
0.002258	2.26284
0.002818	1.00569
0.003348	2.23867
0.003878	1.05408
0.004407	2.17986
0.004955	1.12014
0.005485	2.08559
0.006014	1.25796
0.006543	1.93327
0.007073	1.42152
0.007601	1.74953
0.008129	1.61009
0.008657	1.59317
0.009208	1.68427
0.009747	1.50213
0.010278	1.85265
0.010811	1.33692
0.011339	2.01706
0.011866	1.17090
0.012395	2.15810
0.012924	1.05972
0.013453	2.23787
0.013981	1.00730
0.014510	2.25881
0.015038	1.01535
0.015566	2.22900
0.016095	1.06777
0.016623	2.14602
0.017152	1.14512
0.017711	2.09043
0.018238	1.24749
0.018767	1.93085
0.019293	1.41910
0.019823	1.75114
0.020350	1.60687
0.020878	1.54967
0.021407	1.80351
0.021935	1.36995
0.022464	1.98000
0.022992	1.20635
0.023520	2.11943
0.024048	1.08228
0.024577	2.22578
0.025105	1.01858
0.025633	2.26043
0.026161	1.00327
0.026690	2.24673
0.027217	1.04683
0.027745	2.17100
0.028274	1.15398
0.028803	2.04284
0.029331	1.30308
0.029859	1.87687
0.030387	1.48119
0.030914	1.67863
0.031443	1.67863
0.031972	1.49730
0.032499	1.86640
0.033027	1.30711
0.033556	2.03317
0.034083	1.21199
0.034662	2.04687
0.035190	1.15398
0.035719	2.16858
0.036247	1.04602
0.036775	2.24351
0.037304	1.00810
0.037832	2.26284
0.038360	1.02099
0.038887	2.21531
0.039414	1.09275
0.039944	2.11863
0.040473	1.22246
0.041001	1.96872
0.041529	1.37801
0.042058	1.79706
0.042586	1.57062
0.043112	1.59801
0.043642	1.75839
0.044170	1.41346
0.044697	1.93891
0.045226	1.24749
0.045754	2.10251
0.046283	1.11289
0.046812	2.20886
0.047341	1.03066
0.047870	2.25801
0.048399	1.00730
0.048929	2.25317
0.049458	1.02986
0.049987	2.19758
0.050513	1.11128
0.051042	2.08398
0.051570	1.25152
0.052098	1.92763
0.052626	1.42313
0.053153	1.74228
0.053682	1.62057
0.054210	1.54322
0.054738	1.81237
0.055267	1.36673
0.055794	1.99047
0.056322	1.19829
0.056852	2.12749
0.057381	1.09436
0.057912	2.22256
0.058441	1.01938
0.058969	2.26445
0.059498	1.00166
0.060026	2.24753
0.060556	1.04441
0.061084	2.17583
0.061611	1.14512
0.062141	2.05412
0.062669	1.29261
0.063198	1.88654
0.063726	1.45782
0.064255	1.70924
0.064783	1.66412
0.065309	1.51180
0.065839	1.84379
0.066368	1.33209
0.066896	2.01142
0.067426	1.17654
0.067954	2.03720
0.068581	1.30389
0.069109	2.04204
0.069638	1.15559
0.070166	2.16858
0.070694	1.05730
0.071221	2.24592
0.071749	1.00488
0.072277	2.26365
0.072805	1.01616
0.073335	2.22820
0.073869	1.07019
0.074400	2.14199
0.074929	1.18379
0.075456	2.00175
0.075984	1.34498
0.076513	1.83090
0.077041	1.53033
0.077567	1.63829
0.078098	1.71972
0.078625	1.44574
0.079154	1.90588
0.079681	1.27408
0.080211	2.05896
0.080740	1.13223
0.081268	2.18872
0.081795	1.03716
0.082324	2.24995
0.082851	0.99843
0.083379	2.25801
0.083907	1.02422
0.084435	2.20645
0.084963	1.10322
0.085492	2.09687
0.086019	1.24346
0.086549	1.94455
0.087077	1.40298
0.087607	1.77289
0.088136	1.58351
0.088665	1.58190
0.089192	1.76967
0.089721	1.39332
0.090249	1.95664
0.090777	1.23133
0.091305	2.10896
0.091833	1.10161
0.092362	2.20564
0.092892	1.02341
0.093419	2.25881
0.093949	1.00407
0.094477	2.24753
0.095004	1.04844
0.095532	2.18308
0.096060	1.13626
0.096588	2.06384
0.097117	1.28133
0.097645	1.90266
0.098173	1.45299
0.098702	1.71649
0.099229	1.64715
0.099757	1.51825
0.100286	1.84057
0.100814	1.33289
0.101342	2.01142
0.101869	1.18057
0.102399	2.14360
0.102929	1.06133
0.103457	2.23303
0.103985	1.00971
0.104514	2.26687
0.105041	1.00971
0.105571	2.23545
0.106100	1.06374
0.106628	2.15488
0.107157	1.17171
0.107686	2.01867
0.108213	1.32483
0.108740	1.84862
0.109270	1.50374
0.109798	1.66896
0.110328	1.68024
0.110859	1.48763
0.111388	1.86962
0.111916	1.31275
0.112446	2.03479
0.112973	1.16043
0.113502	2.16133
0.114030	1.03796
0.114558	2.23142
0.115086	1.00327
0.115616	2.26768
0.116145	1.01213
0.116673	2.22095
0.117200	1.08308
0.117728	2.12910
0.118255	1.20554
0.118782	1.98322
0.119311	1.36753
0.119839	1.79948
0.120367	1.55209
0.120895	1.60687
0.121424	1.74791
0.121954	1.42232
0.122481	1.93649
0.123010	1.25152
0.123537	2.07915
0.124065	1.11934
0.124593	2.20242
0.125120	1.03152
0.125648	2.25720
0.126177	1.00327
0.126706	2.25720
0.127236	1.03152
0.127764	2.19275
0.128292	1.11772
0.128821	2.08801
0.129350	1.24668
0.129877	1.94616
0.130406	1.42635
0.130934	1.75194
0.131464	1.60526
0.131991	1.55853
0.132519	1.80673
0.133047	1.36753
0.133574	1.98483
0.134103	1.19829
0.134630	2.12991
0.135158	1.07341
0.135687	2.05896
0.136388	1.40057
0.136932	1.88654
0.137466	1.29100
0.137996	2.04607
0.138525	1.14190
0.139054	2.16133
0.139585	1.05891
0.140112	2.26607
0.140640	1.00246
0.141170	2.25881
0.141699	1.01133
0.142226	2.22417
0.142756	1.07502
0.143283	2.13313
0.143811	1.20232
0.144340	1.99128
0.144869	1.36190
0.145397	1.81720
0.145926	1.54886
0.146454	1.62379
0.146983	1.73825
0.147511	1.44412
0.148038	1.91957
0.148567	1.26199
0.149096	2.07673
0.149625	1.12498
0.150154	2.19114
0.150683	1.03555
0.151211	2.25237
0.151741	0.99924
0.152269	2.25881
0.152797	1.02824
0.153324	2.20886
0.153852	1.10806
0.154381	2.10332
0.154911	1.22810
0.155441	1.95341
0.155969	1.39734
0.156498	1.78014
0.157026	1.57867
0.157555	1.58592
0.158084	1.76967
0.158613	1.40057
0.159140	1.95664
0.159668	1.23455
0.160196	2.10815
0.160724	1.10403
0.161252	2.20886
0.161782	1.02341
0.162310	2.25962
0.162837	1.00488
0.163366	2.25237
0.163895	1.02180
0.164426	2.18469
0.164953	1.12981
0.165482	2.06787
0.166010	1.26844
0.166539	1.91393
0.167067	1.44574
0.167595	1.72455
0.168123	1.63507
0.168651	1.53597
0.169180	1.82284
0.169708	1.36028
0.170237	1.99370
0.170767	1.20071
0.171295	2.13152
0.171823	1.08066
0.172352	2.22095
0.172880	1.00649
0.173409	2.25962
0.173937	1.00488
0.174465	2.24028
0.174994	1.05408
0.175522	2.16455
0.176051	1.16284
0.176579	2.02834
0.177106	1.32000
0.177633	1.86157
0.178161	1.49166
0.178691	1.67621
0.179218	1.69393
0.179746	1.47716
0.180274	1.88171
0.180802	1.29664
0.181330	2.04929
0.181858	1.14673
0.182387	2.17583
0.182914	1.05166
0.183442	2.24834
0.183969	1.00246
0.184499	2.26043
0.185026	1.01938
0.185555	2.21531
0.186083	1.09194
0.186610	2.11863
0.187141	1.21360
0.187669	1.96389
0.188196	1.38445
0.188725	1.78336
0.189253	1.57062
0.189780	1.60123
0.190309	1.76725
0.190836	1.41024
0.191366	1.95100
0.191894	1.24185
0.192424	2.09365
0.192952	1.10806
0.193480	2.20161
0.194008	1.02663
0.194536	2.26123
0.195066	1.00005
0.195593	2.24995
0.196123	1.03313
0.196651	2.19114
0.197178	1.11450
0.197707	2.07673
0.198236	1.26038
0.198764	1.93166
0.199294	1.42796
0.199822	1.75033
0.200351	1.61654
0.200880	1.55611
0.201411	1.77531
0.201945	1.39251
0.202473	1.95502
0.203002	1.22971
0.203531	2.10574
0.204058	1.09919
0.204585	2.20806
0.205113	1.01535
0.205642	2.25398
0.206171	1.00005
0.206698	2.24512
0.207226	1.04360
0.207755	2.17986
0.208282	1.13787
0.208810	2.05654
0.209338	1.28294
0.209866	1.89621
0.210396	1.45702
0.210924	1.71569
0.211453	1.64474
0.211982	1.52308
0.212511	1.83251
0.213038	1.34336
0.213567	2.00256
0.214094	1.18782
0.214623	2.14280
0.215151	1.06858
0.215680	2.23626
0.216209	1.01133
0.216738	2.26607
0.217268	1.00891
0.217796	2.23706
0.218326	1.05488
0.218853	2.15730
0.219383	1.15720
0.219912	2.03156
0.220439	1.31839
0.220966	1.85915
0.221494	1.49972
0.222022	1.67540
0.222549	1.70360
0.223077	1.46910
0.223605	1.89540
0.224131	1.28213
0.224660	2.05171
0.225189	1.14512
0.225718	2.17422
0.226248	1.05488
0.226777	2.24995
0.227306	1.00246
0.227837	2.26284
0.228365	1.01052
0.228896	2.22498
0.229423	1.08469
0.229950	2.12668
0.230478	1.19829
0.231006	2.02673
0.231536	1.33450
0.232063	1.81479
0.232591	1.54161
0.233121	1.62701
0.233650	1.74469
0.234177	1.42796
0.234705	1.92844
0.235232	1.25555
0.235760	2.08882
0.236288	1.11531
0.236817	2.19517
0.237346	1.03313
0.237874	2.25801
0.238403	1.00166
0.238931	2.25317
0.239459	1.02422
0.239987	2.19194
0.240516	1.11692
0.241044	2.08398
0.241572	1.24024
0.242100	1.93408
0.242629	1.42152
0.243157	1.75033
0.243686	1.61654
0.244214	1.55934
0.244743	1.80351
0.245271	1.37156
0.245798	1.97758
0.246327	1.20796
0.246855	2.12185
0.247384	1.08953
0.247910	2.22578
0.248439	1.02744
0.248967	2.26607
0.249496	1.00327
0.250024	2.24592
0.250553	1.05166
0.251082	2.16697
0.251610	1.15076
0.252138	2.04445
0.252667	1.29825
0.253195	1.87768
0.253723	1.48280
0.254249	1.68668
0.254778	1.67460
0.255306	1.48199
0.255834	1.87043
0.256362	1.31114
0.256891	2.03640
0.257419	1.15237
0.257947	2.16777
0.258474	1.05085
0.259002	2.24673
0.259530	1.00246
0.260058	2.25962
0.260586	1.01455
0.261115	2.21853
0.261643	1.08630
0.262173	2.13957
0.262702	1.19749
0.263232	1.98645
0.263759	1.36351
0.264288	1.81881
0.264817	1.54725
0.265345	1.63829
0.265878	1.71327
0.266408	1.45540
0.266935	1.90427
0.267463	1.28213
0.267992	2.06787
0.268521	1.13787
0.269051	2.17422
0.269580	1.04602
0.270108	2.24995
0.270637	1.00488
