Frecuencia(Hz)	Magnitud(V)
0.00	0.00001
3.69	0.00012
7.39	0.00006
11.08	0.00019
14.78	0.00018
18.47	0.00011
22.17	0.00014
25.86	0.00013
29.56	0.00008
33.25	0.00007
36.95	0.00009
40.64	0.00015
44.34	0.00031
48.03	0.00015
51.72	0.00010
55.42	0.00014
59.11	0.00019
62.81	0.00011
66.50	0.00019
70.20	0.00029
73.89	0.00006
77.59	0.00030
81.28	0.00009
84.98	0.00041
88.67	0.00037
92.36	0.00036
96.06	0.00004
99.75	0.00014
103.45	0.00019
107.14	0.00035
110.84	0.00018
114.53	0.00002
118.23	0.00018
121.92	0.00024
125.62	0.00025
129.31	0.00041
133.01	0.00049
136.70	0.00024
140.39	0.00037
144.09	0.00062
147.78	0.00062
151.48	0.00039
155.17	0.00008
158.87	0.00032
162.56	0.00047
166.26	0.00045
169.95	0.00031
173.65	0.00032
177.34	0.00038
181.03	0.00048
184.73	0.00051
188.42	0.00042
192.12	0.00047
195.81	0.00041
199.51	0.00044
203.20	0.00060
206.90	0.00059
210.59	0.00053
214.29	0.00040
217.98	0.00039
221.68	0.00042
225.37	0.00033
229.06	0.00032
232.76	0.00066
236.45	0.00062
240.15	0.00043
243.84	0.00032
247.54	0.00040
251.23	0.00075
254.93	0.00086
258.62	0.00059
262.32	0.00066
266.01	0.00072
269.71	0.00082
273.40	0.00069
277.09	0.00077
280.79	0.00078
284.48	0.00053
288.18	0.00046
291.87	0.00073
295.57	0.00093
299.26	0.00076
302.96	0.00050
306.65	0.00081
310.35	0.00088
314.04	0.00071
317.73	0.00043
321.43	0.00057
325.12	0.00064
328.82	0.00068
332.51	0.00048
336.21	0.00081
339.90	0.00104
343.60	0.00078
347.29	0.00049
350.99	0.00053
354.68	0.00067
358.38	0.00064
362.07	0.00050
365.76	0.00080
369.46	0.00103
373.15	0.00069
376.85	0.00045
380.54	0.00099
384.24	0.00111
387.93	0.00070
391.63	0.00028
395.32	0.00073
399.02	0.00102
402.71	0.00096
406.40	0.00089
410.10	0.00115
413.79	0.00091
417.49	0.00066
421.18	0.00078
424.88	0.00115
428.57	0.00139
432.27	0.00087
435.96	0.00048
439.66	0.00081
443.35	0.00118
447.05	0.00115
450.74	0.00063
454.43	0.00090
458.13	0.00116
461.82	0.00117
465.52	0.00074
469.21	0.00110
472.91	0.00143
476.60	0.00147
480.30	0.00120
483.99	0.00131
487.69	0.00167
491.38	0.00119
495.08	0.00075
498.77	0.00124
502.46	0.00155
506.16	0.00135
509.85	0.00108
513.55	0.00151
517.24	0.00161
520.94	0.00122
524.63	0.00092
528.33	0.00140
532.02	0.00161
535.72	0.00121
539.41	0.00075
543.10	0.00133
546.80	0.00211
550.49	0.00164
554.19	0.00100
557.88	0.00166
561.58	0.00203
565.27	0.00175
568.97	0.00123
572.66	0.00158
576.36	0.00195
580.05	0.00158
583.75	0.00148
587.44	0.00220
591.13	0.00224
594.83	0.00176
598.52	0.00137
602.22	0.00196
605.91	0.00242
609.61	0.00188
613.30	0.00129
617.00	0.00228
620.69	0.00280
624.39	0.00237
628.08	0.00147
631.77	0.00193
635.47	0.00243
639.16	0.00176
642.86	0.00121
646.55	0.00180
650.25	0.00231
653.94	0.00224
657.64	0.00165
661.33	0.00220
665.03	0.00302
668.72	0.00238
672.42	0.00171
676.11	0.00246
679.80	0.00299
683.50	0.00279
687.19	0.00190
690.89	0.00268
694.58	0.00361
698.28	0.00285
701.97	0.00219
705.67	0.00306
709.36	0.00359
713.06	0.00321
716.75	0.00235
720.45	0.00287
724.14	0.00359
727.83	0.00246
731.53	0.00216
735.22	0.00379
738.92	0.00409
742.61	0.00307
746.31	0.00200
750.00	0.00353
753.70	0.00470
757.39	0.00373
761.09	0.00277
764.78	0.00409
768.47	0.00470
772.17	0.00424
775.86	0.00332
779.56	0.00442
783.25	0.00585
786.95	0.00493
790.64	0.00390
794.34	0.00518
798.03	0.00595
801.73	0.00588
805.42	0.00442
809.12	0.00565
812.81	0.00733
816.50	0.00636
820.20	0.00499
823.89	0.00752
827.59	0.00893
831.28	0.00767
834.98	0.00486
838.67	0.00703
842.37	0.01050
846.06	0.00901
849.76	0.00619
853.45	0.00880
857.14	0.01158
860.84	0.01172
864.53	0.00930
868.23	0.01437
871.92	0.01961
875.62	0.01646
879.31	0.01464
883.01	0.02897
886.70	0.03926
890.40	0.04527
894.09	0.03635
897.79	0.14782
901.48	0.29873
905.17	0.14993
908.87	0.02242
912.56	0.02379
916.26	0.02356
919.95	0.01797
923.65	0.00840
927.34	0.00752
931.04	0.01052
934.73	0.00775
938.43	0.00357
942.12	0.00452
