Frecuencia(Hz)	Magnitud(V)
0.00	0.00179
14.78	0.00190
29.56	0.00196
44.34	0.00187
59.12	0.00213
73.90	0.00198
88.68	0.00181
103.46	0.00177
118.24	0.00212
133.02	0.00204
147.80	0.00200
162.58	0.00210
177.36	0.00204
192.14	0.00198
206.92	0.00208
221.70	0.00212
236.48	0.00212
251.26	0.00225
266.04	0.00219
280.82	0.00216
295.60	0.00219
310.38	0.00206
325.16	0.00202
339.94	0.00221
354.72	0.00219
369.50	0.00224
384.28	0.00229
399.06	0.00224
413.84	0.00239
428.62	0.00269
443.40	0.00268
458.18	0.00293
472.96	0.00267
487.74	0.00299
502.52	0.00272
517.30	0.00324
532.08	0.00314
546.86	0.00341
561.64	0.00290
576.42	0.00341
591.20	0.00316
605.98	0.00388
620.76	0.00341
635.54	0.00407
650.32	0.00385
665.10	0.00455
679.88	0.00409
694.66	0.00529
709.44	0.00491
724.22	0.00592
739.00	0.00550
753.78	0.00706
768.56	0.00645
783.34	0.00839
798.12	0.00815
812.90	0.01117
827.68	0.01113
842.46	0.01556
857.24	0.01726
872.02	0.03004
886.80	0.06078
901.58	0.10527
916.36	0.04658
931.14	0.02165
