Tiempo(s)	Voltaje(V)
0.000077	2.10090
0.000652	1.15076
0.001187	2.16133
0.001716	1.05891
0.002245	2.21128
0.002806	1.02986
0.003335	2.25720
0.003864	0.99118
0.004392	2.25720
0.004938	1.01455
0.005467	2.22095
0.005996	1.08389
0.006524	2.12266
0.007052	1.20635
0.007581	1.98322
0.008109	1.36431
0.008637	1.84298
0.009186	1.47716
0.009715	1.69313
0.010245	1.66815
0.010772	1.50616
0.011300	1.85185
0.011830	1.32645
0.012360	2.01706
0.012889	1.17332
0.013417	2.15005
0.013946	1.06052
0.014474	2.23626
0.015003	1.00891
0.015531	2.26365
0.016058	1.01133
0.016586	2.23062
0.017114	1.05247
0.017670	2.19517
0.018201	1.10403
0.018738	2.10574
0.019266	1.22730
0.019795	1.94858
0.020322	1.39654
0.020850	1.78336
0.021380	1.58028
0.021907	1.59076
0.022435	1.77853
0.022964	1.39654
0.023493	1.95986
0.024021	1.22649
0.024548	2.10654
0.025075	1.10322
0.025605	2.20564
0.026133	1.02260
0.026664	2.25801
0.027192	0.98715
0.027719	2.25076
0.028248	1.03635
0.028777	2.18791
0.029305	1.13142
0.029833	2.05896
0.030360	1.27569
0.030888	1.90749
0.031416	1.44654
0.031946	1.72455
0.032474	1.63265
0.033004	1.53436
0.033532	1.82123
0.034062	1.44493
0.034648	1.80673
0.035178	1.36995
0.035707	1.97355
0.036236	1.21038
0.036763	2.12588
0.037291	1.07422
0.037820	2.22336
0.038348	1.01697
0.038875	2.25962
0.039404	1.00488
0.039934	2.24512
0.040463	1.04924
0.040991	2.16777
0.041519	1.15156
0.042047	2.04043
0.042576	1.30228
0.043103	1.87607
0.043630	1.48119
0.044159	1.68427
0.044687	1.67460
0.045215	1.49891
0.045743	1.86640
0.046271	1.30953
0.046799	2.03640
0.047326	1.16043
0.047855	2.16777
0.048382	1.05327
0.048909	2.24109
0.049438	1.00327
0.049969	2.26123
0.050499	1.00971
0.051029	2.23062
0.051556	1.07825
0.052085	2.14038
0.052614	1.19185
0.053142	1.99611
0.053671	1.35142
0.054198	1.82929
0.054728	1.52872
0.055258	1.64313
0.055786	1.71569
0.056315	1.45702
0.056845	1.89379
0.057373	1.29100
0.057901	2.05412
0.058430	1.13948
0.058958	2.17905
0.059485	1.04844
0.060014	2.24915
0.060542	1.00166
0.061070	2.27176
0.061599	1.02905
0.062127	2.21772
0.062656	1.09919
0.063184	2.12185
0.063712	1.22246
0.064241	1.96711
0.064769	1.38929
0.065298	1.79303
0.065828	1.56981
0.066357	1.60445
0.066886	1.76242
0.067413	1.41104
0.067941	1.80431
0.068564	1.55289
0.069093	1.80673
0.069621	1.36673
0.070150	1.98403
0.070678	1.19426
0.071206	2.12749
0.071734	1.07905
0.072262	2.23062
0.072791	1.01213
0.073319	2.26445
0.073847	1.00407
0.074375	2.24753
0.074903	1.05247
0.075432	2.16455
0.075960	1.15720
0.076490	2.04445
0.077018	1.29986
0.077547	1.87043
0.078075	1.48199
0.078602	1.68829
0.079130	1.68185
0.079658	1.49166
0.080187	1.86076
0.080716	1.31355
0.081244	2.03317
0.081772	1.15559
0.082303	2.14360
0.082839	1.07261
0.083367	2.22900
0.083897	1.01052
0.084426	2.26204
0.084955	1.00649
0.085484	2.23303
0.086012	1.06938
0.086539	2.16133
0.087069	1.16284
0.087598	2.03398
0.088127	1.31114
0.088656	1.88090
0.089184	1.48763
0.089712	1.67943
0.090239	1.69313
0.090767	1.48924
0.091296	1.87365
0.091824	1.30308
0.092353	2.03076
0.092882	1.15156
0.093410	2.16536
0.093939	1.04683
0.094467	2.23867
0.094995	1.00649
0.095523	2.26445
0.096052	1.01535
0.096581	2.22336
0.097109	1.08308
0.097636	2.12346
0.098165	1.20152
0.098693	1.98161
0.099222	1.36753
0.099750	1.80592
0.100278	1.55289
0.100806	1.61493
0.101334	1.74308
0.101863	1.42796
0.102392	1.92441
0.102921	1.27730
0.103448	2.07915
0.103976	1.11853
0.104506	2.18791
0.105036	1.03635
0.105564	2.24995
0.106093	1.00649
0.106621	2.25559
0.107149	1.03152
0.107676	2.20403
0.108205	1.11047
0.108734	2.08882
0.109262	1.24266
0.109789	1.93569
0.110316	1.40298
0.110849	1.76645
0.111377	1.59076
0.111906	1.58190
0.112436	1.78095
0.112963	1.39251
0.113491	1.95341
0.114020	1.22730
0.114548	2.10815
0.115078	1.09758
0.115606	2.20564
0.116137	1.02099
0.116665	2.26204
0.117193	1.00407
0.117719	2.25076
0.118248	1.04119
0.118777	2.18550
0.119306	1.13062
0.119834	2.06706
0.120362	1.27488
0.120891	1.90991
0.121419	1.44654
0.121947	1.72616
0.122475	1.63749
0.123004	1.53275
0.123533	1.82123
0.124061	1.34498
0.124589	1.99853
0.125120	1.18943
0.125648	2.13635
0.126175	1.07664
0.126704	2.22820
0.127232	1.01133
0.127759	2.24995
0.128289	1.00246
0.128819	2.23706
0.129347	1.05649
0.129876	2.16616
0.130405	1.16043
0.130934	2.03559
0.131461	1.30228
0.131990	1.87446
0.132518	1.47555
0.133048	1.69313
0.133578	1.67540
0.134105	1.49730
0.134633	1.86398
0.135163	1.31758
0.135690	1.74791
0.136392	1.73502
0.136922	1.63104
0.137450	1.54403
0.137980	1.81962
0.138507	1.35626
0.139035	1.99047
0.139566	1.20152
0.140094	2.13071
0.140622	1.08066
0.141151	2.22336
0.141678	1.01133
0.142207	2.26445
0.142735	1.00891
0.143267	2.24431
0.143795	1.04924
0.144323	2.16858
0.144851	1.15640
0.145380	2.04526
0.145909	1.30308
0.146444	1.93569
0.146983	1.40701
0.147515	1.76322
0.148042	1.59962
0.148570	1.57062
0.149100	1.78900
0.149628	1.38123
0.150157	1.96066
0.150685	1.22971
0.151215	2.10654
0.151743	1.09597
0.152271	2.21853
0.152798	1.02019
0.153328	2.27659
0.153855	1.00569
0.154383	2.25156
0.154913	1.04119
0.155442	2.17986
0.155969	1.14028
0.156498	2.05573
0.157026	1.27891
0.157555	1.90266
0.158084	1.45863
0.158610	1.71488
0.159141	1.63829
0.159670	1.53114
0.160199	1.82768
0.160728	1.34739
0.161256	1.99934
0.161785	1.19346
0.162312	2.13152
0.162843	1.08066
0.163372	2.22578
0.163900	1.00971
0.164427	2.26768
0.164955	1.00407
0.165484	2.24270
0.166014	1.06052
0.166545	2.15891
0.167073	1.15398
0.167601	2.03076
0.168129	1.31355
0.168655	1.86398
0.169184	1.49488
0.169712	1.68346
0.170242	1.68427
0.170770	1.48602
0.171298	1.86962
0.171826	1.30953
0.172354	2.03801
0.172883	1.15720
0.173411	2.16294
0.173939	1.05649
0.174466	2.24431
0.174995	1.00810
0.175524	2.25720
0.176052	1.01616
0.176580	2.22256
0.177108	1.07905
0.177635	2.12829
0.178164	1.20877
0.178692	1.98000
0.179220	1.37156
0.179749	1.80592
0.180277	1.55692
0.180805	1.60687
0.181332	1.75436
0.181861	1.41749
0.182389	1.92844
0.182918	1.24829
0.183446	2.09043
0.183974	1.11209
0.184504	2.19678
0.185033	1.03555
0.185561	2.25640
0.186090	1.00005
0.186619	2.25962
0.187147	1.03232
0.187674	2.19597
0.188203	1.10725
0.188732	2.08962
0.189261	1.23943
0.189790	1.94213
0.190319	1.40621
0.190848	1.76483
0.191375	1.60284
0.191904	1.57062
0.192434	1.79384
0.192962	1.38526
0.193489	1.96791
0.194017	1.21199
0.194546	2.11299
0.195076	1.09919
0.195603	2.21772
0.196131	1.02019
0.196661	2.25479
0.197190	1.00166
0.197720	2.25156
0.198247	1.04038
0.198777	2.18550
0.199305	1.13062
0.199834	2.06787
0.200363	1.27408
0.200891	1.90668
0.201419	1.44085
0.201947	1.72536
0.202478	1.62540
0.203005	1.53678
0.203534	1.81801
0.204063	1.35464
0.204591	1.99853
0.205118	1.19265
0.205647	2.13313
0.206176	1.07905
0.206704	2.22739
0.207233	1.01374
0.207760	2.26043
0.208288	1.00971
0.208815	2.23545
0.209346	1.05891
0.209875	2.16455
0.210404	1.14915
0.210938	2.05412
0.211468	1.29019
0.211997	1.89057
0.212526	1.46104
0.213054	1.70683
0.213582	1.65526
0.214111	1.51986
0.214640	1.84057
0.215170	1.34175
0.215700	2.00256
0.216227	1.18701
0.216755	2.14119
0.217284	1.07422
0.217813	2.23142
0.218343	1.00891
0.218871	2.27256
0.219399	1.00488
0.219927	2.21611
0.220455	1.06052
0.220984	2.15569
0.221512	1.16687
0.222042	2.03720
0.222571	1.32161
0.223098	1.85995
0.223627	1.49408
0.224155	1.66896
0.224683	1.68588
0.225213	1.48924
0.225742	1.86801
0.226271	1.30872
0.226798	2.04284
0.227327	1.15156
0.227854	2.16938
0.228381	1.05247
0.228910	2.24270
0.229438	1.00810
0.229966	2.26526
0.230495	1.01294
0.231023	2.21289
0.231553	1.08228
0.232080	2.12507
0.232609	1.21118
0.233137	1.98645
0.233666	1.36270
0.234194	1.80753
0.234723	1.54564
0.235253	1.62298
0.235780	1.75114
0.236309	1.42313
0.236836	1.93649
0.237363	1.24910
0.237890	2.09123
0.238420	1.11772
0.238949	2.20000
0.239476	1.03066
0.240003	2.25801
0.240531	1.00166
0.241058	2.25398
0.241588	1.03635
0.242116	2.19275
0.242642	1.13223
0.243169	2.06465
0.243697	1.26844
0.244226	1.91957
0.244755	1.43843
0.245283	1.72616
0.245813	1.62782
0.246341	1.54242
0.246870	1.81479
0.247399	1.35867
0.247928	1.98081
0.248458	1.21199
0.248986	2.12749
0.249515	1.08953
0.250044	2.22095
0.250571	1.01455
0.251098	2.25801
0.251626	1.00327
0.252154	2.24351
0.252683	1.05891
0.253211	2.16213
0.253738	1.15237
0.254267	2.03317
0.254795	1.30066
0.255322	1.86721
0.255851	1.49327
0.256379	1.67621
0.256907	1.68749
0.257435	1.48280
0.257964	1.86962
0.258493	1.30550
0.259020	2.04123
0.259547	1.15398
0.260075	2.16455
0.260602	1.04602
0.261131	2.24753
0.261659	1.00407
0.262189	2.26768
0.262717	1.02180
0.263245	2.21289
0.263774	1.09194
0.264302	2.12104
0.264830	1.20635
0.265359	1.98081
0.265887	1.37237
0.266415	1.80109
0.266942	1.56578
0.267472	1.60526
0.268000	1.75678
0.268529	1.42554
0.269056	1.92602
0.269584	1.25877
0.270113	2.09446
0.270641	1.11692
