Frecuencia(Hz)	Magnitud(V)
0.00	0.00045
7.39	0.00081
14.78	0.00054
22.17	0.00086
29.56	0.00056
36.95	0.00049
44.34	0.00031
51.74	0.00065
59.13	0.00041
66.52	0.00045
73.91	0.00038
81.30	0.00080
88.69	0.00015
96.08	0.00095
103.47	0.00068
110.86	0.00090
118.25	0.00105
125.64	0.00020
133.03	0.00071
140.42	0.00067
147.82	0.00062
155.21	0.00051
162.60	0.00048
169.99	0.00029
177.38	0.00060
184.77	0.00052
192.16	0.00025
199.55	0.00093
206.94	0.00066
214.33	0.00081
221.72	0.00096
229.11	0.00082
236.50	0.00107
243.90	0.00023
251.29	0.00047
258.68	0.00079
266.07	0.00059
273.46	0.00058
280.85	0.00085
288.24	0.00071
295.63	0.00079
303.02	0.00098
310.41	0.00125
317.80	0.00069
325.19	0.00106
332.58	0.00058
339.98	0.00115
347.37	0.00077
354.76	0.00144
362.15	0.00041
369.54	0.00096
376.93	0.00034
384.32	0.00055
391.71	0.00092
399.10	0.00131
406.49	0.00080
413.88	0.00123
421.27	0.00028
428.66	0.00159
436.06	0.00046
443.45	0.00112
450.84	0.00083
458.23	0.00126
465.62	0.00072
473.01	0.00150
480.40	0.00024
487.79	0.00143
495.18	0.00061
502.57	0.00124
509.96	0.00078
517.35	0.00214
524.74	0.00055
532.14	0.00170
539.53	0.00026
546.92	0.00172
554.31	0.00065
561.70	0.00182
569.09	0.00070
576.48	0.00176
583.87	0.00075
591.26	0.00209
598.65	0.00016
606.04	0.00278
613.43	0.00043
620.82	0.00240
628.21	0.00047
635.61	0.00272
643.00	0.00048
650.39	0.00238
657.78	0.00021
665.17	0.00310
672.56	0.00082
679.95	0.00263
687.34	0.00035
694.73	0.00339
702.12	0.00023
709.51	0.00352
716.90	0.00066
724.29	0.00479
731.69	0.00116
739.08	0.00356
746.47	0.00120
753.86	0.00472
761.25	0.00117
768.64	0.00485
776.03	0.00149
783.42	0.00701
790.81	0.00177
798.20	0.00701
805.59	0.00367
812.98	0.00880
820.37	0.00403
827.77	0.00868
835.16	0.00668
842.55	0.01218
849.94	0.00737
857.33	0.01646
864.72	0.01353
872.11	0.03028
879.50	0.02274
886.89	0.06610
894.28	0.15949
901.67	0.30575
909.06	0.10742
916.45	0.05821
923.85	0.04237
931.24	0.03533
938.63	0.03257
