Tiempo(s)	Voltaje(V)
0.000063	2.23223
0.000649	1.03152
0.001193	2.24028
0.001726	1.01616
0.002256	2.26607
0.002818	1.00005
0.003349	2.25559
0.003877	1.02986
0.004407	2.21934
0.004954	1.10564
0.005483	2.13152
0.006013	1.19588
0.006541	1.99047
0.007069	1.35867
0.007597	1.81479
0.008125	1.54242
0.008653	1.66332
0.009200	1.66654
0.009731	1.52630
0.010267	1.82607
0.010795	1.35303
0.011325	1.99934
0.011853	1.19507
0.012381	2.13877
0.012910	1.07744
0.013439	2.22498
0.013969	1.01616
0.014498	2.25962
0.015025	1.00488
0.015552	2.24753
0.016081	1.05327
0.016609	2.16374
0.017137	1.12014
0.017698	2.11379
0.018226	1.21602
0.018754	1.97758
0.019282	1.37559
0.019812	1.79303
0.020341	1.56900
0.020869	1.60929
0.021398	1.75355
0.021926	1.41346
0.022453	1.94133
0.022982	1.24749
0.023511	2.09204
0.024041	1.11611
0.024569	2.19839
0.025098	1.03152
0.025626	2.25237
0.026154	1.00085
0.026685	2.26284
0.027215	1.02824
0.027743	2.20161
0.028273	1.11209
0.028801	2.08882
0.029329	1.23213
0.029859	1.94374
0.030387	1.41265
0.030915	1.77128
0.031445	1.58270
0.031975	1.58270
0.032503	1.77853
0.033032	1.39332
0.033560	1.95180
0.034089	1.30228
0.034669	1.96066
0.035198	1.23213
0.035729	2.10171
0.036257	1.10242
0.036785	2.20725
0.037312	1.02260
0.037842	2.25962
0.038369	1.00005
0.038897	2.25156
0.039425	1.04441
0.039953	2.18147
0.040481	1.14028
0.041009	2.05654
0.041537	1.28374
0.042066	1.90104
0.042595	1.46427
0.043123	1.71649
0.043652	1.64877
0.044180	1.52308
0.044709	1.83090
0.045236	1.34578
0.045766	2.00256
0.046295	1.18701
0.046822	2.14683
0.047351	1.06455
0.047880	2.22900
0.048408	1.00649
0.048936	2.26123
0.049464	1.00488
0.049992	2.23787
0.050519	1.06616
0.051048	2.15005
0.051576	1.17493
0.052104	2.01545
0.052632	1.33289
0.053160	1.84621
0.053689	1.52308
0.054217	1.65526
0.054745	1.70924
0.055273	1.45540
0.055801	1.89943
0.056329	1.28052
0.056857	2.05815
0.057386	1.14270
0.057913	2.18630
0.058442	1.04521
0.058971	2.24592
0.059499	1.00327
0.060027	2.26284
0.060555	1.02341
0.061083	2.22820
0.061610	1.09758
0.062140	2.11057
0.062668	1.22327
0.063197	1.95986
0.063726	1.38848
0.064255	1.79223
0.064785	1.56739
0.065312	1.60043
0.065840	1.76564
0.066368	1.40218
0.066895	1.95341
0.067423	1.22891
0.067950	1.99128
0.068574	1.35142
0.069103	1.99209
0.069632	1.19990
0.070161	2.13152
0.070690	1.08550
0.071220	2.22417
0.071748	1.01697
0.072277	2.26284
0.072806	0.99682
0.073335	2.24753
0.073867	1.03474
0.074403	2.19597
0.074933	1.12336
0.075462	2.07995
0.075990	1.26280
0.076517	1.91877
0.077045	1.43843
0.077573	1.74389
0.078103	1.62057
0.078631	1.53758
0.079159	1.81962
0.079688	1.36270
0.080216	1.98564
0.080743	1.19990
0.081272	2.13393
0.081802	1.08228
