Frecuencia(Hz)	Magnitud(V)
0.00	0.00486
7.39	0.00659
14.78	0.00667
22.17	0.00661
29.55	0.00676
36.94	0.00680
44.33	0.00679
51.72	0.00668
59.11	0.00714
66.50	0.00711
73.88	0.00804
81.27	0.00751
88.66	0.00868
96.05	0.00862
103.44	0.00914
110.83	0.00936
118.22	0.01043
125.60	0.01093
132.99	0.01276
140.38	0.01362
147.77	0.01530
155.16	0.01736
162.55	0.02161
169.93	0.02630
177.32	0.03494
184.71	0.05297
192.10	0.12065
199.49	0.31430
206.88	0.15138
214.27	0.05230
221.65	0.03545
229.04	0.02406
236.43	0.02046
243.82	0.01620
251.21	0.01452
258.60	0.01163
265.98	0.01084
273.37	0.00962
280.76	0.00899
288.15	0.00795
295.54	0.00737
302.93	0.00670
310.32	0.00640
317.70	0.00584
325.09	0.00552
332.48	0.00513
339.87	0.00495
347.26	0.00468
354.65	0.00448
362.04	0.00424
369.42	0.00441
376.81	0.00373
384.20	0.00379
391.59	0.00342
398.98	0.00343
406.37	0.00314
413.75	0.00312
421.14	0.00342
428.53	0.00302
435.92	0.00289
443.31	0.00274
450.70	0.00261
458.09	0.00260
465.47	0.00245
472.86	0.00239
480.25	0.00234
487.64	0.00212
495.03	0.00220
502.42	0.00213
509.80	0.00200
517.19	0.00221
524.58	0.00224
531.97	0.00205
539.36	0.00196
546.75	0.00208
554.14	0.00201
561.52	0.00208
568.91	0.00197
576.30	0.00207
583.69	0.00167
591.08	0.00204
598.47	0.00170
605.85	0.00168
613.24	0.00174
620.63	0.00193
628.02	0.00172
635.41	0.00139
642.80	0.00180
650.19	0.00170
657.57	0.00207
664.96	0.00159
672.35	0.00153
679.74	0.00157
687.13	0.00171
694.52	0.00132
701.90	0.00161
709.29	0.00180
716.68	0.00144
724.07	0.00163
731.46	0.00135
738.85	0.00164
746.24	0.00144
753.62	0.00157
761.01	0.00143
768.40	0.00157
775.79	0.00148
783.18	0.00153
790.57	0.00131
797.95	0.00142
805.34	0.00134
812.73	0.00158
820.12	0.00109
827.51	0.00147
834.90	0.00145
842.29	0.00163
849.67	0.00127
857.06	0.00124
864.45	0.00114
871.84	0.00119
879.23	0.00123
886.62	0.00127
894.01	0.00158
901.39	0.00141
908.78	0.00153
916.17	0.00169
923.56	0.00126
930.95	0.00138
938.34	0.00149
