Tiempo(s)	Voltaje(V)
0.168692	1.72133
0.169220	2.08479
0.169749	2.26204
0.170276	2.17583
0.170804	1.86559
0.171331	1.45057
0.171860	1.11611
0.172388	1.00166
0.172916	1.16204
0.173445	1.52308
0.173975	1.92844
0.174506	2.21370
0.175033	2.24351
0.175560	2.02673
0.176091	1.63426
0.176618	1.25071
0.177146	1.04441
0.177674	1.05488
0.178202	1.35142
0.178731	1.74550
0.179259	2.10090
0.179788	2.26365
0.180316	2.15649
0.180844	1.83009
0.181373	1.41668
0.181902	1.09517
0.182431	1.00810
0.182960	1.18460
0.183488	1.55450
0.184016	1.95583
0.184543	2.22175
0.185070	2.24753
0.185598	2.01142
0.186126	1.60123
0.186654	1.22569
0.187183	1.02019
0.187711	1.07180
0.188239	1.36753
0.188766	1.77772
0.189296	2.12346
0.189823	2.26687
0.190350	2.14441
0.190878	1.80109
0.191404	1.39573
0.191933	1.08630
0.192461	1.01374
0.192989	1.19990
0.193518	1.56900
0.194046	1.97436
0.194574	2.23223
0.195103	2.23384
0.195630	1.98403
0.196159	1.59801
0.196686	1.20313
0.197214	1.01294
0.197741	1.08066
0.198269	1.37801
0.198798	1.79706
0.199327	2.13877
0.199854	2.26445
0.200383	2.12588
0.200910	1.78014
0.201440	1.36512
0.201969	1.07422
0.202498	1.01858
0.203025	1.22085
0.203553	1.60204
0.204082	2.00095
0.204611	2.24028
0.205146	2.22014
0.205674	1.95341
0.206204	1.54483
0.206733	1.18540
0.207260	1.00971
0.207788	1.09436
0.208317	1.41588
0.208844	1.83171
0.209374	2.15810
0.209904	2.26365
0.210431	2.10010
0.210960	1.74711
0.211489	1.33692
0.212016	1.05327
0.212545	1.02502
0.213074	1.25152
0.213602	1.64393
0.214130	2.03156
0.214658	2.24834
0.215187	2.20725
0.215715	1.92119
0.216243	1.51825
0.216771	1.15801
0.217299	1.00730
0.217829	1.11289
0.218357	1.46024
0.218885	1.86237
0.219412	2.18308
0.219941	2.26284
0.220467	2.07512
0.220996	1.71569
0.221524	1.28777
0.222053	1.04763
0.222581	1.03474
0.223110	1.27649
0.223639	1.67540
0.224168	2.05171
0.224696	2.25801
0.225224	2.19436
0.225752	1.89702
0.226280	1.49247
0.226809	1.14270
0.227338	1.00327
0.227865	1.13464
0.228391	1.48441
0.228920	1.87687
0.229448	2.18953
0.229979	2.25156
0.230508	2.05896
0.231036	1.68104
0.231563	1.28374
0.232092	1.03474
