Frecuencia(Hz)	Magnitud(V)
0.00	0.00034
0.92	0.00033
1.85	0.00032
2.77	0.00030
3.69	0.00028
4.62	0.00025
5.54	0.00022
6.47	0.00020
7.39	0.00018
8.31	0.00017
9.24	0.00016
10.16	0.00015
11.08	0.00014
12.01	0.00013
12.93	0.00012
13.86	0.00011
14.78	0.00010
15.70	0.00010
16.63	0.00010
17.55	0.00011
18.47	0.00012
19.40	0.00014
20.32	0.00016
21.24	0.00018
22.17	0.00020
23.09	0.00021
24.02	0.00021
24.94	0.00020
25.86	0.00018
26.79	0.00016
27.71	0.00013
28.63	0.00011
29.56	0.00010
30.48	0.00011
31.41	0.00012
32.33	0.00015
33.25	0.00017
34.18	0.00018
35.10	0.00019
36.02	0.00020
36.95	0.00019
37.87	0.00018
38.79	0.00017
39.72	0.00016
40.64	0.00015
41.57	0.00015
42.49	0.00014
43.41	0.00013
44.34	0.00013
45.26	0.00012
46.18	0.00012
47.11	0.00012
48.03	0.00012
48.96	0.00012
49.88	0.00013
50.80	0.00014
51.73	0.00015
52.65	0.00015
53.57	0.00016
54.50	0.00015
55.42	0.00015
56.35	0.00013
57.27	0.00012
58.19	0.00012
59.12	0.00012
60.04	0.00014
60.96	0.00016
61.89	0.00017
62.81	0.00019
63.73	0.00020
64.66	0.00021
65.58	0.00022
66.51	0.00023
67.43	0.00023
68.35	0.00022
69.28	0.00021
70.20	0.00020
71.12	0.00018
72.05	0.00017
72.97	0.00016
73.90	0.00016
74.82	0.00017
75.74	0.00019
76.67	0.00021
77.59	0.00024
78.51	0.00026
79.44	0.00029
80.36	0.00030
81.28	0.00031
82.21	0.00030
83.13	0.00028
84.06	0.00026
84.98	0.00023
85.90	0.00019
86.83	0.00017
87.75	0.00015
88.67	0.00014
89.60	0.00015
90.52	0.00017
91.45	0.00020
92.37	0.00023
93.29	0.00026
94.22	0.00028
95.14	0.00029
96.06	0.00030
96.99	0.00030
97.91	0.00029
98.83	0.00029
99.76	0.00028
100.68	0.00027
101.61	0.00026
102.53	0.00024
103.45	0.00023
104.38	0.00022
105.30	0.00022
106.22	0.00023
107.15	0.00024
108.07	0.00027
109.00	0.00029
109.92	0.00031
110.84	0.00033
111.77	0.00033
112.69	0.00032
113.61	0.00031
114.54	0.00029
115.46	0.00026
116.38	0.00024
117.31	0.00022
118.23	0.00022
119.16	0.00023
120.08	0.00025
121.00	0.00028
121.93	0.00031
122.85	0.00033
123.77	0.00035
124.70	0.00036
125.62	0.00037
126.55	0.00036
127.47	0.00035
128.39	0.00035
129.32	0.00033
130.24	0.00032
131.16	0.00031
132.09	0.00030
133.01	0.00029
133.93	0.00028
134.86	0.00029
135.78	0.00032
136.71	0.00037
137.63	0.00042
138.55	0.00047
139.48	0.00051
140.40	0.00054
141.32	0.00053
142.25	0.00051
143.17	0.00047
144.10	0.00042
145.02	0.00036
145.94	0.00031
146.87	0.00027
147.79	0.00027
148.71	0.00030
149.64	0.00035
150.56	0.00042
151.48	0.00050
152.41	0.00057
153.33	0.00063
154.26	0.00067
155.18	0.00068
156.10	0.00067
157.03	0.00065
157.95	0.00062
158.87	0.00059
159.80	0.00056
160.72	0.00052
161.65	0.00048
162.57	0.00045
163.49	0.00044
164.42	0.00048
165.34	0.00057
166.26	0.00070
167.19	0.00085
168.11	0.00099
169.04	0.00109
169.96	0.00114
170.88	0.00114
171.81	0.00110
172.73	0.00105
173.65	0.00100
174.58	0.00095
175.50	0.00090
176.42	0.00085
177.35	0.00079
178.27	0.00076
179.20	0.00079
180.12	0.00093
181.04	0.00120
181.97	0.00157
182.89	0.00195
183.81	0.00222
184.74	0.00228
185.66	0.00211
186.59	0.00185
187.51	0.00173
188.43	0.00196
189.36	0.00262
190.28	0.00360
191.20	0.00437
192.13	0.00401
193.05	0.00147
193.97	0.00434
194.90	0.01369
195.82	0.02632
196.75	0.04099
197.67	0.05571
198.59	0.06818
199.52	0.07625
200.44	0.07850
201.36	0.07455
202.29	0.06521
203.21	0.05222
204.14	0.03785
205.06	0.02432
205.98	0.01330
206.91	0.00568
207.83	0.00146
208.75	0.00016
209.68	0.00053
210.60	0.00141
