Frecuencia(Hz)	Magnitud(V)
0.00	0.00291
3.69	0.00206
7.39	0.00117
11.08	0.00094
14.78	0.00068
18.47	0.00087
22.17	0.00110
25.86	0.00087
29.56	0.00078
33.25	0.00102
36.94	0.00106
40.64	0.00070
44.33	0.00027
48.03	0.00047
51.72	0.00083
55.42	0.00080
59.11	0.00050
62.80	0.00075
66.50	0.00108
70.19	0.00116
73.89	0.00084
77.58	0.00097
81.28	0.00122
84.97	0.00111
88.67	0.00089
92.36	0.00100
96.05	0.00118
99.75	0.00122
103.44	0.00085
107.14	0.00097
110.83	0.00140
114.53	0.00129
118.22	0.00099
121.92	0.00140
125.61	0.00151
129.30	0.00129
133.00	0.00092
136.69	0.00115
140.39	0.00179
144.08	0.00150
147.78	0.00082
151.47	0.00136
155.16	0.00236
158.86	0.00242
162.55	0.00184
166.25	0.00223
169.94	0.00366
173.64	0.00335
177.33	0.00315
181.03	0.00455
184.72	0.00824
188.41	0.00659
192.11	0.01552
195.80	0.10219
199.50	0.30345
203.19	0.21188
206.89	0.02390
210.58	0.00436
214.28	0.00838
217.97	0.00502
221.66	0.00353
225.36	0.00245
229.05	0.00361
232.75	0.00268
236.44	0.00172
240.14	0.00173
243.83	0.00183
247.52	0.00138
251.22	0.00085
254.91	0.00085
258.61	0.00136
262.30	0.00110
266.00	0.00050
269.69	0.00089
273.39	0.00108
277.08	0.00111
280.77	0.00073
284.47	0.00063
288.16	0.00114
291.86	0.00118
295.55	0.00080
299.25	0.00086
302.94	0.00102
306.64	0.00098
310.33	0.00074
314.02	0.00059
317.72	0.00086
321.41	0.00068
325.11	0.00037
328.80	0.00055
332.50	0.00068
336.19	0.00059
339.88	0.00038
343.58	0.00053
347.27	0.00067
350.97	0.00055
354.66	0.00047
358.36	0.00065
362.05	0.00058
365.75	0.00034
369.44	0.00032
373.13	0.00033
376.83	0.00048
380.52	0.00057
384.22	0.00059
387.91	0.00063
391.61	0.00062
395.30	0.00064
399.00	0.00050
402.69	0.00050
406.38	0.00064
410.08	0.00045
413.77	0.00018
417.47	0.00033
421.16	0.00067
424.86	0.00070
428.55	0.00043
432.24	0.00034
435.94	0.00038
439.63	0.00033
443.33	0.00018
447.02	0.00016
450.72	0.00011
454.41	0.00027
458.11	0.00036
461.80	0.00036
465.49	0.00047
469.19	0.00042
472.88	0.00036
476.58	0.00028
480.27	0.00025
483.97	0.00026
487.66	0.00021
491.36	0.00033
495.05	0.00052
498.74	0.00032
502.44	0.00011
506.13	0.00023
509.83	0.00024
513.52	0.00016
517.22	0.00010
520.91	0.00005
524.60	0.00005
528.30	0.00019
531.99	0.00032
535.69	0.00023
539.38	0.00014
543.08	0.00019
546.77	0.00031
550.47	0.00027
554.16	0.00028
557.85	0.00020
561.55	0.00013
565.24	0.00037
568.94	0.00040
572.63	0.00023
576.33	0.00019
580.02	0.00011
583.72	0.00023
587.41	0.00021
591.10	0.00018
594.80	0.00021
598.49	0.00018
602.19	0.00019
605.88	0.00032
609.58	0.00026
613.27	0.00023
616.96	0.00026
620.66	0.00025
624.35	0.00021
628.05	0.00020
631.74	0.00016
635.44	0.00005
639.13	0.00011
642.83	0.00014
646.52	0.00006
650.21	0.00011
653.91	0.00028
657.60	0.00041
661.30	0.00033
664.99	0.00013
668.69	0.00012
672.38	0.00015
676.08	0.00006
679.77	0.00009
683.46	0.00016
687.16	0.00015
690.85	0.00011
694.55	0.00011
698.24	0.00005
701.94	0.00014
705.63	0.00006
709.32	0.00007
713.02	0.00006
716.71	0.00031
720.41	0.00035
724.10	0.00026
727.80	0.00031
731.49	0.00025
735.19	0.00014
738.88	0.00016
742.57	0.00022
746.27	0.00013
749.96	0.00008
753.66	0.00013
757.35	0.00012
761.05	0.00017
764.74	0.00029
768.43	0.00035
772.13	0.00032
775.82	0.00020
779.52	0.00022
783.21	0.00016
786.91	0.00007
790.60	0.00021
794.30	0.00028
797.99	0.00021
801.68	0.00007
805.38	0.00015
809.07	0.00025
812.77	0.00034
816.46	0.00035
820.16	0.00034
823.85	0.00020
827.55	0.00016
831.24	0.00012
834.93	0.00018
838.63	0.00018
842.32	0.00016
846.02	0.00026
849.71	0.00034
853.41	0.00022
857.10	0.00014
860.79	0.00024
864.49	0.00032
868.18	0.00034
871.88	0.00032
875.57	0.00034
879.27	0.00022
882.96	0.00019
886.66	0.00041
890.35	0.00040
894.04	0.00009
897.74	0.00012
901.43	0.00008
905.13	0.00011
908.82	0.00008
912.52	0.00012
916.21	0.00019
919.91	0.00018
923.60	0.00017
927.29	0.00014
930.99	0.00017
934.68	0.00005
938.38	0.00024
942.07	0.00021
