Tiempo(s)	Voltaje(V)
0.000064	1.69313
0.000651	2.08479
0.001189	2.26123
0.001720	2.17100
0.002249	1.83251
0.002811	1.41185
0.003340	1.09194
0.003870	1.00569
0.004400	1.19426
0.004948	1.57384
0.005477	1.96953
0.006006	2.22820
0.006533	2.22739
0.007062	1.97839
0.007590	1.58190
0.008118	1.20715
0.008646	1.01213
0.009196	1.09033
0.009725	1.40460
0.010270	1.83493
0.010808	2.15891
0.011339	2.26043
0.011868	2.09526
0.012398	1.73341
0.012928	1.32725
0.013456	1.05247
0.013985	1.02583
0.014513	1.25635
0.015042	1.65043
0.015570	2.03317
0.016099	2.24673
0.016629	2.20000
0.017157	1.90346
0.017716	1.48199
0.018245	1.13303
0.018773	1.00407
0.019301	1.13303
0.019830	1.48199
0.020359	1.88976
0.020886	2.19114
0.021416	2.25398
0.021943	2.05332
0.022473	1.67702
0.023001	1.27730
0.023530	1.03066
0.024058	1.04119
0.024586	1.29986
0.025113	1.71166
0.025642	2.07834
0.026171	2.25881
0.026702	2.17502
0.027229	1.85834
0.027756	1.45379
0.028284	1.11611
0.028812	1.00166
0.029341	1.15640
0.029870	1.50938
0.030397	1.91635
0.030925	2.20000
0.031454	2.24753
0.031983	2.03156
0.032512	1.64393
0.033040	1.25393
0.033570	1.02341
0.034100	1.06374
0.034681	1.37156
0.035210	1.78578
0.035738	2.12749
0.036268	2.26526
0.036796	2.13474
0.037325	1.79062
0.037853	1.38365
0.038382	1.07583
0.038910	1.01374
0.039438	1.21118
0.039966	1.58834
0.040495	1.98725
0.041023	2.23223
0.041552	2.22900
0.042079	1.97114
0.042608	1.56981
0.043136	1.19185
0.043665	1.01213
0.044192	1.08953
0.044721	1.39815
0.045249	1.80512
0.045778	2.14280
0.046306	2.26204
0.046836	2.11621
0.047363	1.75758
0.047892	1.35545
0.048420	1.05972
0.048949	1.01697
0.049477	1.23455
0.050005	1.61573
0.050533	2.01142
0.051063	2.24431
0.051592	2.21531
0.052121	1.94213
0.052650	1.53355
0.053179	1.17009
0.053706	1.00730
0.054234	1.11128
0.054764	1.42715
0.055291	1.84057
0.055820	2.16536
0.056350	2.26365
0.056877	2.09607
0.057406	1.72374
0.057934	1.32242
0.058464	1.05569
0.058992	1.02502
0.059519	1.25957
0.060049	1.65365
0.060578	2.03317
0.061105	2.24753
0.061633	2.20242
0.062160	1.91152
0.062689	1.50858
0.063218	1.15317
