Tiempo(s)	Voltaje(V)
0.168684	1.21441
0.169213	1.59317
0.169742	1.98886
0.170270	2.23545
0.170798	2.22417
0.171325	1.96228
0.171854	1.56175
0.172382	1.19024
0.172910	1.00891
0.173439	1.08711
0.173967	1.40540
0.174496	1.81479
0.175023	2.15327
0.175553	2.26204
0.176080	2.11218
0.176609	1.75758
0.177137	1.34900
0.177665	1.06133
0.178193	1.02019
0.178721	1.23863
0.179249	1.62379
0.179778	2.01303
0.180309	2.24431
0.180837	2.21450
0.181365	1.93488
0.181894	1.53033
0.182422	1.16848
0.182952	1.02099
0.183480	1.11047
0.184006	1.43682
0.184535	1.84218
0.185064	2.16777
0.185591	2.26204
0.186120	2.08559
0.186651	1.72052
0.187181	1.31839
0.187709	1.04924
0.188237	1.03066
0.188765	1.26683
0.189294	1.65929
0.189822	2.03801
0.190350	2.25076
0.190880	2.19919
0.191408	1.90104
0.191936	1.50133
0.192463	1.14834
0.192993	1.00327
0.193524	1.12095
0.194051	1.46910
0.194580	1.87768
0.195109	2.18550
0.195637	2.25962
0.196164	2.06787
0.196692	1.70280
0.197219	1.29100
0.197751	1.03796
0.198281	1.03635
0.198809	1.29341
0.199337	1.69474
0.199867	2.07190
0.200395	2.25881
0.200924	2.18308
0.201452	1.87446
0.201979	1.46427
0.202510	1.12578
0.203039	1.00569
0.203566	1.14753
0.204095	1.50052
0.204623	1.90829
0.205151	2.19919
0.205681	2.25076
0.206210	2.03640
0.206737	1.65607
0.207267	1.26360
0.207796	1.02663
0.208324	1.05891
0.208852	1.32806
0.209381	1.72858
0.209910	2.09768
0.210444	2.25962
0.210973	2.16374
0.211501	1.84137
0.212030	1.42554
0.212559	1.10242
0.213088	1.00407
0.213616	1.17573
0.214144	1.53678
0.214672	1.94374
0.215201	2.21531
0.215729	2.24270
0.216258	2.00820
0.216785	1.62379
0.217313	1.22810
0.217841	1.01938
0.218369	1.06616
0.218898	1.34820
0.219428	1.76403
0.219956	2.11379
0.220484	2.26445
0.221012	2.14280
0.221542	1.80995
0.222070	1.39815
0.222599	1.08308
0.223129	1.00730
0.223657	1.19749
0.224185	1.56981
0.224715	1.96872
0.225242	2.22578
0.225770	2.23062
0.226298	1.98403
0.226826	1.58592
0.227355	1.20393
0.227884	1.01535
0.228413	1.07905
0.228942	1.38848
0.229471	1.79626
0.229999	2.13796
0.230529	2.26526
0.231056	2.12346
0.231585	1.77692
0.232113	1.36190
0.232641	1.07583
0.233168	1.01374
0.233697	1.21199
0.234226	1.60848
0.234754	1.99934
0.235284	2.23706
0.235812	2.22175
0.236341	1.95341
0.236869	1.54886
0.237397	1.18057
0.237926	1.00569
0.238454	1.09678
0.238984	1.41668
0.239512	1.82929
0.240041	2.16133
0.240569	2.26123
0.241098	2.10412
0.241627	1.74308
0.242154	1.33611
0.242683	1.05649
0.243210	1.02260
0.243739	1.25071
0.244267	1.64474
0.244796	2.02673
0.245325	2.24351
0.245852	2.20645
0.246382	1.92602
0.246910	1.51905
0.247438	1.16123
0.247967	1.00730
0.248495	1.11531
0.249025	1.44896
0.249553	1.86076
0.250081	2.17341
0.250610	2.26123
0.251138	2.07754
0.251667	1.71327
0.252196	1.30711
0.252724	1.04683
0.253252	1.03232
0.253781	1.27649
0.254309	1.66815
0.254836	2.04768
0.255365	2.25156
0.255892	2.19355
0.256422	1.89540
0.256950	1.48602
0.257478	1.14109
0.258006	1.00891
0.258534	1.13223
0.259062	1.48119
0.259590	1.88251
0.260117	2.18630
0.260646	2.25237
0.261175	2.05815
0.261701	1.68427
0.262229	1.28858
0.262758	1.03474
0.263285	1.04360
0.263813	1.29905
0.264344	1.69796
0.264872	2.06787
0.265400	2.25720
0.265927	2.18066
0.266455	1.87446
0.266981	1.46427
0.267510	1.12578
0.268038	1.00246
0.268566	1.14915
0.269093	1.49891
0.269622	1.90507
0.270151	2.19758
0.270680	2.25156
