Tiempo(s)	Voltaje(V)
0.000072	1.25071
0.000654	1.01133
0.001188	1.06858
0.001718	1.35948
0.002246	1.78417
0.002807	2.13232
0.003336	2.25720
0.003863	2.12507
0.004393	1.76564
0.004942	1.35062
0.005473	1.06133
0.006002	1.01938
0.006529	1.23374
0.007058	1.62057
0.007587	2.01223
0.008116	2.24190
0.008644	2.21128
0.009193	1.92199
0.009722	1.51825
0.010252	1.15720
0.010780	1.00649
0.011323	1.12820
0.011862	1.46749
0.012391	1.87768
0.012921	2.21209
0.013452	2.25640
0.013981	2.05734
0.014509	1.68749
0.015038	1.28858
0.015565	1.03066
0.016094	1.03957
0.016622	1.29180
0.017150	1.71166
0.017711	2.08237
0.018241	2.26204
0.018768	2.16858
0.019296	1.84782
0.019824	1.44166
0.020353	1.10564
0.020883	1.01213
0.021411	1.16526
0.021939	1.52872
0.022467	1.92602
0.022994	2.20967
0.023523	2.24512
0.024052	2.01545
0.024581	1.63024
0.025109	1.24507
0.025637	1.01858
0.026166	1.05649
0.026695	1.34659
0.027223	1.75114
0.027751	2.10815
0.028280	2.26365
0.028808	2.15569
0.029336	1.82123
0.029864	1.40862
0.030394	1.09033
0.030922	1.00649
0.031451	1.18379
0.031980	1.55692
0.032509	1.95986
0.033037	2.22014
0.033565	2.23303
0.034094	1.97597
0.034673	1.55611
0.035203	1.18540
0.035730	1.00569
0.036259	1.09275
0.036787	1.41265
0.037316	1.82204
0.037844	2.15408
0.038372	2.26204
0.038901	2.10574
0.039428	1.74953
0.039957	1.34739
0.040486	1.05972
0.041014	1.02019
0.041541	1.23943
0.042070	1.63024
0.042597	2.01626
0.043126	2.24512
0.043655	2.21289
0.044184	1.93085
0.044712	1.52389
0.045241	1.16768
0.045768	1.00246
0.046297	1.11209
0.046825	1.44412
0.047354	1.84943
0.047884	2.16697
0.048412	2.26284
0.048941	2.08318
0.049469	1.71569
0.049997	1.31597
0.050526	1.04521
0.051053	1.03066
0.051583	1.26763
0.052112	1.67621
0.052640	2.04204
0.053167	2.25076
0.053696	2.19517
0.054224	1.90427
0.054752	1.49166
0.055281	1.14512
0.055810	1.00005
0.056339	1.13062
0.056866	1.46668
0.057394	1.87768
0.057921	2.18469
0.058450	2.25720
0.058976	2.06787
0.059504	1.68749
0.060033	1.29019
0.060562	1.03877
0.061090	1.03635
0.061618	1.29422
0.062148	1.69232
0.062676	2.06545
0.063204	2.25720
0.063731	2.18308
0.064260	1.87607
0.064787	1.46346
0.065316	1.12900
0.065844	1.00488
0.066373	1.14834
0.066901	1.49569
0.067429	1.90266
0.067958	2.21128
0.068581	2.23384
0.069111	1.98081
0.069638	1.58109
0.070167	1.19910
0.070696	1.01455
0.071224	1.07744
0.071752	1.38204
0.072280	1.80190
0.072808	2.13635
0.073336	2.26607
0.073864	2.12346
0.074395	1.76886
0.074931	1.35545
0.075460	1.06858
0.075990	1.01616
0.076519	1.22407
0.077046	1.61090
0.077573	2.00256
0.078102	2.23706
0.078631	2.21692
0.079160	1.94374
0.079689	1.53839
0.080216	1.17412
0.080743	1.00488
0.081272	1.09839
0.081802	1.42635
0.082329	1.82607
0.082856	2.16213
0.083386	2.26284
0.083914	2.09929
0.084442	1.73583
0.084971	1.33450
0.085500	1.05730
0.086027	1.02663
0.086556	1.25232
0.087084	1.63749
0.087613	2.02512
0.088140	2.24834
0.088669	2.20564
0.089197	1.91555
0.089726	1.51905
0.090254	1.16043
0.090784	1.00649
0.091312	1.11531
0.091841	1.45138
0.092369	1.85995
0.092896	2.17664
0.093425	2.25640
0.093953	2.08318
0.094481	1.70683
0.095012	1.30791
0.095541	1.04199
0.096069	1.03066
0.096598	1.27730
0.097126	1.67460
0.097655	2.05171
0.098183	2.25398
0.098710	2.19275
0.099238	1.89299
0.099766	1.48280
0.100294	1.13787
0.100821	1.00327
0.101350	1.13303
0.101878	1.47796
0.102406	1.88251
0.102934	2.18791
0.103464	2.25398
0.103992	2.05734
0.104519	1.67379
0.105047	1.28294
0.105575	1.03066
0.106104	1.03716
0.106631	1.29905
0.107159	1.70038
0.107688	2.07351
0.108217	2.25559
0.108747	2.18147
0.109275	1.86479
0.109804	1.44896
0.110332	1.11611
0.110863	1.01374
0.111392	1.15398
0.111920	1.51422
0.112449	1.91877
0.112978	2.20564
0.113505	2.23867
0.114036	2.03076
0.114564	1.64071
0.115091	1.25555
0.115620	1.02099
0.116151	1.05408
0.116679	1.33209
0.117208	1.73744
0.117737	2.10090
0.118265	2.25881
0.118792	2.16294
0.119320	1.83251
0.119847	1.42393
0.120376	1.08228
0.120904	1.00488
0.121432	1.18057
0.121962	1.54403
0.122491	1.94616
0.123019	2.22095
0.123548	2.23545
0.124078	1.99934
0.124606	1.60848
0.125134	1.22649
0.125663	1.01455
0.126192	1.06938
0.126721	1.36351
0.127250	1.77289
0.127779	2.12104
0.128307	2.26204
0.128835	2.14038
0.129365	1.79787
0.129894	1.38929
0.130423	1.08228
0.130953	1.01697
0.131481	1.20313
0.132009	1.57948
0.132537	1.98403
0.133066	2.23464
0.133594	2.22659
0.134122	1.97033
0.134651	1.57303
0.135179	1.19749
0.135707	1.00327
0.136409	1.16526
0.136939	1.52630
0.137468	1.92924
0.137998	2.17986
0.138527	2.24351
0.139066	2.00820
0.139596	1.62057
0.140125	1.22649
0.140654	1.01697
0.141183	1.06374
0.141710	1.35706
0.142239	1.76483
0.142769	2.11782
0.143298	2.26607
0.143827	2.14280
0.144354	1.81156
0.144882	1.39815
0.145409	1.08872
0.145936	1.01213
0.146463	1.18782
0.146992	1.57142
0.147519	1.96711
0.148048	2.22659
0.148576	2.23142
0.149105	1.98645
0.149634	1.58915
0.150162	1.20635
0.150690	1.01455
0.151218	1.07664
0.151746	1.37962
0.152274	1.79464
0.152802	2.13071
0.153332	2.26607
0.153860	2.12588
0.154389	1.77772
0.154919	1.36995
0.155449	1.07341
0.155978	1.01616
0.156506	1.21682
0.157034	1.60123
0.157562	1.99772
0.158090	2.23787
0.158618	2.22336
0.159146	1.95422
0.159674	1.55692
0.160202	1.18540
0.160729	1.00569
0.161257	1.09355
0.161787	1.40621
0.162318	1.82526
0.162845	2.16052
0.163375	2.26043
0.163903	2.10574
0.164430	1.74791
0.164960	1.34095
0.165487	1.05730
0.166015	1.02180
0.166544	1.24266
0.167074	1.63185
0.167602	2.01948
0.168130	2.24512
0.168658	2.20725
0.169188	1.92763
0.169715	1.52308
0.170245	1.16445
0.170772	1.00327
0.171300	1.11047
0.171828	1.42152
0.172356	1.84782
0.172884	2.17019
0.173414	2.26365
0.173944	2.08398
0.174472	1.71569
0.175001	1.31436
0.175529	1.04844
0.176056	1.02663
0.176584	1.27085
0.177111	1.67057
0.177639	2.04204
0.178167	2.25479
0.178694	2.19758
0.179222	1.90266
0.179751	1.49488
0.180278	1.14673
0.180806	1.00407
0.181334	1.12981
0.181862	1.47232
0.182392	1.87848
0.182920	2.17905
0.183448	2.25640
0.183977	2.06545
0.184505	1.68910
0.185033	1.29100
0.185563	1.04280
0.186091	1.03877
0.186621	1.29583
0.187151	1.69313
0.187679	2.06626
0.188207	2.25640
0.188736	2.18469
0.189265	1.87204
0.189793	1.46346
0.190322	1.12578
0.190849	1.00649
0.191377	1.14512
0.191904	1.49730
0.192433	1.90266
0.192961	2.19919
0.193490	2.25076
0.194020	2.03881
0.194550	1.65526
0.195078	1.25877
0.195607	1.02260
0.196136	1.04844
0.196665	1.32322
0.197194	1.72455
0.197722	2.09929
0.198250	2.26123
0.198777	2.16455
0.199307	1.84218
0.199836	1.43199
0.200366	1.10403
0.200894	1.00488
0.201423	1.17171
0.201951	1.53355
0.202481	1.93810
0.203016	2.21853
0.203547	2.24028
0.204075	2.00498
0.204603	1.61573
0.205130	1.22649
0.205658	1.01777
0.206187	1.06536
0.206715	1.36028
0.207244	1.76725
0.207772	2.11540
0.208300	2.26687
0.208828	2.14038
0.209356	1.80592
0.209885	1.39412
0.210413	1.08550
0.210941	1.00971
0.211469	1.19749
0.211997	1.57062
0.212525	1.97194
0.213055	2.22820
0.213583	2.22981
0.214111	1.98081
0.214640	1.58190
0.215168	1.20796
0.215698	1.00730
0.216226	1.08389
0.216754	1.38848
0.217282	1.79384
0.217808	2.13555
0.218336	2.26445
0.218865	2.12749
0.219391	1.77772
0.219920	1.37398
0.220449	1.07341
0.220977	1.01777
0.221506	1.21924
0.222033	1.60204
0.222563	1.99209
0.223090	2.23545
0.223620	2.22256
0.224147	1.95744
0.224675	1.55772
0.225202	1.18621
0.225730	1.00891
0.226260	1.09517
0.226788	1.41104
0.227318	1.81962
0.227846	2.15166
0.228373	2.26123
0.228903	2.10412
0.229431	1.74308
0.229960	1.34175
0.230489	1.05730
0.231019	1.02260
0.231549	1.24588
0.232078	1.63185
0.232607	2.02190
0.233134	2.24834
0.233664	2.21289
0.234192	1.92280
0.234721	1.51905
0.235249	1.15720
0.235778	1.01213
0.236307	1.11289
0.236836	1.44327
0.237364	1.86076
0.237893	2.17583
0.238420	2.25076
0.238948	2.08398
0.239477	1.71247
0.240005	1.31194
0.240533	1.03555
0.241062	1.03313
0.241592	1.27085
0.242121	1.66976
0.242649	2.04607
0.243178	2.25237
0.243706	2.18953
0.244234	1.89621
0.244762	1.48924
0.245289	1.14190
0.245818	1.00488
0.246346	1.13142
0.246875	1.47474
0.247402	1.88332
0.247929	2.18630
0.248457	2.25801
0.248985	2.06465
0.249513	1.68507
0.250040	1.28697
0.250568	1.03152
0.251097	1.04038
0.251625	1.29664
0.252152	1.69635
0.252682	2.06867
0.253211	2.25640
0.253739	2.18308
0.254267	1.87043
0.254796	1.46507
0.255324	1.12900
0.255852	1.00246
0.256382	1.15317
0.256911	1.50536
0.257441	1.91232
0.257971	2.20322
0.258501	2.24995
0.259028	2.03398
0.259557	1.64635
0.260087	1.25635
0.260614	1.02824
0.261142	1.04763
0.261668	1.32725
0.262196	1.73100
0.262723	2.09284
0.263251	2.26043
0.263779	2.16777
0.264308	1.84379
0.264837	1.42796
0.265364	1.10403
0.265893	1.00891
0.266423	1.17251
0.266957	1.54081
0.267486	1.94455
0.268013	2.21289
0.268540	2.24028
0.269068	2.00981
0.269596	1.61493
0.270125	1.23052
0.270653	1.01455
