Tiempo(s)	Voltaje(V)
0.000067	1.43118
0.000653	1.09597
0.001192	1.00971
0.001722	1.19185
0.002250	1.57787
0.002812	1.98645
0.003342	2.23464
0.003870	2.22498
0.004400	1.96066
0.004945	1.55047
0.005475	1.18057
0.006004	1.00730
0.006531	1.09758
0.007061	1.41507
0.007588	1.82687
0.008116	2.15730
0.008644	2.26365
0.009195	2.09123
0.009724	1.71972
0.010252	1.32725
0.010780	1.05085
0.011310	1.02099
0.011839	1.26280
0.012366	1.65043
0.012893	2.03559
0.013423	2.25156
0.013953	2.20483
0.014481	1.90910
0.015010	1.50294
0.015539	1.14995
0.016068	1.00327
0.016595	1.12256
0.017125	1.47071
0.017678	1.88976
0.018208	2.19275
0.018752	2.25076
0.019289	2.03479
0.019816	1.65687
0.020346	1.26360
0.020874	1.02824
0.021403	1.05085
0.021932	1.32322
0.022462	1.72697
0.022990	2.08962
0.023518	2.25801
0.024046	2.16858
0.024574	1.84621
0.025102	1.44412
0.025631	1.10806
0.026160	1.00649
0.026690	1.17171
0.027217	1.53033
0.027745	1.93408
0.028273	2.21611
0.028801	2.24431
0.029330	2.01142
0.029857	1.62621
0.030385	1.24104
0.030913	1.01938
0.031441	1.05972
0.031970	1.35142
0.032498	1.75355
0.033027	2.12104
0.033555	2.26365
0.034084	2.13393
0.034670	1.77209
0.035199	1.36351
0.035727	1.06858
0.036255	1.01697
0.036784	1.22407
0.037311	1.60848
0.037839	2.00175
0.038366	2.24028
0.038895	2.22175
0.039423	1.95100
0.039952	1.55047
0.040479	1.18057
0.041008	1.01455
0.041537	1.10322
0.042065	1.42474
0.042593	1.82768
0.043121	2.15247
0.043650	2.26123
0.044178	2.09768
0.044705	1.74389
0.045234	1.33934
0.045763	1.05488
0.046293	1.02260
0.046820	1.24829
0.047349	1.63829
0.047877	2.02351
0.048406	2.24753
0.048933	2.20886
0.049461	1.92683
0.049990	1.51664
0.050518	1.15962
0.051047	1.00569
0.051576	1.11370
0.052107	1.44654
0.052635	1.85834
0.053163	2.17341
0.053692	2.26123
0.054220	2.08318
0.054748	1.71005
0.055276	1.30711
0.055806	1.04441
0.056334	1.02824
0.056863	1.27488
0.057392	1.67540
0.057920	2.05009
0.058448	2.25640
0.058977	2.19033
0.059504	1.89863
0.060032	1.48521
0.060559	1.14190
0.061088	1.00246
0.061614	1.13223
0.062143	1.47474
0.062670	1.88574
0.063198	2.18630
0.063726	2.25398
0.064254	2.05654
0.064782	1.68266
0.065311	1.28536
0.065838	1.03474
0.066367	1.04360
0.066896	1.30066
0.067426	1.69635
0.067954	2.09768
0.068580	2.26687
0.069108	2.13716
0.069638	1.79626
0.070167	1.38929
0.070695	1.07986
0.071223	1.01052
0.071752	1.20554
0.072280	1.58431
0.072809	1.98081
0.073338	2.23303
0.073867	2.22900
0.074397	1.97275
0.074927	1.56578
0.075455	1.19668
0.075982	1.00971
0.076511	1.08550
0.077039	1.39976
0.077568	1.81962
0.078096	2.14521
0.078624	2.25962
0.079152	2.11863
0.079682	1.76242
0.080210	1.35626
0.080739	1.06536
0.081267	1.01616
0.081796	1.23455
0.082324	1.63185
0.082857	2.01384
0.083393	2.24190
0.083922	2.21289
0.084451	1.93166
0.084980	1.52389
0.085509	1.16687
0.086038	1.00649
0.086567	1.11128
0.087096	1.44166
0.087624	1.85346
0.088152	2.16697
0.088679	2.26284
0.089208	2.08962
0.089737	1.71810
0.090266	1.31517
0.090796	1.04844
0.091325	1.03716
0.091854	1.28455
0.092381	1.66412
0.092908	2.04123
0.093436	2.25076
0.093967	2.19758
0.094496	1.90185
0.095025	1.49408
0.095553	1.14431
0.096082	1.00166
0.096611	1.13062
0.097138	1.47152
0.097665	1.88090
0.098194	2.18630
0.098722	2.25559
0.099251	2.06304
0.099779	1.68829
0.100307	1.28858
0.100834	1.03796
0.101364	1.04280
0.101892	1.29180
0.102420	1.69313
0.102950	2.07270
0.103478	2.25962
0.104008	2.17986
0.104535	1.87446
0.105064	1.46104
0.105593	1.12498
0.106119	1.00246
0.106647	1.15237
0.107176	1.49891
0.107703	1.90829
0.108231	2.19678
0.108758	2.25237
0.109287	2.03640
0.109817	1.65687
0.110345	1.26280
0.110876	1.02744
0.111404	1.04844
0.111933	1.32081
0.112461	1.72697
0.112989	2.08962
0.113516	2.25962
0.114045	2.16616
0.114573	1.84298
0.115101	1.43360
0.115629	1.10725
0.116158	1.00327
0.116685	1.16687
0.117213	1.53275
0.117742	1.93327
0.118270	2.21128
0.118800	2.24270
0.119328	2.01626
0.119856	1.62379
0.120384	1.23943
0.120914	1.02180
0.121443	1.06052
0.121972	1.34739
0.122499	1.75517
0.123027	2.11138
0.123556	2.26204
0.124085	2.15085
0.124613	1.80995
0.125142	1.39734
0.125670	1.09114
0.126198	1.01052
0.126726	1.18782
0.127255	1.56336
0.127781	1.96389
0.128310	2.22578
0.128837	2.23706
0.129366	1.99047
0.129894	1.59479
0.130423	1.21199
0.130951	1.01213
0.131480	1.07744
0.132009	1.37317
0.132537	1.78659
0.133066	2.12910
0.133593	2.26607
0.134122	2.12991
0.134651	1.78256
0.135180	1.37881
0.135709	1.04360
0.136414	1.05730
0.136943	1.33209
0.137470	1.72455
0.137998	2.09848
0.138528	2.26043
0.139055	2.15972
0.139583	1.83815
0.140111	1.42715
0.140639	1.10242
0.141168	1.00569
0.141696	1.17493
0.142225	1.53839
0.142752	1.94455
0.143281	2.21450
0.143809	2.24028
0.144338	2.00820
0.144867	1.61654
0.145397	1.23133
0.145925	1.01616
0.146453	1.06616
0.146985	1.36270
0.147519	1.76967
0.148047	2.10815
0.148575	2.25317
0.149103	2.14038
0.149633	1.80028
0.150161	1.39090
0.150690	1.08228
0.151219	1.01374
0.151745	1.20554
0.152274	1.57787
0.152803	1.97597
0.153331	2.23062
0.153859	2.22981
0.154387	1.97597
0.154916	1.57545
0.155444	1.20313
0.155971	1.01213
0.156499	1.08066
0.157026	1.39009
0.157555	1.80351
0.158083	2.13313
0.158611	2.26526
0.159139	2.12829
0.159667	1.78417
0.160194	1.36109
0.160722	1.07341
0.161250	1.01697
0.161778	1.22085
0.162307	1.60687
0.162835	1.99853
0.163364	2.24028
0.163894	2.22739
0.164422	1.95341
0.164950	1.54886
0.165479	1.18137
0.166007	1.00569
0.166535	1.08308
0.167064	1.41265
0.167592	1.82445
0.168120	2.16374
0.168648	2.26445
0.169176	2.10010
0.169704	1.74550
0.170232	1.34095
0.170761	1.05891
0.171291	1.02422
0.171821	1.24588
0.172350	1.63668
0.172878	2.02753
0.173406	2.24431
0.173934	2.21128
0.174462	1.92441
0.174989	1.52228
0.175518	1.16043
0.176046	1.00246
0.176573	1.11289
0.177102	1.44327
0.177629	1.85185
0.178157	2.17019
0.178685	2.26123
0.179213	2.08559
0.179741	1.71166
0.180269	1.31436
0.180797	1.04763
0.181326	1.02986
0.181855	1.27327
0.182385	1.66735
0.182913	2.04526
0.183442	2.25156
0.183971	2.19758
0.184499	1.89540
0.185028	1.49005
0.185556	1.14351
0.186084	1.00166
0.186611	1.13062
0.187140	1.47313
0.187667	1.88251
0.188196	2.18389
0.188725	2.25559
0.189253	2.06057
0.189781	1.68185
0.190311	1.28294
0.190841	1.03796
0.191369	1.04602
0.191898	1.29744
0.192426	1.69555
0.192953	2.07915
0.193482	2.25881
0.194011	2.18147
0.194538	1.87204
0.195067	1.45943
0.195595	1.12175
0.196124	1.00166
0.196652	1.15076
0.197181	1.50616
0.197709	1.91232
0.198236	2.20242
0.198765	2.24834
0.199293	2.04284
0.199821	1.65446
0.200349	1.26119
0.200875	1.02905
0.201405	1.05085
0.201933	1.32242
0.202462	1.72697
0.202990	2.09204
0.203518	2.25559
0.204047	2.16697
0.204574	1.84298
0.205103	1.43360
0.205632	1.10967
0.206159	1.00649
0.206687	1.17412
0.207217	1.53355
0.207745	1.93649
0.208273	2.21128
0.208802	2.24270
0.209329	2.01464
0.209858	1.62057
0.210388	1.23943
0.210917	1.01535
0.211452	1.06938
0.211980	1.35545
0.212510	1.76725
0.213038	2.11540
0.213566	2.25076
0.214094	2.14441
0.214621	1.80834
0.215150	1.39009
0.215678	1.08550
0.216207	1.00810
0.216736	1.19507
0.217264	1.56498
0.217793	1.96550
0.218323	2.22820
0.218852	2.22900
0.219379	1.98322
0.219908	1.58351
0.220436	1.20957
0.220964	1.01052
0.221493	1.07905
0.222021	1.38768
0.222549	1.79303
0.223077	2.13796
0.223605	2.26284
0.224134	2.12668
0.224662	1.77611
0.225190	1.36834
0.225717	1.07422
0.226244	1.01213
0.226773	1.21038
0.227301	1.60284
0.227832	1.99370
0.228360	2.23545
0.228888	2.22256
0.229417	1.95502
0.229945	1.55209
0.230473	1.18057
0.231000	1.00891
0.231528	1.09033
0.232056	1.42635
0.232584	1.82123
0.233113	2.15166
0.233643	2.26687
0.234171	2.10654
0.234700	1.74791
0.235228	1.33934
0.235757	1.03957
0.236286	1.02341
0.236814	1.24104
0.237342	1.63265
0.237870	2.02028
0.238398	2.24592
0.238926	2.21209
0.239454	1.93005
0.239982	1.52953
0.240510	1.16123
0.241042	1.00407
0.241570	1.11047
0.242099	1.43763
0.242628	1.85426
0.243156	2.16858
0.243685	2.25720
0.244213	2.08398
0.244742	1.71569
0.245271	1.31194
0.245800	1.04441
0.246328	1.02824
0.246857	1.26924
0.247384	1.66654
0.247913	2.04526
0.248442	2.26204
0.248970	2.19517
0.249498	1.89863
0.250027	1.49166
0.250557	1.13867
0.251087	1.00810
0.251615	1.13706
0.252144	1.47393
0.252671	1.88332
0.253199	2.18550
0.253728	2.25640
0.254256	2.05654
0.254786	1.68185
0.255315	1.28455
0.255842	1.03555
0.256369	1.04119
0.256897	1.28858
0.257425	1.69796
0.257955	2.06948
0.258485	2.25962
0.259013	2.17986
0.259543	1.86882
0.260072	1.45943
0.260600	1.12095
0.261129	1.00488
0.261656	1.15156
0.262185	1.50616
0.262713	1.91313
0.263240	2.20000
0.263770	2.24753
0.264299	2.03237
0.264827	1.64796
0.265356	1.26038
0.265884	1.03066
0.266412	1.05166
0.266941	1.32967
0.267469	1.73100
0.267998	2.09365
0.268526	2.26204
0.269054	2.16374
0.269583	1.83815
0.270111	1.42635
0.270640	1.10242
