Tiempo(s)	Voltaje(V)
0.000065	2.16938
0.000650	1.82929
0.001190	1.41507
0.001720	1.09678
0.002251	1.00810
0.002812	1.20635
0.003340	1.58190
0.003869	1.97839
0.004398	2.23706
0.004944	2.22417
0.005473	1.93005
0.006044	1.51744
0.006582	1.15881
0.007112	1.00407
0.007642	1.11047
0.008171	1.44976
0.008699	1.86962
0.009253	2.18550
0.009781	2.25881
0.010309	2.06304
0.010839	1.68910
0.011367	1.28858
0.011895	1.03716
0.012422	1.03796
0.012950	1.29261
0.013478	1.69152
0.014007	2.07109
0.014534	2.25720
0.015063	2.18228
0.015592	1.87687
0.016120	1.46910
0.016649	1.12578
0.017177	1.00327
0.017731	1.16204
0.018261	1.52228
0.018790	1.92602
0.019318	2.20725
0.019848	2.24431
0.020375	2.02512
0.020904	1.63104
0.021431	1.25877
0.021959	1.02260
0.022485	1.06052
0.023014	1.33047
0.023542	1.74228
0.024070	2.10010
0.024598	2.26445
0.025126	2.15972
0.025653	1.82929
0.026183	1.41829
0.026713	1.09839
0.027240	1.00649
0.027769	1.17976
0.028298	1.54967
0.028826	1.95261
0.029355	2.21692
0.029884	2.24028
0.030413	1.99934
0.030941	1.60526
0.031470	1.22488
0.031998	1.01777
0.032528	1.07100
0.033055	1.36673
0.033584	1.77370
0.034112	2.13313
0.034691	2.26526
0.035220	2.11702
0.035748	1.76000
0.036277	1.35706
0.036806	1.06455
0.037333	1.01938
0.037861	1.23782
0.038389	1.61815
0.038916	2.01062
0.039446	2.24753
0.039976	2.21531
0.040503	1.94052
0.041032	1.53275
0.041561	1.17332
0.042089	1.00488
0.042618	1.10483
0.043146	1.42877
0.043674	1.84379
0.044202	2.16294
0.044731	2.26204
0.045259	2.09043
0.045787	1.72455
0.046314	1.32403
0.046844	1.05085
0.047373	1.02180
0.047902	1.26038
0.048430	1.65365
0.048958	2.03640
0.049486	2.25076
0.050014	2.20242
0.050542	1.90991
0.051070	1.50777
0.051598	1.15237
0.052127	1.00488
0.052656	1.12256
0.053183	1.46346
0.053712	1.87687
0.054240	2.17905
0.054771	2.25801
0.055300	2.07029
0.055828	1.69635
0.056357	1.29744
0.056886	1.03716
0.057415	1.03555
0.057943	1.28616
0.058471	1.68266
0.059000	2.05976
0.059529	2.25801
0.060057	2.18550
0.060584	1.88251
0.061111	1.47313
0.061639	1.13706
0.062168	1.00327
0.062696	1.14190
0.063224	1.48521
0.063752	1.89702
0.064281	2.18066
0.064810	2.25317
0.065338	2.04687
0.065865	1.66735
0.066395	1.27166
0.066924	1.02824
0.067452	1.04683
0.067982	1.34498
0.068607	1.79142
0.069134	2.13474
0.069668	2.26284
0.070205	2.12024
0.070737	1.76483
0.071266	1.35867
0.071797	1.06536
0.072326	1.01858
0.072854	1.22971
0.073383	1.60123
0.073911	2.00498
0.074439	2.24109
0.074967	2.21450
0.075494	1.94616
0.076025	1.54081
0.076553	1.16284
0.077081	1.00569
0.077609	1.10242
0.078138	1.42313
0.078666	1.83654
0.079194	2.16294
0.079722	2.26768
0.080251	2.09848
0.080779	1.73664
0.081307	1.32564
0.081837	1.05488
0.082367	1.02583
0.082895	1.25716
0.083423	1.64393
0.083953	2.03317
0.084480	2.24753
0.085006	2.20645
0.085535	1.91635
0.086063	1.50858
0.086592	1.15156
0.087122	1.00327
0.087649	1.11128
0.088177	1.45379
0.088705	1.86157
0.089234	2.17825
0.089764	2.25720
0.090292	2.07270
0.090821	1.70280
0.091349	1.30550
0.091878	1.03957
0.092406	1.03474
0.092935	1.28294
0.093462	1.67782
0.093992	2.05654
0.094520	2.25801
0.095048	2.18791
0.095576	1.88654
0.096104	1.47716
0.096632	1.13545
0.097159	1.00085
0.097686	1.13223
0.098215	1.48360
0.098744	1.89057
0.099272	2.19275
0.099801	2.25479
0.100330	2.05171
0.100857	1.67218
0.101386	1.27972
0.101914	1.03066
0.102443	1.04280
0.102971	1.30791
0.103500	1.70119
0.104028	2.07915
0.104557	2.26204
0.105085	2.17341
0.105612	1.86479
0.106141	1.45299
0.106669	1.11934
0.107199	1.00246
0.107727	1.15962
0.108257	1.51341
0.108785	1.92199
0.109314	2.20564
0.109841	2.24351
0.110369	2.02592
0.110901	1.63829
0.111429	1.24910
0.111959	1.02422
0.112488	1.05891
0.113015	1.33531
0.113544	1.74308
0.114072	2.10090
0.114600	2.25559
0.115128	2.15810
0.115657	1.83090
0.116184	1.41829
0.116712	1.09678
0.117240	1.00488
0.117768	1.17654
0.118296	1.54483
0.118824	1.94455
0.119352	2.21370
0.119881	2.23948
0.120409	2.00095
0.120937	1.61493
0.121466	1.22488
0.121993	1.01697
0.122521	1.06536
0.123049	1.36351
0.123576	1.76645
0.124105	2.12104
0.124632	2.26284
0.125161	2.14280
0.125687	1.80753
0.126216	1.39573
0.126746	1.08469
0.127274	1.01052
0.127802	1.19990
0.128330	1.56900
0.128858	1.97114
0.129385	2.22900
0.129914	2.23626
0.130441	1.98000
0.130969	1.58592
0.131499	1.20877
0.132026	1.01455
0.132556	1.07744
0.133084	1.38365
0.133613	1.80028
0.134148	2.14119
0.134681	2.26445
0.135209	2.12024
0.135738	1.70280
0.136440	1.24185
0.136968	1.02019
0.137498	1.05972
